
[00:00:00.000 --> 00:00:19.020]  (祈禮)
[00:00:19.020 --> 00:00:21.060]  聖姐妹平安
[00:00:21.060 --> 00:00:22.160]  平安
[00:00:22.160 --> 00:00:24.560]  我們今天晚上一起來到上帝的面前
[00:00:24.560 --> 00:00:25.580]  我們敬拜
[00:00:25.580 --> 00:00:29.320]  我們也看上帝的話語
[00:00:29.320 --> 00:00:33.140]  今天剛才這些主席已經提出來了
[00:00:33.140 --> 00:00:39.080]  我訂了一個題目叫做建立一個合一 信望 正常的教會
[00:00:39.080 --> 00:00:39.880]  三個字
[00:00:39.880 --> 00:00:43.760]  合一 又正常 又信望的教會
[00:00:43.760 --> 00:00:47.800]  那麼我們所用的經文就是剛才我們所念的經文
[00:00:47.800 --> 00:00:49.600]  如果你手裡面有聖經的話
[00:00:49.600 --> 00:00:54.360]  我請你跟我一起打開十度行傳的第二章
[00:00:54.360 --> 00:00:56.120]  那麼對於很多基督子們來說
[00:00:56.120 --> 00:01:00.520]  十度行傳的第二章是一個很熟悉的經文
[00:01:00.520 --> 00:01:03.440]  尤其是講到初期教會
[00:01:03.440 --> 00:01:06.760]  就是教會開始的時候的一些描述
[00:01:06.760 --> 00:01:11.300]  那麼今天我們就特別來慢慢看看這個教會
[00:01:11.300 --> 00:01:14.640]  在開始的時候是怎樣的一個教會
[00:01:14.640 --> 00:01:18.480]  把它看作我們教會的一個榜樣
[00:01:18.480 --> 00:01:21.520]  來好好地看一下我們研究
[00:01:21.520 --> 00:01:24.860]  那麼剛才我說我們要看這個教會的
[00:01:24.860 --> 00:01:29.200]  為什麼它是一個合一 信望 正常的教會
[00:01:29.200 --> 00:01:34.180]  我這樣說絕對不是誇張的
[00:01:34.180 --> 00:01:37.160]  那麼我們先從人數來看
[00:01:37.160 --> 00:01:40.080]  我們從聖經告訴我們
[00:01:40.080 --> 00:01:42.840]  十度行傳第二章告訴我們
[00:01:42.840 --> 00:01:45.560]  尤其是剛才我所念的最後的時候
[00:01:45.560 --> 00:01:49.000]  那一天之內
[00:01:49.000 --> 00:01:52.680]  信主的人差不多增加了三千人
[00:01:52.680 --> 00:01:58.080]  那麼如果我們再回到十度行傳第一章十五節
[00:01:58.080 --> 00:02:02.080]  那你說耶穌基督升天以後
[00:02:02.080 --> 00:02:06.480]  門徒在等候聖靈來臨開始教會的時候
[00:02:06.480 --> 00:02:10.760]  在樓下一起等候的人就是信下來的信徒
[00:02:10.760 --> 00:02:13.800]  一百五十個 一百二十個
[00:02:13.800 --> 00:02:18.000]  那麼一百二十個一天之內增加了三千個
[00:02:18.000 --> 00:02:22.880]  有書可以記下來 這是一百二十個
[00:02:22.880 --> 00:02:27.120]  乘了三千一百二十個
[00:02:27.120 --> 00:02:30.120]  幾倍啊 二十六倍
[00:02:30.120 --> 00:02:33.640]  那二十六倍是好厲害的一個增長
[00:02:33.640 --> 00:02:36.040]  一天是爆炸性的增長
[00:02:36.040 --> 00:02:40.160]  我們可以說如果我們要五百人的一個教會
[00:02:40.160 --> 00:02:43.840]  二十六倍有多少人 一萬三千人
[00:02:43.840 --> 00:02:47.360]  哇 五百人的一個教會 小小的教會
[00:02:47.360 --> 00:02:51.560]  為天成為了一萬三千人
[00:02:51.560 --> 00:02:54.360]  一萬三千人有多少人 有多大
