
[00:00:00.000 --> 00:00:03.300]  有位弟兄和他的堂妹
[00:00:03.300 --> 00:00:07.800]  去看看他們家族的一些舊照片
[00:00:07.800 --> 00:00:15.500]  就拿他們遺傳到身體上的特徵來開玩笑
[00:00:15.500 --> 00:00:21.300]  他們認為最差的特徵
[00:00:21.300 --> 00:00:31.300]  就是令他們的腳短或者牙齒位置不整齊
[00:00:31.300 --> 00:00:39.800]  每個人可以很快從他們的長輩裏面一些遺傳
[00:00:39.800 --> 00:00:46.300]  看到他們身體上喜歡或者不喜歡的部份
[00:00:46.300 --> 00:00:49.800]  除了這些身體的特徵
[00:00:49.800 --> 00:00:55.800]  我們往往也都遺傳到一些性格的
[00:00:55.800 --> 00:01:00.800]  有好的也都有不太好的
[00:01:00.800 --> 00:01:04.800]  可能你的長輩很客氣
[00:01:04.800 --> 00:01:07.300]  樂意說多謝
[00:01:07.300 --> 00:01:13.800]  又或者他喜歡說是非、說謊
[00:01:13.800 --> 00:01:18.300]  根據一些非科學的觀察
[00:01:18.300 --> 00:01:25.800]  人會用各種方法來克服他們身體上的一些瑕疵
[00:01:25.800 --> 00:01:29.800]  譬如會定時做運動
[00:01:29.800 --> 00:01:32.800]  定一些減肥的計劃
[00:01:32.800 --> 00:01:35.800]  化妝、染頭髮
[00:01:35.800 --> 00:01:39.800]  甚至做一些整形手術
[00:01:39.800 --> 00:01:43.800]  希望外觀更加好看
[00:01:43.800 --> 00:01:51.300]  但是我們很少嘗試去克服性上的一些缺點
[00:01:51.300 --> 00:01:55.300]  譬如慣性遲到
[00:01:55.300 --> 00:01:59.300]  在別人未說完話的時候
[00:01:59.300 --> 00:02:02.300]  很多時搶著回應
[00:02:02.300 --> 00:02:08.300]  或者背後批評別人等等
[00:02:08.300 --> 00:02:14.300]  因為改變外表
[00:02:14.300 --> 00:02:17.300]  比起改變我們的內涵
[00:02:17.300 --> 00:02:21.300]  是更加容易來達到
[00:02:21.300 --> 00:02:24.300]  但是我們想像一下
[00:02:24.300 --> 00:02:31.300]  如果可以將多些心力去改變自己的缺點
[00:02:31.300 --> 00:02:35.300]  可能我們會變得更好
[00:02:35.300 --> 00:02:38.300]  更懂得跟別人相處
[00:02:38.300 --> 00:02:41.300]  身為上帝的兒女
[00:02:41.300 --> 00:02:47.300]  我們不會受著我們的遺傳基因來限制
[00:02:47.300 --> 00:02:53.300]  我們可以將我們的一些缺點跟神說
[00:02:53.300 --> 00:02:57.300]  求神去改善、幫助我們
[00:02:57.300 --> 00:03:02.300]  因為我們每一個都是神自己獨特的創造
[00:03:02.300 --> 00:03:08.300]  聖靈的大能和神的兒子的生命
[00:03:08.300 --> 00:03:13.300]  在我們裏面每一天都可以作供
[00:03:13.300 --> 00:03:18.300]  讓我們慢慢越來越像基督
[00:03:18.300 --> 00:03:23.300]  聖靈可以幫助我們去彰顯基督的美善
[00:03:23.300 --> 00:03:29.300]  剛才我們讀的羅馬書第八章裏面
[00:03:29.300 --> 00:03:32.300]  我們再看前一點
[00:03:32.300 --> 00:03:36.300]  第七章,夜四夜五節的經文
[00:03:36.300 --> 00:03:38.300]  我真是苦啊
[00:03:38.300 --> 00:03:42.300]  誰能救我脫離者取死的身體呢
[00:03:42.300 --> 00:03:43.300]  感謝神
[00:03:43.300 --> 00:03:47.300]  靠著我們的主耶穌基督就能脫離了
[00:03:47.300 --> 00:03:49.300]  這樣看來
[00:03:49.300 --> 00:03:52.300]  我以內心馴服神的律
[00:03:52.300 --> 00:03:56.300]  我欲身卻馴服罪的律了
[00:03:56.300 --> 00:03:59.300]  在八章一節開始
[00:03:59.300 --> 00:04:01.300]  原文是「所以」
[00:04:01.300 --> 00:04:03.300]  這裏譯為「如今」
[00:04:03.300 --> 00:04:09.300]  「所以」即是連接前面第七章尾的夜五節
[00:04:09.300 --> 00:04:14.300]  誰可以拯救我們脫離必死的身體呢
[00:04:14.300 --> 00:04:15.300]  很感謝神
[00:04:15.300 --> 00:04:22.300]  藉著耶穌基督可以拯救我們脫離必死的身體
[00:04:22.300 --> 00:04:24.300]  八章第一第二節提到
[00:04:24.300 --> 00:04:29.300]  我們在基督裏面不再被定罪
[00:04:29.300 --> 00:04:38.300]  其次,聖靈的律將我們從罪的律和死的律當中釋放出來
[00:04:38.300 --> 00:04:43.300]  我們相信基督是生命之主
[00:04:43.300 --> 00:04:48.300]  藉著信心來和主聯合
[00:04:48.300 --> 00:04:56.300]  成為神的子民與耶穌基督同死同埋葬同復活
[00:04:56.300 --> 00:05:00.300]  我們的罪得著神的赦免
[00:05:00.300 --> 00:05:03.300]  主算我們為公義
[00:05:03.300 --> 00:05:06.300]  我們就不被定罪
[00:05:06.300 --> 00:05:12.300]  聖靈的內注引導我們去信靠主
[00:05:12.300 --> 00:05:18.300]  來生活,領受神的愛去生活
[00:05:18.300 --> 00:05:22.300]  被聖靈來管理
[00:05:22.300 --> 00:05:28.300]  內在罪的力量被制服
[00:05:28.300 --> 00:05:30.300]  首先我們看看
[00:05:30.300 --> 00:05:36.300]  信從聖靈讓律法所要求的義
[00:05:36.300 --> 00:05:39.300]  是完全可以表現出來
[00:05:39.300 --> 00:05:43.300]  我們一起讀第三第四節
[00:05:43.300 --> 00:05:46.300]  律法既因肉體軟弱
[00:05:46.300 --> 00:05:48.300]  有所不能行的
[00:05:48.300 --> 00:05:51.300]  神就差顯自己的兒子
[00:05:51.300 --> 00:05:53.300]  成為最新的形狀
[00:05:53.300 --> 00:05:55.300]  作了屬罪制
[00:05:55.300 --> 00:05:58.300]  在肉體中定了罪惡
[00:05:58.300 --> 00:06:00.300]  是律法的義
[00:06:00.300 --> 00:06:03.300]  聖咒在我們這不隨從肉體
[00:06:03.300 --> 00:06:07.300]  只隨從聖靈的人身上
[00:06:07.300 --> 00:06:10.300]  第三節說到
[00:06:10.300 --> 00:06:12.300]  肉體軟弱
[00:06:12.300 --> 00:06:14.300]  有所不能行
[00:06:14.300 --> 00:06:18.300]  如果我想去進行律法
[00:06:18.300 --> 00:06:20.300]  因為我的軟弱
[00:06:20.300 --> 00:06:22.300]  我守不到律法
[00:06:22.300 --> 00:06:25.300]  例如我們有時工作
[00:06:25.300 --> 00:06:29.300]  都會遲到早退
[00:06:29.300 --> 00:06:35.300]  未盡心做好我們要做的工作
[00:06:35.300 --> 00:06:38.300]  這些都是我們的不足
[00:06:38.300 --> 00:06:40.300]  我們的軟弱
[00:06:40.300 --> 00:06:43.300]  耶穌為我們的罪降卑
[00:06:43.300 --> 00:06:46.300]  成為一個制生
[00:06:46.300 --> 00:06:48.300]  在牛肉的時候
[00:06:48.300 --> 00:06:52.300]  以色列人是按時候不斷在聖殿裡
[00:06:52.300 --> 00:06:54.300]  獻上一些生畜
[00:06:54.300 --> 00:06:59.300]  例如用牛羊為祭去獻上
[00:06:59.300 --> 00:07:03.300]  求神來寬恕他們的過犯
[00:07:03.300 --> 00:07:08.300]  其實動物的血不能真正洗去人的罪
[00:07:08.300 --> 00:07:10.300]  只是一個預表
[00:07:10.300 --> 00:07:16.300]  耶穌基督為我們犧牲
[00:07:16.300 --> 00:07:21.300]  償還了我們的罪債
[00:07:21.300 --> 00:07:26.300]  耶穌雖然也在罪的權勢之下
[00:07:26.300 --> 00:07:28.300]  但祂沒有犯罪
[00:07:28.300 --> 00:07:31.300]  反而是勝過罪惡
[00:07:31.300 --> 00:07:35.300]  在肉體當中定罪案
[00:07:35.300 --> 00:07:38.300]  神要對罪的判決
[00:07:38.300 --> 00:07:43.300]  就是透過耶穌肉身來執行
[00:07:43.300 --> 00:07:47.300]  主為了我們被釘身在十字架上
[00:07:47.300 --> 00:07:55.300]  從此罪在信徒肉身的權勢被毀滅
[00:07:55.300 --> 00:07:59.300]  信徒如果順從聖靈的指引
