
[00:00:00.000 --> 00:00:03.000]  記得在自己小時候
[00:00:03.000 --> 00:00:06.240]  生活也會有不少問題
[00:00:06.240 --> 00:00:07.720]  通常一般
[00:00:07.720 --> 00:00:09.720]  我想起小時候會怎樣呢
[00:00:09.720 --> 00:00:11.000]  就會大聲地叫
[00:00:11.000 --> 00:00:12.640]  媽媽
[00:00:12.640 --> 00:00:13.560]  爸爸
[00:00:13.560 --> 00:00:14.560]  或者爸爸
[00:00:14.560 --> 00:00:16.760]  我想怎樣 我想怎樣
[00:00:16.760 --> 00:00:19.400]  當然也會看性質是怎樣
[00:00:19.400 --> 00:00:20.840]  就找誰
[00:00:20.840 --> 00:00:23.360]  通常爸爸或者媽媽
[00:00:23.360 --> 00:00:27.480]  都會很耐心地聽我訴說我的需要
[00:00:27.480 --> 00:00:30.880]  幫我解決這些困難
[00:00:30.880 --> 00:00:32.680]  回想起自己小時候
[00:00:32.680 --> 00:00:34.600]  也覺得爸爸很厲害
[00:00:34.600 --> 00:00:35.960]  甚麼都會做
[00:00:35.960 --> 00:00:39.480]  可能因為我爸爸是木匠出身
[00:00:39.480 --> 00:00:42.920]  所以覺得他整個家都會做
[00:00:42.920 --> 00:00:45.520]  家裡的吊櫃 甚至床
[00:00:45.520 --> 00:00:47.920]  又或者廁所壞了他也會
[00:00:47.920 --> 00:00:49.320]  好像甚麼他都會
[00:00:49.320 --> 00:00:51.040]  門鎖壞了他也會做
[00:00:51.040 --> 00:00:53.880]  好像萬能一樣
[00:00:53.880 --> 00:00:56.000]  所以我小時候形成一個形象
[00:00:56.000 --> 00:01:00.440]  覺得所有男人都懂得做這些事
[00:01:00.440 --> 00:01:01.800]  不過當我結婚後
[00:01:01.800 --> 00:01:06.160]  我就知道原來不是所有男人都懂得做
[00:01:06.160 --> 00:01:07.760]  只是我爸爸
[00:01:07.760 --> 00:01:11.680]  因為他基於他的工作的原因
[00:01:11.680 --> 00:01:14.000]  現在長大了
[00:01:14.000 --> 00:01:17.000]  其實看到小朋友跟自己小時候一樣
[00:01:17.000 --> 00:01:19.000]  都好像自己小時候一樣
[00:01:19.000 --> 00:01:20.200]  有甚麼事
[00:01:20.200 --> 00:01:21.440]  媽媽 爸爸
[00:01:21.440 --> 00:01:24.880]  我在學校下面幼稚園工作就知道了
[00:01:24.880 --> 00:01:26.080]  他們很可愛
[00:01:26.080 --> 00:01:28.280]  有時候他們叫老師
[00:01:28.280 --> 00:01:32.280]  也會衝口而出叫媽媽
[00:01:32.280 --> 00:01:34.440]  看到老師也叫錯了
[00:01:34.440 --> 00:01:35.640]  很可愛
[00:01:35.640 --> 00:01:38.800]  看到忍不住也會會心一笑
[00:01:38.800 --> 00:01:40.640]  爸爸媽媽父母
[00:01:40.640 --> 00:01:44.640]  仍然是這班孩子隨時的幫助
[00:01:44.640 --> 00:01:47.360]  當然我們現在已經長大成人
[00:01:47.360 --> 00:01:48.880]  當然不會像這些小朋友一樣
[00:01:48.880 --> 00:01:52.080]  還是媽媽 爸爸
[00:01:52.080 --> 00:01:54.600]  但我們這班信徒
[00:01:54.600 --> 00:01:57.800]  通常會不會像這班小朋友
[00:01:57.800 --> 00:01:58.920]  有困難的時候
[00:01:58.920 --> 00:02:03.280]  也會向我們天上的爸爸呼求呢?
[00:02:03.280 --> 00:02:05.800]  當你遇到困難的時候
[00:02:05.800 --> 00:02:08.600]  你第一時間會想起誰?
[00:02:08.600 --> 00:02:12.440]  會不會祈禱跟你的天父說呢?
[00:02:12.440 --> 00:02:15.080]  回想起初信者的階段
[00:02:15.080 --> 00:02:16.600]  跟天父的關係
[00:02:16.600 --> 00:02:20.280]  有時候也很像小朋友跟爸爸的關係
[00:02:20.280 --> 00:02:21.760]  會甚麼都說
[00:02:21.760 --> 00:02:23.240]  甚麼都問
[00:02:23.240 --> 00:02:24.760]  但長大之後
[00:02:24.760 --> 00:02:27.040]  自己也有一定的經驗
[00:02:27.040 --> 00:02:28.040]  能力
[00:02:28.040 --> 00:02:30.040]  也有一定的才能
[00:02:30.040 --> 00:02:32.600]  也覺得好像甚麼都不用
[00:02:32.600 --> 00:02:35.240]  甚麼都問爸爸媽媽
[00:02:35.240 --> 00:02:38.440]  正如我們信徒長大了
[00:02:38.440 --> 00:02:40.440]  會不會有時候也會覺得
[00:02:40.440 --> 00:02:45.440]  已經不需要再甚麼都問我們的天父
[00:02:45.440 --> 00:02:47.360]  就靠自己的聰明
[00:02:47.360 --> 00:02:48.160]  能力
[00:02:48.160 --> 00:02:49.360]  經驗
[00:02:49.360 --> 00:02:51.440]  會慢慢慢慢的少了
[00:02:51.440 --> 00:02:53.440]  依靠我們的天父
[00:02:53.440 --> 00:02:55.240]  甚至已經不知不覺
[00:02:55.240 --> 00:02:57.640]  成為一種習慣
[00:02:57.640 --> 00:02:59.240]  就是說大部分的時間
[00:02:59.240 --> 00:03:01.440]  我們都是靠自己聰明的
[00:03:01.440 --> 00:03:05.240]  來面對我們每一天的生活和問題
[00:03:05.240 --> 00:03:06.840]  不過我們也會明白
[00:03:06.840 --> 00:03:08.640]  人是會成長
[00:03:08.640 --> 00:03:11.840]  不會再像小朋友那樣每次問
[00:03:11.840 --> 00:03:15.440]  這似乎也是一種理所當然的事
[00:03:15.440 --> 00:03:17.440]  不過我們又想起
[00:03:17.440 --> 00:03:20.240]  如果在座的爸爸媽媽也會很明白
[00:03:20.240 --> 00:03:23.240]  當你的子女長大了之後
[00:03:23.240 --> 00:03:24.440]  做父母的
[00:03:24.440 --> 00:03:28.040]  當然也希望仍然和子女保持溝通
[00:03:28.040 --> 00:03:30.640]  適當的時候也想給一點
[00:03:30.640 --> 00:03:32.640]  我們始終是長輩
[00:03:32.640 --> 00:03:36.640]  也希望有適當的長輩的意見給他們
