
[00:00:00.000 --> 00:00:05.040]  好,讓我們來到聆聽神的話語之先
[00:00:05.040 --> 00:00:07.040]  我們再次同心祈禱
[00:00:07.040 --> 00:00:15.360]  主日祢的恩典何等豐富
[00:00:15.360 --> 00:00:18.160]  在我們生命每一個時刻
[00:00:18.160 --> 00:00:21.120]  我們都可以來到有機會經歷
[00:00:21.120 --> 00:00:24.640]  叫我們去驚訝祢所作的奇妙
[00:00:24.640 --> 00:00:27.440]  也都讓我們帶著感謝的心
[00:00:27.440 --> 00:00:29.840]  不單止來到是自己領受
[00:00:29.840 --> 00:00:32.720]  亦都能夠和別人去分享
[00:00:32.720 --> 00:00:35.920]  願主來到祂賜福
[00:00:35.920 --> 00:00:40.720]  特別是一班年長的弟兄姊妹、長者
[00:00:40.720 --> 00:00:44.960]  讓他們的生命能夠時常的在主的面前
[00:00:44.960 --> 00:00:47.920]  發出光輝、榮耀主的聖名
[00:00:47.920 --> 00:00:50.320]  願穆人口中的言語
[00:00:50.320 --> 00:00:52.560]  弟兄姊妹的心思、意念
[00:00:52.560 --> 00:00:54.320]  夢聖靈的啟迪
[00:00:54.320 --> 00:00:55.760]  夢主的悅立
[00:00:55.760 --> 00:00:58.240]  禱告藉主耶穌基督的聖名而求
[00:00:58.240 --> 00:01:00.240]  阿門
[00:01:28.240 --> 00:01:31.280]  現在這個字是相當豐富的
[00:01:31.280 --> 00:01:34.320]  除了是講年紀之外
[00:01:34.320 --> 00:01:37.360]  亦都是講一種的身份、地位
[00:01:37.360 --> 00:01:40.240]  如果你正在工作
[00:01:40.240 --> 00:01:43.280]  這個老字你會馬上想起誰呢?
[00:01:43.280 --> 00:01:45.840]  當然是老闆
[00:01:45.840 --> 00:01:47.840]  尤其是每一個月發薪的時候
[00:01:47.840 --> 00:01:49.840]  你必定會想起他
[00:01:49.840 --> 00:01:52.640]  還有我們在學校裏面
[00:01:52.640 --> 00:01:55.440]  我們見得最多除了學生之外
[00:01:55.440 --> 00:01:57.440]  就是老師
[00:01:58.560 --> 00:02:01.200]  在家裏面
[00:02:01.200 --> 00:02:03.760]  有老爸和老媽
[00:02:03.760 --> 00:02:06.400]  當然有老公和老婆
[00:02:06.400 --> 00:02:09.680]  這些不一定是很大年紀的
