
[00:00:00.000 --> 00:00:04.000]  各位電影自然媒體 平安
[00:00:04.000 --> 00:00:07.000]  剛剛Simi在一開始
[00:00:07.000 --> 00:00:11.000]  「側目見法之先」就帶領大家
[00:00:11.000 --> 00:00:13.000]  有一個靜謐的時間
[00:00:13.000 --> 00:00:17.000]  我亦都很想借在講今天的訊息之前
[00:00:17.000 --> 00:00:22.000]  大家有片刻的安靜祈禱
[00:00:22.000 --> 00:00:24.000]  我們去慰禱大埔的災民
[00:00:24.000 --> 00:00:27.000]  我們有一個安靜的祈禱
[00:00:27.000 --> 00:00:29.000]  然後我會帶大家有個祈禱
[00:00:29.000 --> 00:00:31.000]  我們低頭
[00:00:31.000 --> 00:00:35.000]  我們各自在葦籠先去慰災民
[00:00:35.000 --> 00:00:37.000]  我們一起祈禱
[00:00:37.000 --> 00:00:48.000]  讓我們同心一起祈禱
[00:00:48.000 --> 00:00:52.000]  天父你是生命的主
[00:00:52.000 --> 00:00:54.000]  你是慈愛的父
[00:00:54.000 --> 00:00:57.000]  願你紀念在大埔雲福縣
[00:00:57.000 --> 00:01:00.000]  受火災影響的居民
[00:01:00.000 --> 00:01:05.000]  求主你去安慰當地居民的心
[00:01:05.000 --> 00:01:07.000]  特別因為火災
[00:01:07.000 --> 00:01:09.000]  失去家人
[00:01:09.000 --> 00:01:11.000]  以及受傷的居民
[00:01:11.000 --> 00:01:16.000]  願你的靈大大地臨在他們當中
[00:01:16.000 --> 00:01:21.000]  亦求主你為受影響的居民
[00:01:21.000 --> 00:01:26.000]  早日得到適切的援助和安排
[00:01:26.000 --> 00:01:30.000]  又求主你去幫助
[00:01:30.000 --> 00:01:35.000]  因為看見這場火災而身心受困的人
[00:01:35.000 --> 00:01:39.000]  願主你賜下從你而來的平安
[00:01:39.000 --> 00:01:44.000]  讓他們心靈的憂傷得到撫慰
[00:01:44.000 --> 00:01:48.000]  我們切切懇求祂禱告祈求
[00:01:48.000 --> 00:01:50.000]  奉主耶穌基督的名
[00:01:50.000 --> 00:01:57.000]  當我們提到「終末」這個術語
[00:01:57.000 --> 00:02:00.000]  不知大家會聯想到甚麼
[00:02:00.000 --> 00:02:03.000]  如果去問大家
[00:02:03.000 --> 00:02:08.000]  我們對「終末」有多期盼
[00:02:08.000 --> 00:02:15.000]  「終末」除了提及所謂上天堂之外
[00:02:15.000 --> 00:02:21.000]  同時也有關於耶穌基督再來的事情
[00:02:21.000 --> 00:02:25.000]  而當我們再去想多一點的時候
[00:02:25.000 --> 00:02:27.000]  當提到耶穌基督再來的日子
[00:02:27.000 --> 00:02:33.000]  大家可能會想起《馬太福音》24章36至44節
[00:02:33.000 --> 00:02:36.000]  當中簡略提一提
[00:02:36.000 --> 00:02:39.000]  當耶穌說看到「終末」的時間
[00:02:39.000 --> 00:02:42.000]  就是那個日子那個時辰沒有人知道
[00:02:42.000 --> 00:02:45.000]  連天上的天使都不知道
[00:02:45.000 --> 00:02:47.000]  子也不知道
[00:02:47.000 --> 00:02:49.000]  唯有父知道
[00:02:49.000 --> 00:02:52.000]  所以你們要謹慎
[00:02:52.000 --> 00:02:56.000]  因為不知道你們的主哪一天來到
[00:02:56.000 --> 00:02:58.000]  對我們來說
[00:02:58.000 --> 00:03:02.000]  耶穌基督何時回來我們不知道
[00:03:02.000 --> 00:03:04.000]  但是會不會覺得
[00:03:04.000 --> 00:03:08.000]  現在還有一段日子都未來到
[00:03:08.000 --> 00:03:12.000]  不需要那麼緊張
[00:03:12.000 --> 00:03:16.000]  仍然覺得「終末」這個重要的時間
[00:03:16.000 --> 00:03:20.000]  是一個遙不可及的事情
[00:03:20.000 --> 00:03:22.000]  身於現在的我們
[00:03:22.000 --> 00:03:29.000]  「終末」好像和我們無關同樣
[00:03:29.000 --> 00:03:33.000]  明天是章林奇的第一個主日
[00:03:33.000 --> 00:03:37.000]  除了提醒我們要紀念耶穌基督的降生
[00:03:37.000 --> 00:03:40.000]  同時我們也要準備自己
[00:03:40.000 --> 00:03:43.000]  以期盼基督再來的日子
[00:03:43.000 --> 00:03:46.000]  我們要預備我們的心
[00:03:46.000 --> 00:03:50.000]  今日經文雖然不是取自《馬太福音》
[00:03:50.000 --> 00:03:52.000]  關於基督再來的經文
[00:03:52.000 --> 00:03:55.000]  但是同樣都提到末後的日子
[00:03:55.000 --> 00:03:58.000]  上主掌權的情況
[00:03:58.000 --> 00:04:01.000]  以及對我們作出一個呼籲
[00:04:01.000 --> 00:04:05.000]  究竟這個是一個怎樣的呼籲
[00:04:05.000 --> 00:04:08.000]  一會兒都會和大家一起去思想
[00:04:08.000 --> 00:04:12.000]  今日講到經文是記載自
[00:04:12.000 --> 00:04:15.000]  《爾賽亞書》二章一到五節的經文
[00:04:15.000 --> 00:04:17.000]  我亦都一如既往想邀請大家
