
[00:00:00.000 --> 00:00:02.000]  耶穌看着他說
[00:00:02.000 --> 00:00:04.000]  我們一起讀這些紅字好嗎
[00:00:04.000 --> 00:00:07.940]  你是約翰的兒子西門
[00:00:07.940 --> 00:00:10.620]  你要稱爲基法
[00:00:10.620 --> 00:00:13.000]  基法翻出來就是什麼呀
[00:00:13.000 --> 00:00:15.000]  彼得
[00:00:15.000 --> 00:00:17.500]  因爲基法是一個阿蘭文
[00:00:17.500 --> 00:00:24.000]  翻出來翻譯成希列文就叫彼得
[00:00:24.000 --> 00:00:29.500]  所以我們多數都會西門改名叫彼得
[00:00:30.500 --> 00:00:32.500]  在這裏我們留意到
[00:00:32.500 --> 00:00:34.500]  他這裏說到
[00:00:34.500 --> 00:00:36.500]  聽見約翰的話
[00:00:36.500 --> 00:00:38.500]  這個約翰是誰呢
[00:00:38.500 --> 00:00:40.500]  在聖經裏面說到
[00:00:40.500 --> 00:00:42.500]  這個是施浸約翰
[00:00:42.500 --> 00:00:44.500]  就是當時裏面
[00:00:44.500 --> 00:00:46.500]  在耶穌出來傳道以先
[00:00:46.500 --> 00:00:48.500]  我們知道耶穌30歲出來傳道
[00:00:48.500 --> 00:00:50.500]  他出來傳道以先
[00:00:50.500 --> 00:00:52.500]  神就預備了什麼
[00:00:52.500 --> 00:00:54.500]  一個開路先鋒就是施浸約翰
[00:00:54.500 --> 00:00:56.500]  他傳的是一個什麼信息呢
[00:00:56.500 --> 00:00:58.500]  是一個叫人悔改的信息
[00:00:58.500 --> 00:01:00.500]  就是說約翰啊
[00:01:00.500 --> 00:01:03.500]  神的羔羊除去世人罪孽的
[00:01:03.500 --> 00:01:05.500]  所以這個已經預備了
[00:01:05.500 --> 00:01:07.500]  當時西門的心
[00:01:07.500 --> 00:01:09.500]  這個悔改的信息
[00:01:09.500 --> 00:01:11.500]  預備了他的心
[00:01:11.500 --> 00:01:13.500]  所以當他在41節告訴我們的時候
[00:01:13.500 --> 00:01:15.500]  就是什麼呢
[00:01:15.500 --> 00:01:20.500]  當他的弟弟安德烈
[00:01:20.500 --> 00:01:22.500]  見到耶穌
[00:01:22.500 --> 00:01:24.500]  他就怎麼樣
[00:01:24.500 --> 00:01:26.500]  在當時裏面
[00:01:26.500 --> 00:01:28.500]  走着走着
[00:01:28.500 --> 00:01:30.500]  找哥哥
[00:01:30.500 --> 00:01:32.500]  帶哥哥去見耶穌
[00:01:32.500 --> 00:01:34.500]  在這裏說到
[00:01:34.500 --> 00:01:36.500]  他怎麼介紹耶穌呢
[00:01:36.500 --> 00:01:39.500]  他說我們遇見了尼賽亞
[00:01:39.500 --> 00:01:41.500]  尼賽亞在當時裏面
[00:01:41.500 --> 00:01:44.500]  是一個初期的猶太人
[00:01:44.500 --> 00:01:46.500]  派望就說
[00:01:46.500 --> 00:01:48.500]  知道尼賽亞是救主
[00:01:48.500 --> 00:01:50.500]  是人類的救主
[00:01:50.500 --> 00:01:53.500]  所以當見到耶穌的時候
[00:01:53.500 --> 00:01:55.500]  耶穌爲他改名
[00:01:55.500 --> 00:01:57.500]  耶穌對他說
[00:01:57.500 --> 00:01:59.500]  看着他
[00:01:59.500 --> 00:02:01.500]  這一幕我相信
[00:02:01.500 --> 00:02:03.500]  很能夠進入他的心裏面
[00:02:03.500 --> 00:02:05.500]  約翰的兒子西門
[00:02:05.500 --> 00:02:07.500]  你要稱爲基法
[00:02:07.500 --> 00:02:09.500]  就是彼得
[00:02:09.500 --> 00:02:11.500]  在這裏
[00:02:11.500 --> 00:02:13.500]  在他當時的
[00:02:13.500 --> 00:02:15.500]  接納裏面
[00:02:15.500 --> 00:02:17.500]  到底他明白了多少呢
[00:02:17.500 --> 00:02:19.500]  他知不知道彼得這個名的意思呢
[00:02:19.500 --> 00:02:21.500]  無論如何
[00:02:21.500 --> 00:02:23.500]  耶穌就爲他改了這個名
[00:02:23.500 --> 00:02:27.500]  在短短的相遇裏面
[00:02:27.500 --> 00:02:31.500]  彼得就與耶穌建立了一個關係
[00:02:31.500 --> 00:02:33.500]  建立了一個關係
[00:02:33.500 --> 00:02:37.500]  接着我們知道
[00:02:37.500 --> 00:02:39.500]  耶穌一知道
[00:02:39.500 --> 00:02:41.500]  彼得這個人
[00:02:41.500 --> 00:02:43.500]  那個生命的本質
[00:02:43.500 --> 00:02:45.500]  後來是怎樣呢
[00:02:45.500 --> 00:02:47.500]  接着我們聖經裏面記載到
[00:02:47.500 --> 00:02:49.500]  耶穌呼召門徒
[00:02:49.500 --> 00:02:53.500]  其中彼得就是
[00:02:53.500 --> 00:02:57.500]  當開始的時候
[00:02:57.500 --> 00:02:59.500]  耶穌呼召門徒
[00:02:59.500 --> 00:03:03.500]  其中一個最早的呼召
[00:03:03.500 --> 00:03:07.500]  包括彼得在裏面
[00:03:07.500 --> 00:03:09.500]  我們來看看
[00:03:09.500 --> 00:03:13.500]  當彼得去跟隨耶穌的時候
[00:03:13.500 --> 00:03:17.500]  到底他是怎樣去跟隨的呢
[00:03:17.500 --> 00:03:19.500]  我們來看看
[00:03:19.500 --> 00:03:21.500]  有一天
[00:03:21.500 --> 00:03:27.500]  當耶穌在一個港島裏面
[00:03:27.500 --> 00:03:31.500]  就徵召了西門的那艘船
[00:03:31.500 --> 00:03:33.500]  在船上去港島
[00:03:33.500 --> 00:03:35.500]  講完之後
[00:03:35.500 --> 00:03:37.500]  下一段經文
[00:03:37.500 --> 00:03:39.500]  我們來看看
[00:03:39.500 --> 00:03:41.500]  努加福音在這裏說
[00:03:41.500 --> 00:03:45.500]  有一天當耶穌去港元島的時候
[00:03:45.500 --> 00:03:47.500]  對西門說
[00:03:47.500 --> 00:03:49.500]  因爲他借了船
[00:03:49.500 --> 00:03:51.500]  然後他就說
[00:03:51.500 --> 00:03:53.500]  將船開到水深之處
[00:03:53.500 --> 00:03:55.500]  當時來說
[00:03:55.500 --> 00:03:57.500]  這個要求
[00:03:57.500 --> 00:03:59.500]  其實對彼得來說
[00:03:59.500 --> 00:04:03.500]  是有一個不明白的
