
[00:00:00.000 --> 00:00:01.800]  這個禮拜的主題是
[00:00:01.800 --> 00:00:04.400]  行公義好憐憫全謙卑的心
[00:00:04.400 --> 00:00:06.800]  與主同行十家路
[00:00:06.800 --> 00:00:09.600]  知不知道今天是什麼日子
[00:00:09.600 --> 00:00:15.800]  看不看得出有些少不同了
[00:00:15.800 --> 00:00:17.200]  這些很珍貴的
[00:00:17.200 --> 00:00:18.400]  其實我家裡
[00:00:18.400 --> 00:00:19.600]  我記得跟你們說過
[00:00:19.600 --> 00:00:21.200]  我家裡有很多棵棕樹
[00:00:21.200 --> 00:00:24.200]  好像九棵我只砍剩一棵
[00:00:24.200 --> 00:00:25.600]  砍剩一棵
[00:00:25.600 --> 00:00:27.600]  那一棵就每年在這個日期
[00:00:27.600 --> 00:00:29.800]  就會砍幾枝出來插給大家
[00:00:29.800 --> 00:00:31.400]  提醒大家知道
[00:00:31.400 --> 00:00:34.200]  今天是棕枝主日
[00:00:34.200 --> 00:00:43.000]  今天是棕枝主日
[00:00:43.000 --> 00:00:44.400]  棕枝主日是什麼呢
[00:00:44.400 --> 00:00:45.600]  棕枝主日就是
[00:00:45.600 --> 00:00:46.800]  由今天開始
[00:00:46.800 --> 00:00:48.600]  我們看四福音的時候
[00:00:48.600 --> 00:00:52.200]  耶穌騎著小驢進入耶路撒冷城
[00:00:52.200 --> 00:00:54.600]  兩旁的人拿著棕樹枝
[00:00:54.600 --> 00:00:56.400]  不斷歡迎祂
[00:00:56.400 --> 00:00:59.400]  歡迎我們的君王進入耶路撒冷城
[00:01:00.000 --> 00:01:01.000]  其實我們知道
[00:01:01.000 --> 00:01:02.000]  今天是一個日子
[00:01:02.000 --> 00:01:04.200]  耶穌進入耶路撒冷的時候
[00:01:04.200 --> 00:01:06.600]  就是一步一步走向
[00:01:06.600 --> 00:01:10.000]  各個他十字架受苦受死的路
[00:01:10.000 --> 00:01:11.800]  接下來這個星期開始
[00:01:11.800 --> 00:01:13.800]  我們教會叫做聖周
[00:01:13.800 --> 00:01:15.800]  是耶穌基督最後一個星期
[00:01:15.800 --> 00:01:17.000]  在地上的日子
[00:01:17.000 --> 00:01:19.200]  弟兄姊妹今天
[00:01:19.200 --> 00:01:21.400]  你帶著一個什麼的心情
[00:01:21.400 --> 00:01:23.800]  去迎接這個和平的君
[00:01:23.800 --> 00:01:25.600]  公義的神
[00:01:25.600 --> 00:01:27.800]  慈愛的主
[00:01:27.800 --> 00:01:29.600]  進入我們當中
[00:01:30.000 --> 00:01:32.200]  進入你們的生命當中
[00:01:32.200 --> 00:01:35.600]  行公義好憐憫
[00:01:35.600 --> 00:01:37.200]  全謙卑的心
[00:01:37.200 --> 00:01:39.000]  與你的神同行
[00:01:39.000 --> 00:01:42.000]  這一段的經文
[00:01:42.000 --> 00:01:44.400]  我們讀得很熟悉
[00:01:44.400 --> 00:01:47.000]  但今天我會問三條問題
[00:01:47.000 --> 00:01:47.600]  第一
[00:01:47.600 --> 00:01:49.800]  為什麼我們耶和華神
[00:01:49.800 --> 00:01:53.600]  會在這裡向以色列人提出這個要求
[00:01:53.600 --> 00:01:56.000]  行公義好憐憫全謙卑的心
[00:01:56.000 --> 00:01:57.400]  和神同行
[00:01:57.400 --> 00:01:59.600]  為什麼要特別強調這件事呢
[00:02:00.400 --> 00:02:01.200]  第二
[00:02:01.200 --> 00:02:06.000]  這個要求對我們今天作為基督徒
[00:02:06.000 --> 00:02:07.800]  有什麼的提醒
[00:02:07.800 --> 00:02:08.800]  有什麼意思
[00:02:08.800 --> 00:02:10.400]  第三
[00:02:10.400 --> 00:02:13.200]  在現實生活裡面
[00:02:13.200 --> 00:02:16.400]  我們怎樣可以實際做出來
[00:02:16.400 --> 00:02:17.800]  在我們家裡
