
[00:00:00.000 --> 00:00:02.000]  孔子明門後亭 節會平安
[00:00:02.000 --> 00:00:07.000]  剛才我已經說了今天是和平紀念日
[00:00:07.000 --> 00:00:14.000]  戰爭是很殘酷的
[00:00:14.000 --> 00:00:19.000]  不過我就很感謝主
[00:00:19.000 --> 00:00:23.000]  因為我生在二次大戰之後
[00:00:23.000 --> 00:00:27.000]  是和平那年出生
[00:00:29.000 --> 00:00:32.000]  和平那年應該是1945年
[00:00:32.000 --> 00:00:36.000]  我是和平之後的一年
[00:00:36.000 --> 00:00:42.000]  但願我能夠成為和平之子
[00:00:42.000 --> 00:00:47.000]  將上帝和平的福音
[00:00:47.000 --> 00:00:52.000]  這個和平其實是聖經的peace去解和好
[00:00:57.000 --> 00:00:59.000]  和好的福音
[00:00:59.000 --> 00:01:01.000]  告訴你們
[00:01:01.000 --> 00:01:04.000]  為什麼要和好
[00:01:04.000 --> 00:01:07.000]  人得罪了上帝
[00:01:07.000 --> 00:01:10.000]  人成為了上帝的敵人
[00:01:10.000 --> 00:01:14.000]  大家有沒有想過這件事
[00:01:14.000 --> 00:01:15.000]  上帝好一定愛我
[00:01:15.000 --> 00:01:17.000]  但人得罪了上帝有沒有想過這件事
[00:01:17.000 --> 00:01:20.000]  人得罪了上帝有沒有想過這點呢
[00:01:20.000 --> 00:01:24.000]  人得罪了上帝是該死的
[00:01:24.000 --> 00:01:26.000]  人得罪了上帝是該死的
[00:01:26.000 --> 00:01:29.000]  所以將我們次祖夏娃犯了罪
[00:01:29.000 --> 00:01:31.000]  上帝將她踢出樂園
[00:01:31.000 --> 00:01:33.000]  我們次祖夏娃犯罪
[00:01:33.000 --> 00:01:35.000]  被她趕出樂園
[00:01:35.000 --> 00:01:37.000]  趕出樂園其實下場就是什麼
[00:01:37.000 --> 00:01:39.000]  兩個字 等死
[00:01:39.000 --> 00:01:41.000]  趕去樂園的下場就是兩個字
[00:01:41.000 --> 00:01:43.000]  等死
[00:01:43.000 --> 00:01:44.000]  過了六千年了
[00:01:44.000 --> 00:01:46.000]  過了六千年
[00:01:46.000 --> 00:01:47.000]  不單止沒有等死
[00:01:47.000 --> 00:01:48.000]  還有這麼多子孫
[00:01:48.000 --> 00:01:49.000]  不但沒有等死
[00:01:49.000 --> 00:01:51.000]  而且有這麼多子孫
[00:01:51.000 --> 00:01:53.000]  這是不是上帝的慈愛
[00:01:53.000 --> 00:01:55.000]  這是不是上帝的慈愛
[00:01:55.000 --> 00:01:57.000]  還有兩千年前
[00:01:57.000 --> 00:01:59.000]  上帝派她的兒子來救我們
[00:01:59.000 --> 00:02:00.000]  還有兩千年前
[00:02:00.000 --> 00:02:02.000]  上帝派的兒子救了我們
[00:02:02.000 --> 00:02:03.000]  這是不是恩典
[00:02:03.000 --> 00:02:04.000]  這是不是恩典
[00:02:04.000 --> 00:02:06.000]  我們人很多時候忘恩負義
[00:02:06.000 --> 00:02:07.000]  不記得
[00:02:07.000 --> 00:02:08.000]  我們什麼時候忘恩負義
[00:02:08.000 --> 00:02:09.000]  不記得
[00:02:09.000 --> 00:02:10.000]  其實人忘恩負義
[00:02:10.000 --> 00:02:12.000]  不是現在的忘恩負義
[00:02:12.000 --> 00:02:14.000]  現在的忘恩負義
[00:02:14.000 --> 00:02:15.000]  在聖經當中
[00:02:15.000 --> 00:02:16.000]  在聖經當中
[00:02:16.000 --> 00:02:17.000]  舊約聖經當中
