
[00:00:00.000 --> 00:00:02.500]  今年的情人節是因為這個過年的緣故
[00:00:02.500 --> 00:00:05.040]  大家都已經忘記了它了,很多都,是不是?
[00:00:05.040 --> 00:00:08.220]  除了那些青春少艾的還在想這個問題之外
[00:00:08.220 --> 00:00:11.800]  大部分都在想買劍蘭還是買水仙的了
[00:00:11.800 --> 00:00:13.600]  就是沒有人去想情人節的問題
[00:00:13.600 --> 00:00:15.220]  所以我們教會都很醒目
[00:00:15.220 --> 00:00:16.920]  我們沒有刻意要搞些什麼
[00:00:16.920 --> 00:00:21.800]  不過在這個叫做最Last的農曆年之前
[00:00:21.800 --> 00:00:24.460]  我們都看一下情人節這個topic
[00:00:24.460 --> 00:00:27.140]  我定了一個名字叫做「華倫燦的愛」
[00:00:27.140 --> 00:00:28.720]  那些人說「啊?是誰來的?」
[00:00:28.720 --> 00:00:30.640]  因為英文是很容易知道的
[00:00:30.640 --> 00:00:32.500]  Valentine 大家知道是誰
[00:00:32.500 --> 00:00:34.120]  但是我們的年代
[00:00:34.120 --> 00:00:37.300]  有沒有人認識這個「華倫天奴」?
[00:00:37.300 --> 00:00:41.300]  額頭那些就已經顯示在我們那一代了
[00:00:41.300 --> 00:00:43.540]  因為以前我們通常叫「華倫天奴」
[00:00:43.540 --> 00:00:46.220]  很少叫「Valentine」就叫「華倫泰」
[00:00:46.220 --> 00:00:47.640]  但都不重要
[00:00:47.640 --> 00:00:50.880]  有沒有人知道其實情人節是紀念他的?
[00:00:50.880 --> 00:00:52.400]  年輕的完全不知道
[00:00:52.400 --> 00:00:54.200]  「那是什麼來的?不知道」
[00:00:54.200 --> 00:00:56.600]  其實是因為他才有情人節的
[00:00:56.600 --> 00:01:00.400]  但是正如老人家 如果聽得過故事就不要問故事
[00:01:00.400 --> 00:01:02.880]  問得過就會說錯了 為什麼呢?
[00:01:02.880 --> 00:01:06.980]  原來二十四號是他的死忌
[00:01:06.980 --> 00:01:08.560]  是紀念他的死
[00:01:08.560 --> 00:01:10.540]  所以才有這個的節日
[00:01:10.540 --> 00:01:11.480]  為什麼會這樣的呢?
[00:01:11.480 --> 00:01:13.100]  「啊!原來是那些這樣的東西?」
[00:01:13.100 --> 00:01:16.060]  是啊 我們其實自己都不知道自己在做什麼
[00:01:16.060 --> 00:01:17.800]  如果你上網隨便找都找得到
[00:01:17.800 --> 00:01:19.320]  情人節的起源
[00:01:19.320 --> 00:01:23.140]  大部分都會在這個部分的故事裡面
[00:01:23.140 --> 00:01:25.520]  其實是說在三世紀的時候
[00:01:25.520 --> 00:01:27.240]  有一個皇帝就很不良
[00:01:27.240 --> 00:01:31.080]  因為他想他的軍力能夠可以更加多人去當軍
[00:01:31.080 --> 00:01:37.200]  就禁止他當時的年輕的力壯的男丁
[00:01:37.200 --> 00:01:38.600]  就不准他們結婚
[00:01:38.600 --> 00:01:41.960]  全部夠年齡的就要去當兵了
[00:01:41.960 --> 00:01:44.800]  因為這個法例一宣佈的時候
[00:01:44.800 --> 00:01:47.280]  那些正在拍拖的就很緊張 是不是?
[00:01:47.280 --> 00:01:49.860]  就馬上就要去 希望快點結婚
[00:01:49.860 --> 00:01:52.760]  如果還沒拍拖的就更加不理了 是不是?
[00:01:52.760 --> 00:01:56.960]  就像豬二九、牟二嫂那樣 馬上就想找個女孩子去結婚
[00:01:56.960 --> 00:02:00.340]  就希望逃避兵役 事實上是有這些人的
[00:02:00.340 --> 00:02:03.720]  當時很多教堂就已經是不可以舉行婚禮的了
[00:02:03.720 --> 00:02:06.620]  相傳有一間小教堂裡面
[00:02:06.620 --> 00:02:10.100]  就是有一個修士 就是華倫差
[00:02:10.100 --> 00:02:12.980]  他就是被這些的愛情所感動
[00:02:12.980 --> 00:02:14.840]  於是他就秘密地
[00:02:14.840 --> 00:02:20.100]  去為這些相愛的青年男女去舉行這個婚禮
[00:02:20.100 --> 00:02:22.100]  當然了 一船十船八
[00:02:22.100 --> 00:02:25.980]  於是很多人就去找他去結婚
[00:02:25.980 --> 00:02:28.200]  但是紙是包不住火的
[00:02:28.200 --> 00:02:31.180]  很快的這個修士就被抓了
[00:02:31.180 --> 00:02:34.760]  而最慘的他的結果 他是被判死刑的
[00:02:34.760 --> 00:02:37.340]  就是絞刑致死的
[00:02:37.340 --> 00:02:40.120]  因此他死的日期是2月14日
[00:02:40.120 --> 00:02:42.320]  後來就成為了一個紀念了
[00:02:42.320 --> 00:02:46.620]  華倫太這個這麼犧牲的精神的一個人
[00:02:46.620 --> 00:02:48.440]  就特意去紀念他的
[00:02:48.440 --> 00:02:53.320]  而正式有影響力的其實是200年之後
[00:02:53.320 --> 00:02:55.640]  就是496年
[00:02:55.640 --> 00:02:58.720]  就由教宗廢除了當時的一個叫木神節
[00:02:58.720 --> 00:03:03.220]  就將2月14日定為這個叫聖華倫太日
[00:03:03.220 --> 00:03:06.720]  就是肯定了華倫太的那個殉道的侍奉
[00:03:06.720 --> 00:03:08.320]  他就被封聖了
[00:03:08.320 --> 00:03:10.060]  也都因為有這樣的地位
[00:03:10.060 --> 00:03:14.620]  所以情人節 就是這個2月14日叫聖華倫太日
[00:03:14.620 --> 00:03:16.240]  就成為了往後
[00:03:16.240 --> 00:03:19.620]  西方國家一直在吹噓的所謂的情人節
[00:03:19.620 --> 00:03:22.460]  很多時候我們都是這樣的 過節就過節的
[00:03:22.460 --> 00:03:24.660]  過節根本就不理事情的 OK
[00:03:24.660 --> 00:03:26.340]  那為什麼有人送花你又送花
[00:03:26.340 --> 00:03:28.640]  人送卡你又送卡的呢
[00:03:28.640 --> 00:03:30.560]  其實生存有另外一些故事的
[00:03:30.560 --> 00:03:33.240]  我小時候看了一套福音電影
[00:03:33.240 --> 00:03:35.340]  其實就放了一些元素在裏面的
[00:03:35.340 --> 00:03:37.980]  就說他被抓的時候就坐牢
[00:03:37.980 --> 00:03:39.900]  在牢裏面就遇到一個獄長
[00:03:39.900 --> 00:03:41.560]  他有一個失明的女兒
[00:03:41.560 --> 00:03:43.980]  那華倫太就為他祈禱
[00:03:43.980 --> 00:03:45.520]  神就施行了神蹟
[00:03:45.520 --> 00:03:48.060]  那這個女孩就突然間就開眼了
[00:03:48.060 --> 00:03:51.140]  你知道 嘩 重見光明的時候
[00:03:51.140 --> 00:03:53.060]  第一個就見到華倫太了
[00:03:53.060 --> 00:03:55.200]  於是就深深的愛上了她
[00:03:55.200 --> 00:03:57.080]  不過故事是不會改寫的
[00:03:57.080 --> 00:04:01.620]  華倫太都是在2月14日那天被判刑
[00:04:01.620 --> 00:04:04.440]  相傳他臨去刑場之前
[00:04:04.440 --> 00:04:08.100]  就留下了一封情義綿綿的信給這個女孩
[00:04:08.100 --> 00:04:10.400]  鼓勵她好好地珍惜自己的生命
[00:04:10.400 --> 00:04:12.620]  來為主生活下去的
[00:04:12.620 --> 00:04:15.940]  而他死後這個女孩也在墳墓旁邊
[00:04:15.940 --> 00:04:18.300]  種了一棵杏樹
[00:04:18.300 --> 00:04:19.800]  開了很漂亮的花
[00:04:19.800 --> 00:04:23.420]  所以往後每年2月14日去紀念這件事的時候
[00:04:23.420 --> 00:04:26.160]  就會有卡 有花這些東西出現的
[00:04:26.160 --> 00:04:29.200]  有沒有人見過這些字眼的
[00:04:29.200 --> 00:04:31.780]  現在又沒有整個卡 其實很少見這些
[00:04:31.780 --> 00:04:33.900]  我們的年代是很流行的
[00:04:33.900 --> 00:04:35.580]  很流行的是甚麼呢
[00:04:35.580 --> 00:04:38.040]  華倫太這個名字已經不屬於他了
[00:04:38.040 --> 00:04:41.040]  是屬於了這件事件的一個代號來的
[00:04:41.040 --> 00:04:43.980]  收花 你知不知道最精彩
[00:04:43.980 --> 00:04:46.640]  不是知道是誰送給你的
[00:04:46.640 --> 00:04:49.120]  又是沒有反應的 你們不收花的嗎
[00:04:49.120 --> 00:04:50.980]  中途也沒有反應的
[00:04:50.980 --> 00:04:54.020]  跟鄰居說 請你浪漫一點
[00:04:54.020 --> 00:04:57.720]  收花 原來有名字不是最興奮的
[00:04:57.720 --> 00:05:01.920]  收花 收到匿名的花 其實是最興奮的
[00:05:01.920 --> 00:05:05.620]  通常我們那個年代會用一個代號 其實你也知道的
[00:05:05.620 --> 00:05:07.540]  他就會寫著 From your Valentine
[00:05:07.540 --> 00:05:08.660]  意思是甚麼
[00:05:08.660 --> 00:05:12.320]  即是你的華倫太給你 即是你的愛人送給你的
[00:05:12.320 --> 00:05:13.920]  如果你寫情人節卡
[00:05:13.920 --> 00:05:16.300]  通常我們在信封就會寫甚麼
[00:05:16.300 --> 00:05:18.380]  To my Valentine
[00:05:18.380 --> 00:05:21.300]  即是我所心愛的人 我送給你的
[00:05:21.300 --> 00:05:23.580]  但是送卡這件事
[00:05:23.580 --> 00:05:27.060]  某程度來說 不是限於情侶的
