
[00:00:00.000 --> 00:00:03.240]  著名的科學家霍金
[00:00:03.240 --> 00:00:06.880]  有一次在一個學術研討會上的演講
[00:00:06.880 --> 00:00:08.560]  當他演講完畢的時候
[00:00:08.560 --> 00:00:13.120]  有一個年輕的記者走到霍金面前問他
[00:00:13.120 --> 00:00:14.640]  霍金先生
[00:00:14.640 --> 00:00:20.080]  你的疾病將你永遠固定在輪椅上
[00:00:20.080 --> 00:00:25.120]  難道你不會因為失去了這麼多東西而悲哀嗎
[00:00:25.120 --> 00:00:26.520]  問了這些問題
[00:00:26.520 --> 00:00:28.600]  大家都不知道怎麼辦
[00:00:28.600 --> 00:00:32.280]  所以會場一片的靜寂
[00:00:32.280 --> 00:00:35.640]  但是霍金面上掛著笑容
[00:00:35.640 --> 00:00:37.960]  用他不是太靈活的手指
[00:00:37.960 --> 00:00:46.360]  一直按著他前面的鍵盤的鍵
[00:00:46.360 --> 00:00:51.920]  然後螢光幕上就出現以下的字
[00:00:51.920 --> 00:00:55.000]  霍金說我的手指還能夠活動
[00:00:55.000 --> 00:00:57.720]  我的大腦還能夠思考
[00:00:57.720 --> 00:01:00.120]  我有終身追求的理想
[00:01:00.120 --> 00:01:05.080]  我也有我所愛和愛我的親人和朋友
[00:01:05.080 --> 00:01:10.600]  最重要的就是我還有一顆感人的心
[00:01:10.600 --> 00:01:14.160]  就在這個寂靜的環境裡面
[00:01:14.160 --> 00:01:18.880]  這一剎那就響起愈來的掌聲
[00:01:18.880 --> 00:01:22.520]  這個年輕的記者心靈被震盪
[00:01:22.520 --> 00:01:26.920]  他恍恍學到一個人生的很重要的課題
[00:01:26.920 --> 00:01:27.840]  是什麼呢
[00:01:27.840 --> 00:01:30.200]  就是感恩
[00:01:30.200 --> 00:01:34.200]  以下的照片是在我的網上找到的
[00:01:34.200 --> 00:01:36.200]  它裡面的意思是
[00:01:36.200 --> 00:01:38.720]  請用一個詞語去描述
[00:01:38.720 --> 00:01:41.040]  現今世界需要些什麼
[00:01:41.040 --> 00:01:43.600]  當然問不同的人有不同的答案
[00:01:43.600 --> 00:01:44.520]  但是我覺得
[00:01:44.520 --> 00:01:47.000]  現今的世界最需要的是什麼呢
[00:01:47.000 --> 00:01:49.240]  感恩的心
[00:01:49.240 --> 00:01:50.480]  有人說
[00:01:50.480 --> 00:01:56.880]  感恩的心是基督徒一切美好品格的開始
[00:01:56.880 --> 00:01:59.120]  我就想一想
[00:01:59.120 --> 00:02:01.120]  其實是真的
[00:02:01.120 --> 00:02:03.720]  如果沒有這個感恩的心
[00:02:03.720 --> 00:02:06.360]  我們今天所說的基督徒的品格
[00:02:06.360 --> 00:02:08.360]  我們稱之為「聖靈果子」
[00:02:08.360 --> 00:02:11.880]  例如人愛、喜樂、和平
[00:02:11.880 --> 00:02:13.720]  又是怎樣來的呢
[00:02:13.720 --> 00:02:15.360]  其實我很相信
[00:02:15.360 --> 00:02:17.880]  我們的神很在意祂的指紋
[00:02:17.880 --> 00:02:19.240]  就是你和我
[00:02:19.240 --> 00:02:20.960]  我們有沒有感恩的心
[00:02:20.960 --> 00:02:22.400]  如果大家記得
[00:02:22.400 --> 00:02:24.320]  《路加福音》有這樣的故事
[00:02:24.320 --> 00:02:28.600]  耶穌治療了十個麻瘋病的病人
[00:02:28.600 --> 00:02:29.760]  但是結果
[00:02:29.760 --> 00:02:30.760]  這十個病人去了哪裡呢
