
[00:00:00.000 --> 00:00:02.000]  各位定姊妹 早安
[00:00:02.000 --> 00:00:05.000]  最近我有一個很深的感受
[00:00:05.000 --> 00:00:11.000]  我的感受是 堅振不是一間慷慨的教會
[00:00:11.000 --> 00:00:16.000]  實情是 堅振是一間非常慷慨的教會
[00:00:16.000 --> 00:00:17.000]  為什麼我這樣說呢
[00:00:17.000 --> 00:00:18.000]  我不知道你有沒有留意到
[00:00:18.000 --> 00:00:23.000]  在每週程序表 抗堂籌款的數字
[00:00:23.000 --> 00:00:26.000]  無論在免息貸款 或者抗堂的奉獻
[00:00:26.000 --> 00:00:31.000]  每個星期的數字都是有不同的
[00:00:31.000 --> 00:00:35.000]  這個我覺得是很為神去歡呼雀躍
[00:00:35.000 --> 00:00:38.000]  因為看到定姊妹願意奉獻的心
[00:00:38.000 --> 00:00:41.000]  亦都在上個月 抗堂嘉年華會
[00:00:41.000 --> 00:00:43.000]  不論老少上下一心
[00:00:43.000 --> 00:00:46.000]  來到去發揮他們的恩賜和心思
[00:00:46.000 --> 00:00:48.000]  出錢又出力
[00:00:48.000 --> 00:00:50.000]  看見定姊妹很愛教會
[00:00:50.000 --> 00:00:53.000]  因為他們是這裡為他們屬靈的家
[00:00:53.000 --> 00:00:58.000]  我更加看見他們之所以願意無條件付出和擺上
[00:00:58.000 --> 00:01:04.000]  是因為他們深深地來到去經歷神的厚愛和恩惠
[00:01:04.000 --> 00:01:06.000]  是不是啊 定姊妹
[00:01:06.000 --> 00:01:07.000]  沒有什麼反應
[00:01:07.000 --> 00:01:13.000]  因為我們深深地經歷到神的厚愛和恩惠
[00:01:13.000 --> 00:01:17.000]  以致我們很願意來到去為神擺上
[00:01:17.000 --> 00:01:20.000]  以色列人有一次的經歷神蹟
[00:01:20.000 --> 00:01:23.000]  他們藉著尼希米帶領他們重建城牆
[00:01:23.000 --> 00:01:27.000]  而進入重建聖文這個過程
[00:01:27.000 --> 00:01:29.000]  尼希米記第九章裏面
[00:01:29.000 --> 00:01:31.000]  給我們看見這班以色列人
[00:01:31.000 --> 00:01:33.000]  他們來到耶路撒冷聚會
[00:01:33.000 --> 00:01:36.000]  向上帝來到去認罪
[00:01:36.000 --> 00:01:40.000]  他們具體地將到他們過去所犯過的罪
[00:01:40.000 --> 00:01:43.000]  來到去逐一來到去承認
[00:01:43.000 --> 00:01:48.000]  而且還是透過在上帝的面前來到去納約
[00:01:48.000 --> 00:01:52.000]  去確認他們不單止有一個悔改的心
[00:01:52.000 --> 00:01:56.000]  並且立志有一個改變的生命
[00:01:56.000 --> 00:02:00.000]  尼希米記第十章第一至二十七節
[00:02:00.000 --> 00:02:02.000]  列出這八十幾個納約的名字
[00:02:02.000 --> 00:02:06.000]  由祭司利美人和領袖來到去帶頭
[00:02:06.000 --> 00:02:08.000]  他們的妻子他們的兒女
[00:02:08.000 --> 00:02:09.000]  聖經裏面記載
[00:02:09.000 --> 00:02:11.000]  凡有知識能夠明白
[00:02:11.000 --> 00:02:14.000]  甚或乎在迦蘭地定居那些
[00:02:14.000 --> 00:02:17.000]  定義要離絕外邦人的人
[00:02:17.000 --> 00:02:21.000]  他們都一起在這個納約的行動裏面
[00:02:21.000 --> 00:02:25.000]  在以色列人和上帝納約的這一段的內容
[00:02:25.000 --> 00:02:29.000]  他們決定要做到四種生命的改變
[00:02:29.000 --> 00:02:31.000]  這四種生命的改變
[00:02:31.000 --> 00:02:33.000]  亦都是很想他們來到在神的面前
[00:02:33.000 --> 00:02:35.000]  來到去認罪悔改
[00:02:35.000 --> 00:02:37.000]  這個是真實的
[00:02:37.000 --> 00:02:39.000]  而這四種生命的改變
[00:02:39.000 --> 00:02:42.000]  亦都是我們每一個重新得救的基督徒
[00:02:42.000 --> 00:02:45.000]  應該追求的改變
[00:02:45.000 --> 00:02:47.000]  第一種的改變
[00:02:47.000 --> 00:02:49.000]  是一個自我約束
[00:02:49.000 --> 00:02:51.000]  從一個不受約束
[00:02:51.000 --> 00:02:53.000]  變成願意受約束
[00:02:53.000 --> 00:02:55.000]  一個這樣的境況
[00:02:55.000 --> 00:02:57.000]  在二十九節就講到這班以色列人
[00:02:57.000 --> 00:02:59.000]  他們法就起誓
[00:02:59.000 --> 00:03:03.000]  必遵行神直他僕人摩西所傳的律法
[00:03:03.000 --> 00:03:09.000]  謹守遵行耶和華我們主的一切誡命典章律例
[00:03:09.000 --> 00:03:11.000]  他們法就起誓
[00:03:11.000 --> 00:03:16.000]  好似如果有違背就願意去受到最嚴厲的懲罰
[00:03:16.000 --> 00:03:18.000]  就好似我們經常講
[00:03:18.000 --> 00:03:20.000]  如果我做不到的話就天打雷劈
[00:03:20.000 --> 00:03:25.000]  他們用最能夠最強烈的保證的方式
[00:03:25.000 --> 00:03:29.000]  來去到表達他們向神的心願
[00:03:29.000 --> 00:03:32.000]  摩西律法是指到以色列人當出埃及之後
[00:03:32.000 --> 00:03:34.000]  在西乃山上面
[00:03:34.000 --> 00:03:36.000]  上帝傳給百姓的律法
[00:03:36.000 --> 00:03:42.000]  這些律法不單單是規範人和上帝之間的關係
[00:03:42.000 --> 00:03:44.000]  亦都規範了人和人
[00:03:44.000 --> 00:03:50.000]  人和物之間屬於日常生活範圍的關係
[00:03:50.000 --> 00:03:54.000]  當我們每一個回歸去天府的懷抱裏面
[00:03:54.000 --> 00:03:56.000]  我們首要去學的
[00:03:56.000 --> 00:04:01.000]  就是怎樣去毀身在上帝關係的建立這個功課上面
[00:04:01.000 --> 00:04:06.000]  怎樣去學習一個合神心意
[00:04:06.000 --> 00:04:08.000]  土神喜悅的兒女
[00:04:08.000 --> 00:04:11.000]  邁向一個更加像耶穌基督的樣式
[00:04:11.000 --> 00:04:17.000]  很多時候可能我們有時都會過份強調基督徒的自由
[00:04:17.000 --> 00:04:21.000]  忽略了其實我們先要經過一個受約束的階段
[00:04:21.000 --> 00:04:24.000]  如果我們沒有這些愛你的幫助或者提醒
[00:04:24.000 --> 00:04:30.000]  其實我們很難去建立一套基督徒行為的模式和生活習慣
[00:04:30.000 --> 00:04:36.000]  很容易我們就會只是用一把口在口頭上信主
[00:04:36.000 --> 00:04:41.000]  而沒有將信仰植根在我們的生活裏面
[00:04:41.000 --> 00:04:43.000]  對初信主的人
[00:04:43.000 --> 00:04:46.000]  其實我們很需要去告訴他們
[00:04:46.000 --> 00:04:48.000]  甚麼是需要去做
[00:04:48.000 --> 00:04:50.000]  甚麼是需要不去做
[00:04:50.000 --> 00:04:53.000]  去土神喜悅
[00:04:53.000 --> 00:04:55.000]  在我成長的時候
[00:04:55.000 --> 00:04:58.000]  我的組長我的導師就很清楚告訴我們
[00:04:58.000 --> 00:05:01.000]  我們怎樣每天要去讀聖經
[00:05:01.000 --> 00:05:04.000]  祈禱 傳福音 去服侍神
[00:05:04.000 --> 00:05:06.000]  星期日就是要回來教會
[00:05:06.000 --> 00:05:08.000]  之後上主日課
[00:05:08.000 --> 00:05:13.000]  然後我們就是去奉獻我們所有的金錢給神
[00:05:13.000 --> 00:05:16.000]  因為當時我們的教會其實不是很大
[00:05:16.000 --> 00:05:17.000]  八零人而已
[00:05:17.000 --> 00:05:19.000]  所以一眼就看得出
[00:05:19.000 --> 00:05:21.000]  究竟那個星期誰沒有回來
[00:05:21.000 --> 00:05:24.000]  組長當時除了崇拜之外
[00:05:24.000 --> 00:05:25.000]  我們都會留意一下
[00:05:25.000 --> 00:05:27.000]  他的小組究竟有沒有回來
[00:05:27.000 --> 00:05:28.000]  如果沒有的時候
[00:05:28.000 --> 00:05:31.000]  電話晚上就午夜空靈
[00:05:31.000 --> 00:05:33.000]  就打來 江三偉
[00:05:33.000 --> 00:05:34.000]  今天好像不見你
[00:05:34.000 --> 00:05:36.000]  是呀 是呀 今天睡過了
[00:05:36.000 --> 00:05:38.000]  睡懶了 不好意思 不好意思
[00:05:38.000 --> 00:05:40.000]  下次我會早回來
[00:05:40.000 --> 00:05:43.000]  這個組長不單止提醒我
[00:05:43.000 --> 00:05:46.000]  怎樣每個星期去出席崇拜的重要
[00:05:46.000 --> 00:05:48.000]  亦都在每一日裏面
[00:05:48.000 --> 00:05:50.000]  他用盡方法去提醒他的組員
[00:05:50.000 --> 00:05:53.000]  怎樣去靈修親近神
[00:05:53.000 --> 00:05:55.000]  每一晚他都會用盡
[00:05:55.000 --> 00:05:57.000]  我當時未有WhatsApp
[00:05:57.000 --> 00:05:58.000]  都是靠電話
[00:05:58.000 --> 00:05:59.000]  他都會打個電話來
[00:05:59.000 --> 00:06:02.000]  江三偉請問你有沒有今天去靈修
[00:06:02.000 --> 00:06:05.000]  你可不可以和我分享一下你的靈修心得
[00:06:05.000 --> 00:06:06.000]  我還記得當時
[00:06:06.000 --> 00:06:08.000]  當那些時間
[00:06:08.000 --> 00:06:11.000]  我就刻意撞起電話
[00:06:11.000 --> 00:06:13.000]  讓他打不到給我
[00:06:13.000 --> 00:06:17.000]  但我很明白他的用心
[00:06:17.000 --> 00:06:18.000]  因為這樣的緣故
[00:06:18.000 --> 00:06:21.000]  有時候當他這麼煩擾的時候
[00:06:21.000 --> 00:06:24.000]  我怎樣都要去應酬
[00:06:24.000 --> 00:06:27.000]  但當一直這樣去實踐
[00:06:27.000 --> 00:06:29.000]  這個屬靈的操練的時候
[00:06:29.000 --> 00:06:30.000]  漸漸這樣
[00:06:30.000 --> 00:06:31.000]  我就覺得那一天
[00:06:31.000 --> 00:06:33.000]  當不靈修的時候
[00:06:33.000 --> 00:06:35.000]  渾身不自在
[00:06:35.000 --> 00:06:38.000]  頂姐妹我不知道你去到一個這樣的境況
[00:06:38.000 --> 00:06:41.000]  當時我的教會亦都很著重
[00:06:41.000 --> 00:06:44.000]  每個星期怎樣去到
