
[00:00:00.000 --> 00:00:03.640]  更聯絡後書第八章第九節一同來唸
[00:00:03.640 --> 00:00:06.260]  你們知道我們主耶穌基督的恩典
[00:00:06.260 --> 00:00:09.480]  祂本來富足卻爲你們成了貧窮
[00:00:09.480 --> 00:00:12.420]  叫你們因祂的貧窮可以成爲富足
[00:00:12.420 --> 00:00:13.700]  一同再念一遍
[00:00:13.700 --> 00:00:16.220]  你們知道我們主耶穌基督的恩典
[00:00:16.220 --> 00:00:19.340]  祂本來富足卻爲你們成了貧窮
[00:00:19.340 --> 00:00:22.460]  叫你們因祂的貧窮可以成爲富足
[00:00:22.460 --> 00:00:24.780]  我們就做到這裏
[00:00:24.780 --> 00:00:25.900]  今天是聖誕主日
[00:00:25.900 --> 00:00:27.540]  在這裏先恭賀大家
[00:00:27.540 --> 00:00:29.540]  聖誕節非常非常非常快樂
[00:00:29.540 --> 00:00:34.380]  Amen
[00:00:34.380 --> 00:00:36.540]  每次我想到聖誕節的故事的時候
[00:00:36.540 --> 00:00:38.380]  都覺得非常的奇妙
[00:00:38.380 --> 00:00:40.540]  這位偉大全能的神
[00:00:40.540 --> 00:00:43.220]  創造宇宙萬有的主宰
[00:00:43.220 --> 00:00:46.060]  竟然爲了我們的緣故
[00:00:46.060 --> 00:00:51.100]  爲了將我們從罪惡的權勢當中拯救出來
[00:00:51.100 --> 00:00:54.860]  願意差遣祂獨生愛子耶穌基督
[00:00:54.860 --> 00:00:56.860]  來到這個世界上
[00:00:56.860 --> 00:01:00.500]  不但爲我們死而且從死裏復活
[00:01:00.500 --> 00:01:04.820]  而且我們看見耶穌也並沒有按照我們人所以爲的
[00:01:04.820 --> 00:01:07.020]  降生在這樣一個地上
[00:01:07.020 --> 00:01:09.100]  這是爲什麼東方博士去找耶穌
[00:01:09.100 --> 00:01:09.980]  去哪裏找呢
[00:01:09.980 --> 00:01:11.100]  竟然到了耶路撒冷
[00:01:11.100 --> 00:01:14.660]  因爲他們以爲耶穌這位榮耀的大君王
[00:01:14.660 --> 00:01:16.620]  一定會生在王宮裏
[00:01:16.620 --> 00:01:17.740]  不生在王宮裏
[00:01:17.740 --> 00:01:19.620]  生在哪裏呢
[00:01:19.620 --> 00:01:23.020]  耶穌卻沒有選擇生在王宮裏
[00:01:23.020 --> 00:01:25.860]  這位全能真神的主宰的兒子
[00:01:25.860 --> 00:01:27.700]  卻沒有生在王宮裏
[00:01:27.700 --> 00:01:30.420]  他選擇生在哪裏啊
[00:01:30.420 --> 00:01:31.780]  馬槽裏
[00:01:31.780 --> 00:01:33.500]  馬槽是什麼地方呢
[00:01:33.500 --> 00:01:35.980]  馬槽在當時可以說是一個
[00:01:35.980 --> 00:01:39.580]  平凡到不能夠再平凡的地方
[00:01:39.580 --> 00:01:40.820]  在那個時代
[00:01:40.820 --> 00:01:45.940]  你再也找不到任何一個地方比馬槽更加平凡
[00:01:45.940 --> 00:01:46.500]  換句話說
[00:01:46.500 --> 00:01:50.420]  耶穌基督正是爲每一位平凡的人
[00:01:50.420 --> 00:01:52.580]  而來到這個世界上
[00:01:52.580 --> 00:01:55.500]  今天如果在茫茫人海當中
[00:01:55.500 --> 00:01:58.180]  你覺得自己好像算不得什麼
[00:01:58.180 --> 00:02:00.020]  好像是很平凡
[00:02:00.020 --> 00:02:02.500]  那讓我告訴你一個最好的消息
[00:02:02.500 --> 00:02:05.020]  耶穌基督正是爲你而來的
[00:02:05.020 --> 00:02:05.500]  Amen
[00:02:05.500 --> 00:02:09.580]  跟你們說耶穌正是爲你而來的啦
[00:02:09.580 --> 00:02:11.180]  在我們剛纔所讀的經文裏面
[00:02:11.180 --> 00:02:12.060]  真是講到如此
[00:02:12.060 --> 00:02:14.980]  耶穌是爲那些貧窮的人
[00:02:14.980 --> 00:02:16.900]  軟弱的人而來
[00:02:16.900 --> 00:02:19.940]  我們常常就覺得我們自己貧窮軟弱
[00:02:19.940 --> 00:02:23.100]  耶穌正是爲軟弱貧窮的人而來
[00:02:23.100 --> 00:02:28.260]  他本來是富足的卻願意爲我們付出他自己
[00:02:28.260 --> 00:02:30.340]  好叫我們因爲他的付出
[00:02:30.340 --> 00:02:34.420]  我們從貧窮當中可以得到富足
[00:02:34.420 --> 00:02:37.380]  從軟弱當中可以得到剛強
[00:02:37.380 --> 00:02:39.180]  這就是聖誕節的信息
[00:02:39.180 --> 00:02:40.540]  所以當我們在聖誕節的時候
[00:02:40.540 --> 00:02:42.900]  不只是外面慶祝很多的活動
[00:02:42.900 --> 00:02:45.460]  很多的餐會喫喫喝喝
[00:02:45.460 --> 00:02:48.620]  更重要的聖誕節是一個時刻
[00:02:48.620 --> 00:02:51.780]  是我們心靈可以來經歷神
[00:02:51.780 --> 00:02:56.980]  在生活當中我們能活出神的得勝的一個時刻
[00:02:56.980 --> 00:02:58.500]  所以今天早上從三方面來講
[00:02:58.500 --> 00:02:59.620]  怎麼樣來慶祝聖誕
[00:02:59.620 --> 00:03:02.380]  第一個我們看見這是一個禱告的時刻
[00:03:02.380 --> 00:03:05.980]  跟你們說這是一個禱告的時刻
[00:03:05.980 --> 00:03:11.540]  禱告是一個經歷神最直接的管道
[00:03:11.540 --> 00:03:15.700]  特別是今天我們在面對這樣一個危機的時代
[00:03:15.700 --> 00:03:18.740]  不僅是整個大環境充滿了危機
[00:03:18.740 --> 00:03:21.660]  我們看見最近這些恐怖分子的威脅
[00:03:21.660 --> 00:03:23.540]  我們也覺得太多的事情
[00:03:23.540 --> 00:03:26.900]  不自在我們自己掌握當中
[00:03:26.900 --> 00:03:28.260]  不但大環境是如此
[00:03:28.260 --> 00:03:32.100]  各位個人生活當中也是面對各樣的壓力
[00:03:32.100 --> 00:03:35.060]  不但在生活上我們覺得無力
[00:03:35.060 --> 00:03:37.860]  身體上更是覺得無力
[00:03:37.860 --> 00:03:39.620]  也不知道爲什麼在今天的世代
[00:03:39.620 --> 00:03:42.540]  充滿各式各樣的疾病
[00:03:42.540 --> 00:03:43.780]  不但是身體上的疾病
[00:03:43.780 --> 00:03:45.180]  也是心靈上的疾病
[00:03:45.180 --> 00:03:48.020]  不但我們常常被疾病所捆綁
[00:03:48.020 --> 00:03:51.940]  甚至我們的家人也常常被疾病所捆綁
[00:03:51.940 --> 00:03:57.460]  我們看見我們的家人也常有愛莫能助的感覺
[00:03:57.460 --> 00:04:00.020]  而當我們在各樣的危機當中
[00:04:00.020 --> 00:04:05.700]  我們很容易就落入一種迷惑跟試探的裏面
[00:04:05.700 --> 00:04:07.540]  我們開始會懷疑
[00:04:07.540 --> 00:04:09.300]  懷疑神的美善
[00:04:09.300 --> 00:04:10.980]  懷疑神的保護
[00:04:10.980 --> 00:04:13.380]  會懷疑神的供應
[00:04:13.380 --> 00:04:17.300]  這就好像耶穌基督在曠野受試探的時候
[00:04:17.300 --> 00:04:20.900]  魔鬼不也從這三方面在試探他嗎?
[00:04:20.900 --> 00:04:22.260]  第一個試探是什麼?
