
[00:00:00.000 --> 00:00:03.040]  歡迎大家來到我們的「週六崇拜」
[00:00:03.040 --> 00:00:06.680]  今天是六月的第一個星期六
[00:00:06.680 --> 00:00:11.400]  也是我們「週六崇拜」第一次歡迎一班弟兄姊妹
[00:00:11.400 --> 00:00:15.520]  受洗、堅信、加入教會的開心時刻
[00:00:15.520 --> 00:00:19.320]  今天我們暫時會放下「萬學福音」
[00:00:19.320 --> 00:00:25.680]  我們再次回到「使命之神 使命之民」這個講道系列
[00:00:26.000 --> 00:00:30.160]  這是我們教會今年2019年的主題
[00:00:30.160 --> 00:00:35.280]  也會繼續是我們2020年的主題
[00:00:35.280 --> 00:00:37.920]  作為公理堂的牧師
[00:00:37.920 --> 00:00:41.640]  我的盼望也是我給大家的承諾
[00:00:41.640 --> 00:00:47.480]  就是我們今天受洗、堅信、轉會、加入我們的教會的
[00:00:47.480 --> 00:00:49.080]  這群弟兄姊妹
[00:00:49.080 --> 00:00:53.760]  一定會有一個有使命的教會回來
[00:00:54.120 --> 00:01:00.600]  我要我們的教會不是一間在銅鑼灣的教會那麼簡單
[00:01:00.600 --> 00:01:08.040]  我要我們的教會成為一個真正對福音有負擔、有使命的教會
[00:01:08.040 --> 00:01:11.280]  保羅在《前書》第9章第16節這麼說
[00:01:11.280 --> 00:01:14.560]  他說「我若不傳福音,我就有禍了」
[00:01:14.560 --> 00:01:18.560]  對於保羅來說他不傳福音他就有禍了
[00:01:18.560 --> 00:01:20.440]  對於公理堂也是一樣
[00:01:20.440 --> 00:01:22.440]  公理堂若不傳福音
[00:01:22.440 --> 00:01:24.440]  公理堂就有禍了
[00:01:24.440 --> 00:01:29.640]  我們要成為一間有福音使命的教會
[00:01:29.640 --> 00:01:34.480]  說到福音我們究竟應該從哪裡開始呢?
[00:01:34.480 --> 00:01:39.000]  不如就從剛剛過去的禮拜四開始說
[00:01:39.000 --> 00:01:42.120]  我不知道你們知不知道剛剛過去的禮拜四
[00:01:42.120 --> 00:01:47.600]  是教會年曆裡面一個很重要、很大的日子
[00:01:47.800 --> 00:01:52.600]  然而這個大日子也經常會成為一個無人紀念的大日子
[00:01:52.600 --> 00:01:54.600]  你們知不知道這個日子是什麼?
[00:01:54.600 --> 00:02:01.040]  是耶穌基督的升天節
[00:02:01.040 --> 00:02:08.800]  我們都知道教會年曆裡面有聖誕節、有壽難節、有復活節
[00:02:08.800 --> 00:02:12.720]  但是唯一無人紀念的就是升天節
[00:02:12.720 --> 00:02:15.080]  除了我們教會裡面有一個是弟兄
[00:02:15.080 --> 00:02:19.120]  每年到這個時候他都會記得那天就是升天節
[00:02:19.120 --> 00:02:22.880]  所以我記得星期四早上我起床打開WhatsApp
[00:02:22.880 --> 00:02:27.760]  第一個訊息就是他寄來的一幅圖畫
[00:02:27.760 --> 00:02:34.120]  他每年都會寄出一幅慶祝升天節的圖畫
[00:02:34.120 --> 00:02:36.120]  我很喜歡這幅圖畫
[00:02:36.120 --> 00:02:40.480]  這幅圖畫天陰脈運
[00:02:40.480 --> 00:02:44.600]  這幅圖畫在這裡勾著勾著
[00:02:44.600 --> 00:02:46.760]  但又好像在醞釀著一些東西
