
[00:00:00.000 --> 00:00:02.240]  弟兄姊妹,主內平安
[00:00:02.240 --> 00:00:07.000]  今天的講道繼續是講述《哥羅西書》
[00:00:07.000 --> 00:00:11.100]  之前大家如果聽過我幾次的講道
[00:00:11.100 --> 00:00:14.300]  就知道有個主題
[00:00:14.300 --> 00:00:18.800]  就是開始我所講的在基督的信望愛
[00:00:18.800 --> 00:00:20.500]  我提醒大家一個重點
[00:00:20.500 --> 00:00:23.900]  重點不是信望愛那麼簡單
[00:00:23.900 --> 00:00:25.400]  重點是基督
[00:00:25.400 --> 00:00:27.000]  因為如果沒有基督
[00:00:27.000 --> 00:00:30.800]  你的信望愛的意義就不大
[00:00:30.800 --> 00:00:32.000]  如果有基督在裡面
[00:00:32.000 --> 00:00:35.500]  你就充滿信心、有盼望和有愛
[00:00:35.500 --> 00:00:36.900]  接著我所講的題目
[00:00:36.900 --> 00:00:39.300]  就是屬靈的智慧和悟性
[00:00:39.300 --> 00:00:40.400]  大家記不記得
[00:00:40.400 --> 00:00:42.700]  我講到我們有智慧
[00:00:42.700 --> 00:00:44.700]  但這個智慧不是人的智慧
[00:00:44.700 --> 00:00:46.800]  不是人的理解力
[00:00:46.800 --> 00:00:49.600]  這個智慧和理解力是從上帝而來
[00:00:49.600 --> 00:00:50.800]  從聖靈而來
[00:00:50.800 --> 00:00:52.000]  所以這是屬靈的智慧
[00:00:52.000 --> 00:00:53.800]  所以重點在屬靈那裡
[00:00:53.800 --> 00:00:55.600]  而上次我講的是
[00:00:55.600 --> 00:00:57.800]  傳揚上帝的奧秘
[00:00:57.800 --> 00:00:59.200]  就講到奧秘
[00:00:59.200 --> 00:01:00.800]  奧秘不是我的秘密
[00:01:00.800 --> 00:01:01.600]  不是你的秘密
[00:01:01.600 --> 00:01:04.300]  不是人與人之間的所謂秘密
[00:01:04.300 --> 00:01:07.800]  這個奧秘是真的超乎我們的想像
[00:01:07.800 --> 00:01:09.700]  這個是天國的奧秘
[00:01:09.700 --> 00:01:11.100]  這個是創造的奧秘
[00:01:11.100 --> 00:01:14.500]  這個是人死後的奧秘
[00:01:14.500 --> 00:01:17.100]  這個只能夠是從上帝而來
[00:01:17.100 --> 00:01:18.900]  因為上帝是創始成終
[00:01:18.900 --> 00:01:20.400]  上帝是自有永有
[00:01:20.400 --> 00:01:22.600]  上帝是無所不在、無所不能
[00:01:22.600 --> 00:01:24.600]  所以我們知道這個奧秘
[00:01:24.600 --> 00:01:27.400]  是真正的奧秘是從上帝而來
[00:01:27.400 --> 00:01:31.400]  今天同樣我們講這個封聖的生活
[00:01:31.400 --> 00:01:34.300]  封聖也是很不同
[00:01:34.300 --> 00:01:37.800]  因為我今天所講的是在基督裡的封聖
[00:01:37.800 --> 00:01:40.100]  很多人就會問什麼叫封聖
[00:01:40.100 --> 00:01:42.200]  封聖如果你真的照字面解釋
[00:01:42.200 --> 00:01:43.300]  其實封聖這個字
[00:01:43.300 --> 00:01:46.200]  我們在基督教會裡面經常聽到
[00:01:46.200 --> 00:01:47.600]  外面的人很少講封聖
[00:01:47.600 --> 00:01:51.200]  封聖是講到很富裕、很豐富的
[00:01:51.200 --> 00:01:53.800]  其實封聖這個字真的照字面解釋
[00:01:53.800 --> 00:02:02.100]  講到很富裕、很繁榮、很昌盛的
[00:02:02.100 --> 00:02:05.900]  這個是我們都很渴望得到的
[00:02:05.900 --> 00:02:08.500]  但是這個世人所講的封聖
[00:02:08.500 --> 00:02:11.300]  和上帝所講的很不同
[00:02:11.300 --> 00:02:13.800]  第一我們知道我們所講的封聖
[00:02:13.800 --> 00:02:16.600]  其實是很主觀的
[00:02:16.600 --> 00:02:18.700]  什麼叫封聖呢
[00:02:18.700 --> 00:02:22.300]  你的封聖和我的封聖是很不同的
[00:02:22.300 --> 00:02:25.800]  你覺得很好的 我覺得不好
[00:02:25.800 --> 00:02:31.400]  你覺得譬如你說我兒孫滿堂 很好
[00:02:31.400 --> 00:02:34.100]  我說不是 我沒有小孩 我不知道多自由
[00:02:34.100 --> 00:02:37.000]  其實你的封聖和我的封聖是很不同的
[00:02:37.000 --> 00:02:40.000]  舉個例子就是譬如如果你是香港人
[00:02:40.000 --> 00:02:42.800]  你所謂的封聖的生活是什麼呢
[00:02:42.800 --> 00:02:44.700]  封聖生活就是放假那天
[00:02:44.700 --> 00:02:46.700]  傭人姐姐不在 起床
[00:02:46.700 --> 00:02:54.400]  帶女兒出去旺角坐巴士去學芭蕾舞
[00:02:54.400 --> 00:02:56.500]  沒有時間做早餐
[00:02:56.500 --> 00:03:00.700]  在樓下買個腸仔包給她在巴士上吃
[00:03:00.700 --> 00:03:04.000]  去芭蕾舞 芭蕾舞只是半個小時而已
[00:03:04.000 --> 00:03:05.700]  變成你不會回家的
[00:03:05.700 --> 00:03:10.500]  在樓下的茶餐廳傻乎乎的等她完結
[00:03:10.500 --> 00:03:15.100]  接著收到電話 原來約了某長輩
[00:03:15.100 --> 00:03:16.700]  在某屋邨遷就長輩
[00:03:16.700 --> 00:03:20.100]  長輩不能走到他的屋邨樓下喝茶
[00:03:20.100 --> 00:03:21.800]  而且那間餐廳很暴躁
[00:03:21.800 --> 00:03:24.100]  要一早去排隊去拿酒
[00:03:24.100 --> 00:03:26.200]  所以要趕過去那邊
[00:03:26.200 --> 00:03:29.700]  接著還沒吃完又要放下錢
[00:03:29.700 --> 00:03:33.100]  當然要放下錢 要不然你請長輩
[00:03:33.100 --> 00:03:35.100]  但是要跟兒子 接著怎樣
[00:03:35.100 --> 00:03:39.300]  跟兒子逼著要搭地鐵過海去學琴
[00:03:39.300 --> 00:03:44.100]  有個很有名的陳老師教琴很厲害的
[00:03:44.100 --> 00:03:48.100]  教友介紹的
[00:03:48.100 --> 00:03:54.100]  他叫陳紀安 那個教師
