
[00:00:00.000 --> 00:00:03.700]  今天也是我們家庭主日
[00:00:03.700 --> 00:00:05.940]  所以你看見你旁邊有小孩子
[00:00:05.940 --> 00:00:07.240]  你就知道
[00:00:07.240 --> 00:00:10.940]  我們的父母親跟他的孩子在一起
[00:00:10.940 --> 00:00:15.540]  一家人在一起是很寶貴的事情
[00:00:15.540 --> 00:00:18.600]  所以今天我們也要談到
[00:00:18.600 --> 00:00:21.840]  怎麼樣建造一個模範家庭
[00:00:21.840 --> 00:00:23.840]  好 講到模範家庭請問丟什麼
[00:00:23.840 --> 00:00:26.000]  你想到聖經上裡面的模範家庭
[00:00:26.000 --> 00:00:29.940]  想想看你認為哪一個是模範家庭
[00:00:29.940 --> 00:00:34.940]  有沒有想到
[00:00:34.940 --> 00:00:36.940]  上次我們講模範教會
[00:00:36.940 --> 00:00:38.940]  你很快就想到了
[00:00:38.940 --> 00:00:41.940]  今天講模範家庭想想看
[00:00:41.940 --> 00:00:43.940]  聖經上裡面有什麼模範家庭你想到的
[00:00:43.940 --> 00:00:46.940]  有沒有
[00:00:46.940 --> 00:00:51.940]  後面一陣歡笑
[00:00:51.940 --> 00:00:55.940]  有沒有
[00:00:55.940 --> 00:01:01.940]  沒關係講 如果想到了就講好不好
[00:01:01.940 --> 00:01:04.940]  約書亞
[00:01:04.940 --> 00:01:06.940]  至於我和我家必定是鳳爺和華
[00:01:06.940 --> 00:01:11.940]  很好 本來我要選那一段經文的
[00:01:11.940 --> 00:01:15.940]  還有沒有
[00:01:15.940 --> 00:01:17.940]  羅亞全家
[00:01:17.940 --> 00:01:20.940]  好 羅亞全家
[00:01:20.940 --> 00:01:22.940]  一家都得救了
[00:01:22.940 --> 00:01:25.940]  還有沒有
[00:01:25.940 --> 00:01:27.940]  你們講的兩個都是就約的
[00:01:27.940 --> 00:01:33.940]  是不是 還有沒有
[00:01:33.940 --> 00:01:35.940]  人子在地上的家
[00:01:35.940 --> 00:01:37.940]  就是耶穌的家 是不是
[00:01:37.940 --> 00:01:39.940]  好 OK 也是很好
[00:01:39.940 --> 00:01:42.940]  耶穌的父母親這個家
[00:01:42.940 --> 00:01:43.940]  很好的家庭
[00:01:43.940 --> 00:01:47.940]  剛才已經把今天要講的主題講出來了
[00:01:47.940 --> 00:01:51.940]  那聖經上裡面講到有一對夫婦
[00:01:51.940 --> 00:01:53.940]  他們
[00:01:53.940 --> 00:01:56.940]  聖經裡面提到他們的故事不多
[00:01:56.940 --> 00:02:02.940]  大概有六處聖經講到他們的名字
[00:02:02.940 --> 00:02:07.940]  這對夫婦叫做亞居拉 百居拉
[00:02:07.940 --> 00:02:10.940]  再考大家一個問題
[00:02:10.940 --> 00:02:13.940]  亞居拉 百居拉
[00:02:13.940 --> 00:02:20.940]  哪個是先生 哪個是太太
[00:02:20.940 --> 00:02:27.940]  亞居拉
[00:02:27.940 --> 00:02:32.940]  所以亞居拉是先生
[00:02:32.940 --> 00:02:35.940]  百居拉是太太
[00:02:35.940 --> 00:02:36.940]  但是你注意看
[00:02:36.940 --> 00:02:40.940]  這六處聖經裡面
[00:02:40.940 --> 00:02:43.940]  他提到亞居拉 百居拉
