
[00:00:00.000 --> 00:00:04.560]  好,我們讀一下今天我們要講到的經文
[00:00:04.560 --> 00:00:05.880]  我們分享信息
[00:00:05.880 --> 00:00:08.240]  好,我們一起讀一下,請
[00:00:08.240 --> 00:00:12.340]  他們聚集的時候,問耶穌說
[00:00:12.340 --> 00:00:17.120]  主啊,祢復興以色列國,就在這時候嗎?
[00:00:17.120 --> 00:00:19.200]  耶穌對他們說
[00:00:19.200 --> 00:00:24.120]  父憑著自己的權柄,所定的日期
[00:00:24.120 --> 00:00:26.600]  不是你們可以知道的
[00:00:26.600 --> 00:00:32.560]  但聖靈降臨在你們身上,你們就必得著能力
[00:00:32.560 --> 00:00:41.040]  並要在耶路撒冷猶太全地和撒瑪利亞作我們的見證
[00:00:41.040 --> 00:00:46.600]  好,我們已經開始轉進去另一個講題裡面
[00:00:46.600 --> 00:00:50.760]  我們會被差派去到不同的地方去見證神
[00:00:50.760 --> 00:00:53.160]  這段聖經,如果你看背景
[00:00:53.160 --> 00:00:57.040]  其實是耶穌升天的時候的一段話
[00:00:57.040 --> 00:01:01.480]  接著你再讀下去,第九節的時候
[00:01:01.480 --> 00:01:05.360]  說話的時候,去靜看的時候,耶穌就被升天了
[00:01:05.360 --> 00:01:08.480]  就是說這句話,如果在聖經裡面記載
[00:01:08.480 --> 00:01:11.320]  是耶穌一路跟他說完之後就升天了
[00:01:11.320 --> 00:01:14.400]  一個人臨走的時候的說話,重不重要?
[00:01:14.400 --> 00:01:19.320]  重要的,他最重要的,他不會說吃了飯沒有,他不會說這些話
[00:01:19.320 --> 00:01:22.560]  他當然覺得最重要的,所以這句話是非常重要的
[00:01:22.560 --> 00:01:25.480]  而且這個背景是什麼呢?
[00:01:25.480 --> 00:01:29.320]  大家想想當時的門徒
[00:01:29.320 --> 00:01:34.200]  其實他跟著耶穌,跟了三年多
[00:01:34.200 --> 00:01:37.000]  他看到耶穌行神蹟祈禱
[00:01:37.000 --> 00:01:39.680]  他看到耶穌就是稱為神的兒子
[00:01:39.680 --> 00:01:42.200]  他們的生命裡面有沒有盼望?有盼望
[00:01:42.200 --> 00:01:45.920]  而且他已經撇下所有,好像彼得他們已經跟隨耶穌了
[00:01:45.920 --> 00:01:49.960]  全時間跟從神,什麼都不管,他就跟著主
[00:01:49.960 --> 00:01:53.840]  但是沒多久的時候,就是三年多,剛剛這件事
[00:01:53.840 --> 00:01:57.600]  一個多月前,耶穌就被釘十字架,被捉拿
[00:01:57.600 --> 00:02:02.360]  我想門徒他的信仰是跌到低谷的
[00:02:02.360 --> 00:02:06.920]  人生是不知道為了什麼,遇見耶穌
[00:02:06.920 --> 00:02:10.920]  撇下所有,跟著耶穌釘十字架
[00:02:10.920 --> 00:02:14.720]  我想那三天,門徒真的是很震撼的
[00:02:14.720 --> 00:02:18.600]  我在想,我跟著一個人,我以為我全信了他
[00:02:18.600 --> 00:02:22.640]  結果他死了,真的不知道發生什麼事
[00:02:22.640 --> 00:02:24.960]  為什麼耶穌會死?耶穌可以叫死人復活
[00:02:24.960 --> 00:02:28.360]  為什麼耶穌會死呢?我想門徒那時候是很震驚的
[00:02:28.360 --> 00:02:32.480]  其實是很失落的,也都很內疚
[00:02:32.480 --> 00:02:36.240]  可能為什麼我不認耶穌呢?諸如此類,好像彼得那樣
[00:02:36.240 --> 00:02:40.760]  所以當耶穌復活,可想而知門徒的生命裡面
[00:02:40.760 --> 00:02:43.960]  真的跌到最低,忽然間又彈起來,看到耶穌復活
