
[00:00:00.000 --> 00:00:03.420]  今天要講的是青年才俊前程感受
[00:00:03.420 --> 00:00:05.520]  這個是我最喜歡的題目
[00:00:05.520 --> 00:00:06.760]  大家說真的
[00:00:06.760 --> 00:00:09.020]  原因是因為與錢有關
[00:00:09.020 --> 00:00:10.020]  Money Money Money
[00:00:10.020 --> 00:00:13.440]  我不知道你知不知道我以前是讀金融的
[00:00:13.440 --> 00:00:15.680]  所以我很喜歡講錢
[00:00:15.680 --> 00:00:19.740]  其實我很喜歡講錢是因為耶穌很喜歡講錢
[00:00:19.740 --> 00:00:23.120]  當然嚴格來說耶穌不是喜歡講錢
[00:00:23.120 --> 00:00:25.500]  林穆斯也不是喜歡講錢
[00:00:25.500 --> 00:00:29.500]  耶穌喜歡講錢與天國的關係
[00:00:29.500 --> 00:00:32.160]  耶穌最喜歡講的是天國
[00:00:32.160 --> 00:00:34.660]  而林穆斯最喜歡講的一樣
[00:00:34.660 --> 00:00:36.660]  跟著耶穌是天國
[00:00:36.660 --> 00:00:39.580]  青年才俊前程感受
[00:00:39.580 --> 00:00:41.760]  我不知道當你聽到這個題目的時候
[00:00:41.760 --> 00:00:43.280]  你會想起些什麼
[00:00:43.280 --> 00:00:44.100]  如果你問我
[00:00:44.100 --> 00:00:47.580]  我一聽到青年才俊前程感受
[00:00:47.580 --> 00:00:49.880]  如果你問我聖經故事
[00:00:49.880 --> 00:00:51.080]  你會想到些什麼呢?
[00:00:51.080 --> 00:00:52.480]  我一定會想到這個故事
[00:00:52.480 --> 00:00:54.480]  這個是我最喜歡的故事
[00:00:54.480 --> 00:00:57.660]  是那個年輕的財主的故事
[00:00:57.660 --> 00:01:00.600]  如果你上一點2019年下半年
[00:01:00.600 --> 00:01:03.040]  有跟我們一起去看馬可福音
[00:01:03.040 --> 00:01:06.040]  你知道我講了很多很多的故事
[00:01:06.040 --> 00:01:07.440]  不是我選擇的
[00:01:07.440 --> 00:01:09.300]  是我們跟著馬可福音來講的
[00:01:09.300 --> 00:01:11.300]  都是跟錢有關係的
[00:01:11.300 --> 00:01:15.640]  其中一個故事當然就是這個年輕的財俊
[00:01:15.640 --> 00:01:17.140]  來找耶穌尋尋永生
[00:01:17.140 --> 00:01:22.340]  其實我當時講到的題目是叫做兩個父親的故事
[00:01:22.340 --> 00:01:24.560]  如果你忘記了你可以回去聽
[00:01:24.560 --> 00:01:25.980]  兩個父親的故事
[00:01:25.980 --> 00:01:31.420]  我講的不是這個圖畫裡面有兩個父親
[00:01:31.420 --> 00:01:32.960]  一個是假父親
[00:01:32.960 --> 00:01:34.160]  就是那個來找耶穌的
[00:01:34.160 --> 00:01:35.400]  另外一個是真父親
[00:01:35.400 --> 00:01:37.060]  真父親是耶穌的自己
[00:01:37.060 --> 00:01:38.360]  祂從天而降
[00:01:38.360 --> 00:01:41.500]  祂放棄了天上所有的榮華
[00:01:41.500 --> 00:01:43.300]  來到世界上成為
[00:01:43.300 --> 00:01:45.900]  為我們變成窮困
[00:01:45.900 --> 00:01:47.480]  為我們傾倒一切
[00:01:47.480 --> 00:01:54.080]  為要領我們離開這個金錢名利的捆綁
[00:01:54.080 --> 00:01:56.080]  我記得這個故事
[00:01:56.080 --> 00:01:59.580]  這個父親當天他就是悠悠愁愁走了
[00:01:59.580 --> 00:02:02.000]  但是教會歷史有個傳統就說
[00:02:02.000 --> 00:02:05.360]  其實這個父親最後是放棄了一切來跟隨耶穌
[00:02:05.360 --> 00:02:08.240]  他成為了巴拿巴
[00:02:08.240 --> 00:02:11.840]  這個是一個巴拿巴的故事
[00:02:11.840 --> 00:02:14.800]  他最後是離開了Money, Sex, and Power
[00:02:14.800 --> 00:02:16.740]  如果你最近有聽我們講
[00:02:16.740 --> 00:02:18.900]  整個基督徒人生可以這樣講
[00:02:18.900 --> 00:02:21.220]  是從Money, Sex, and Power
[00:02:21.220 --> 00:02:24.880]  金錢、情慾和權力的追求
[00:02:24.880 --> 00:02:29.380]  變成了慷慨、聖潔、馴服於上帝
[00:02:29.380 --> 00:02:35.220]  GPS, Generosity, Purity, and Submission
[00:02:35.220 --> 00:02:37.840]  講起這個父親的故事
[00:02:37.840 --> 00:02:41.000]  其實我經常都說是我最喜歡的故事
[00:02:41.000 --> 00:02:42.500]  其中一個原因是因為
[00:02:42.500 --> 00:02:46.240]  我在這個故事裏面讀到我自己的影子
[00:02:46.240 --> 00:02:48.780]  雖然我不是這個人那麼有錢
[00:02:48.780 --> 00:02:51.040]  我也不是他那麼有才華
[00:02:51.040 --> 00:02:54.000]  但是我記得小時候在香港長大
[00:02:54.000 --> 00:02:58.000]  其實你一直想著要有一個虔誠的感受
[00:02:58.000 --> 00:03:03.100]  虔誠感受當然在香港人的樂度裏面
[00:03:03.100 --> 00:03:06.840]  肯定是讀書讀得好,然後找一份好工作
[00:03:06.840 --> 00:03:10.700]  最後就可以發達、可以置業、可以買樓
[00:03:10.700 --> 00:03:14.980]  可以飛黃騰達在社會上受人尊重等等
[00:03:14.980 --> 00:03:19.080]  這些都是我們社會給我們的虔誠感受
[00:03:19.080 --> 00:03:23.620]  但這個絕對不是耶穌給我們看到的虔誠感受
[00:03:23.620 --> 00:03:25.360]  我將這個故事
[00:03:25.360 --> 00:03:30.360]  因為這個故事也令我想起很多我自己的一些朋友
[00:03:30.360 --> 00:03:34.400]  其實我大部份朋友結果都是悠悠愁愁走了
[00:03:34.400 --> 00:03:36.540]  都不是好故事來的
[00:03:36.540 --> 00:03:39.160]  但是有一個朋友在美國認識的
[00:03:39.160 --> 00:03:40.920]  他是很有意思的
[00:03:40.920 --> 00:03:42.560]  他的名字叫Russell
[00:03:42.560 --> 00:03:45.040]  他有一次寫了他自己的一個見證
[00:03:45.040 --> 00:03:46.660]  他說My name is Russell
[00:03:46.660 --> 00:03:48.260]  我的名字叫Russell
[00:03:48.260 --> 00:03:50.040]  I am a recovering yuppie
[00:03:50.040 --> 00:03:54.920]  我是一個慢慢在康復的yuppie
[00:03:54.920 --> 00:03:55.940]  什麼叫yuppie呢?
[00:03:55.940 --> 00:03:59.900]  yuppie簡單來說是叫Young Urban Professional
[00:03:59.900 --> 00:04:06.400]  就是一個年輕的在一個大城市裏面居住的才俊
[00:04:06.400 --> 00:04:09.500]  就是他是一個professional
[00:04:09.500 --> 00:04:12.940]  Russell開始介紹他自己在那個見證裏面
[00:04:12.940 --> 00:04:15.880]  他說他的故事從小到大
[00:04:15.880 --> 00:04:19.220]  他家裏都是在預備他成為一個yuppie
[00:04:19.220 --> 00:04:22.320]  成為一個年輕的才俊
[00:04:22.320 --> 00:04:25.680]  他說他從小他父母是移民
[00:04:25.680 --> 00:04:28.340]  他在美國長大 中國人
[00:04:28.340 --> 00:04:30.180]  Chinese American
[00:04:30.180 --> 00:04:36.500]  他父母就是希望他可以去到一間好的大學
[00:04:36.500 --> 00:04:41.480]  然後就可以做accountant、lawyer
[00:04:41.480 --> 00:04:46.880]  如果是更好的可能是做醫生
