
[00:00:00.000 --> 00:00:03.000]  鄭英梓,每天早晨,主內平安
[00:00:03.000 --> 00:00:08.000]  當講到《主禱文》的時候
[00:00:08.000 --> 00:00:10.000]  我相信沒有人會不認識
[00:00:10.000 --> 00:00:12.000]  就算你從未讀過
[00:00:12.000 --> 00:00:14.000]  剛才都讀過一次了
[00:00:14.000 --> 00:00:16.000]  更何況呢
[00:00:16.000 --> 00:00:18.000]  《主禱文》我們很多時候都會用
[00:00:18.000 --> 00:00:20.000]  《主禱文》是我們所熟悉的
[00:00:20.000 --> 00:00:23.000]  《主禱文》另外記載的版本
[00:00:23.000 --> 00:00:27.000]  在《路加福音》第十一章一到四節
[00:00:27.000 --> 00:00:30.000]  經文這樣說
[00:00:30.000 --> 00:00:32.000]  耶穌在一個地方禱告
[00:00:32.000 --> 00:00:35.000]  禱告完了,有個門徒對他說
[00:00:35.000 --> 00:00:39.000]  求主教導我們禱告
[00:00:39.000 --> 00:00:42.000]  所以正確一點,準確一點來說
[00:00:42.000 --> 00:00:44.000]  《主禱文》我們常常叫
[00:00:44.000 --> 00:00:46.000]  《主禱文》正確一點應該說是
[00:00:46.000 --> 00:00:49.000]  主教導門徒的禱文
[00:00:49.000 --> 00:00:51.000]  根據這段經文所說
[00:00:51.000 --> 00:00:53.000]  是耶穌教導他的門徒
[00:00:53.000 --> 00:00:55.000]  當門徒問他如何祈禱的時候
[00:00:55.000 --> 00:00:58.000]  這個就是我教你們的禱文
[00:00:58.000 --> 00:01:00.000]  昔日耶穌教門徒禱告
[00:01:00.000 --> 00:01:02.000]  我們今天說我們都是神的門徒
[00:01:02.000 --> 00:01:03.000]  主的門徒
[00:01:03.000 --> 00:01:06.000]  所以我們同樣可以稱這篇的禱文
[00:01:06.000 --> 00:01:09.000]  是主教導我們的禱文
[00:01:09.000 --> 00:01:12.000]  這個正正就是今天我要和大家
[00:01:12.000 --> 00:01:14.000]  分享的講道的題目
[00:01:14.000 --> 00:01:17.000]  過去以來有不少的聖經學者
[00:01:17.000 --> 00:01:18.000]  神學家
[00:01:18.000 --> 00:01:22.000]  撰寫了很多的書籍文章
[00:01:22.000 --> 00:01:25.000]  來討論和研究主禱文
[00:01:25.000 --> 00:01:28.000]  其實這個禱文不單可以讓我們
[00:01:28.000 --> 00:01:30.000]  像剛才那樣一字一句清楚地
[00:01:30.000 --> 00:01:33.000]  跟著去誦讀或者去背誦
[00:01:33.000 --> 00:01:36.000]  作為我們祈禱的一部分
[00:01:36.000 --> 00:01:38.000]  今天也有很多教會
[00:01:38.000 --> 00:01:39.000]  例如禮儀派的教會
[00:01:39.000 --> 00:01:41.000]  他們每個星期在崇拜裡面
[00:01:41.000 --> 00:01:45.000]  都一起去誦讀這個禱文
[00:01:45.000 --> 00:01:46.000]  另一方面
[00:01:46.000 --> 00:01:48.000]  這個禱文不單止讓我們
[00:01:48.000 --> 00:01:51.000]  能夠一字一句一起去用
[00:01:51.000 --> 00:01:53.000]  更可以讓耶穌基督在當中
[00:01:53.000 --> 00:01:56.000]  就好像為我們開了一個範例
[00:01:56.000 --> 00:01:58.000]  究竟在一個祈禱裡面
[00:01:58.000 --> 00:02:00.000]  當門徒去問耶穌
[00:02:00.000 --> 00:02:02.000]  究竟應該怎樣去祈禱的時候
[00:02:02.000 --> 00:02:08.000]  耶穌怎樣去教導和提醒他的門徒呢?
