
[00:00:00.000 --> 00:00:04.000]  按照教會的傳統,章林祈有四個主日
[00:00:04.000 --> 00:00:07.500]  第一個主日有一個主題,就是「醒悟」
[00:00:07.500 --> 00:00:11.000]  第二個主日就是講「悔改」的
[00:00:11.000 --> 00:00:13.000]  一個主題是講「悔改」
[00:00:13.000 --> 00:00:15.000]  第三個主日就是「喜樂」
[00:00:15.000 --> 00:00:17.000]  第四個主日就是「平安」
[00:00:17.000 --> 00:00:19.000]  接著就到「聖誕節」了
[00:00:19.000 --> 00:00:23.000]  今天我的題目是「以晚來利」的召喚
[00:00:23.000 --> 00:00:26.000]  大家可能會想一想,很快的話
[00:00:26.000 --> 00:00:29.000]  「以晚來利」不是一個「應許」嗎?
[00:00:29.000 --> 00:00:32.000]  為什麼牧師將「以晚來利」改為「召喚」呢?
[00:00:32.000 --> 00:00:36.000]  要知道「召喚」和「應許」其實是很不同的
[00:00:36.000 --> 00:00:39.000]  我一直講下去的時候,你可能就會明白
[00:00:39.000 --> 00:00:42.000]  為什麼牧師會這樣講呢?
[00:00:42.000 --> 00:00:47.000]  「以晚來利」的意思就是「上帝與我們同在」
[00:00:47.000 --> 00:00:51.000]  它是由兩個希伯來文的單字合起來的
[00:00:51.000 --> 00:00:54.000]  第一個就是上帝,就是神
[00:00:54.000 --> 00:00:56.000]  第二個就是「與我們同在」
[00:00:56.000 --> 00:01:01.000]  如果你是希伯來人,一讀就是「上帝與我們同在」
[00:01:01.000 --> 00:01:04.000]  我們要透過翻譯才知道
[00:01:04.000 --> 00:01:08.000]  它在聖經裡面總共出現過三次
[00:01:08.000 --> 00:01:14.000]  第一次就在以賽亞書的七章十四節出現過
[00:01:14.000 --> 00:01:18.000]  就是我們剛才讀的聖經裡面其中一個講的
[00:01:18.000 --> 00:01:22.000]  另外一段就是在以賽亞書的八章八節
[00:01:22.000 --> 00:01:24.000]  輕輕提一提
[00:01:24.000 --> 00:01:28.000]  另外一次出現就是在新約的馬太福音一章十三節
[00:01:28.000 --> 00:01:32.000]  也是我們剛才所讀的經文
[00:01:32.000 --> 00:01:37.000]  這兩次的出現有一個時間上的差距
[00:01:37.000 --> 00:01:40.000]  就是相差了約莫七百年
[00:01:40.000 --> 00:01:43.000]  即是耶穌之前七百年
[00:01:43.000 --> 00:01:47.000]  以賽亞先知曾經講過
[00:01:47.000 --> 00:01:52.000]  「必有同類懷人生子,人要稱他名為,以晚來利」
[00:01:52.000 --> 00:01:57.000]  七百年之後,主耶穌降生的時候
[00:01:57.000 --> 00:02:01.000]  這件事的發生就要應驗
[00:02:01.000 --> 00:02:03.000]  先知以賽亞所講的
[00:02:03.000 --> 00:02:09.000]  「必有同類懷人生子,人要稱他名為,以晚來利」
[00:02:09.000 --> 00:02:12.000]  今天要解釋這個「以晚來利」
[00:02:12.000 --> 00:02:15.000]  要講一點歷史的背景
[00:02:15.000 --> 00:02:19.000]  如果你不是很熟悉舊約的歷史
[00:02:19.000 --> 00:02:24.000]  你要留心一點聽,我要盡量簡單地講
[00:02:24.000 --> 00:02:27.000]  聖經是用一個敘事的形式來寫的
