
[00:00:00.000 --> 00:00:04.100]  大英姊妹平安 我們再一次低頭禱告
[00:00:04.100 --> 00:00:07.060]  天父啊 我們多謝你 因為你愛我們
[00:00:07.060 --> 00:00:11.920]  因為你的說話是我們腳前的燈 路上的光
[00:00:11.920 --> 00:00:13.920]  在現在這個時間
[00:00:13.920 --> 00:00:18.000]  雖然有些大英姊妹不能夠回來教會當中一起敬拜
[00:00:18.000 --> 00:00:22.320]  但我們都知道 可能他們在他們的家
[00:00:22.320 --> 00:00:24.880]  在大家雖然聚集不同的地方
[00:00:24.880 --> 00:00:28.220]  但我們都是同感一靈 同一心意的
[00:00:28.220 --> 00:00:32.880]  在你面前來尊崇你 去聆聽你的說話
[00:00:32.880 --> 00:00:37.060]  讓你自己來教導我們 和我們來講你的心意
[00:00:37.060 --> 00:00:39.060]  奉耶穌基督的名祈求 阿們
[00:00:58.220 --> 00:01:03.140]  有四章的時候 其實第一、二章和第三、四章
[00:01:03.140 --> 00:01:06.380]  其實中間好像有一個分界
[00:01:06.380 --> 00:01:10.800]  第一、二章就講到基督的超越
[00:01:10.800 --> 00:01:17.020]  講到作為基督徒 我們是不需要再去
[00:01:17.020 --> 00:01:23.440]  好像去學校 或者去模仿其他不同的信仰
[00:01:23.440 --> 00:01:28.380]  不同的宗教 可以這樣講他們的秘訣
[00:01:28.380 --> 00:01:31.180]  他們有些什麼的秘技 不需要了
[00:01:31.180 --> 00:01:33.860]  因為基督已經是包括了一切
[00:01:33.860 --> 00:01:36.500]  而當我們信了耶穌的時候
[00:01:36.500 --> 00:01:38.820]  我們跟從基督的教訓的時候
[00:01:38.820 --> 00:01:43.540]  其實就已經是一個很穩妥的路
[00:01:43.540 --> 00:01:46.140]  來引領我們去到神的面前
[00:01:46.140 --> 00:01:48.220]  不需要再靠其他很多
[00:01:48.220 --> 00:01:51.860]  有些神秘的主義 有些宗教的儀式
[00:01:51.860 --> 00:01:56.080]  有很多奇形怪狀 古靈精怪的教導
[00:01:56.080 --> 00:01:57.660]  不需要這些了
[00:01:57.660 --> 00:02:00.820]  所以第一、二章就講到基督的超越
[00:02:00.820 --> 00:02:04.700]  但是接下來 保羅在第三、第四章
[00:02:04.700 --> 00:02:07.300]  就講到一個人既然信了基督
[00:02:07.300 --> 00:02:09.740]  既然講到基督這麼超越的時候
[00:02:09.740 --> 00:02:12.180]  其實和我們有什麼關係呢?
[00:02:12.180 --> 00:02:17.340]  一個信耶穌的人 究竟是一個怎樣的人呢?
[00:02:17.340 --> 00:02:18.940]  一個信了耶穌的人
[00:02:18.940 --> 00:02:22.900]  他的生活究竟是一個怎樣 一種怎樣的生活呢?
[00:02:22.900 --> 00:02:27.700]  保羅在第三、第四章就嘗試去解釋了
[00:02:27.700 --> 00:02:31.940]  當中很多的內容 其實因為保羅寫
[00:02:31.940 --> 00:02:36.940]  《耳筆所書》和《哥羅西書》是同一時間寫的
[00:02:36.940 --> 00:02:39.020]  當時保羅是在坐牢的
[00:02:39.020 --> 00:02:40.460]  他寫了這兩封書信
[00:02:40.460 --> 00:02:41.660]  其實很多東西是很類似
[00:02:41.660 --> 00:02:44.420]  可以值得比較去一起閱讀的
[00:02:44.420 --> 00:02:51.060]  我們剛才就已經讀過第一至第十一節了
[00:02:51.060 --> 00:02:57.500]  今天就講到標題叫《基督復活生命的標記》
[00:02:57.500 --> 00:03:00.020]  這個叫上 也就是有下
[00:03:00.020 --> 00:03:03.340]  其實在整段是講到一個信了耶穌的人
[00:03:03.340 --> 00:03:08.380]  他有復活生命的時候 有什麼標記呢?
[00:03:08.380 --> 00:03:10.060]  一開始的時候 保羅就說
[00:03:10.060 --> 00:03:12.860]  所以你們若真與基督一同復活
[00:03:12.860 --> 00:03:18.060]  就當求在上面的是那類有基督在在神的右邊
[00:03:18.060 --> 00:03:20.820]  這裡說這句話的時候
[00:03:20.820 --> 00:03:27.340]  你就看到他講起來有一些特別
[00:03:27.340 --> 00:03:31.300]  所以前面說了基督這麼超越
[00:03:31.300 --> 00:03:33.660]  基督這麼偉大
[00:03:33.660 --> 00:03:36.740]  也就是他所成就的救恩是多麼的完美
[00:03:36.740 --> 00:03:40.100]  所以因為基督的一切
