
[00:00:00.000 --> 00:00:03.860]  讓我們一齊先禱告
[00:00:03.860 --> 00:00:05.820]  親愛的阿爸父
[00:00:05.820 --> 00:00:06.800]  感謝祢
[00:00:06.800 --> 00:00:10.660]  感謝祢差派祢的獨生子耶穌基督來到世界上
[00:00:10.660 --> 00:00:13.220]  今日是耶穌基督復活的日子
[00:00:13.220 --> 00:00:19.140]  讓我們再次反思祢在我們生命奇妙的作為
[00:00:19.140 --> 00:00:21.360]  主啊
[00:00:21.360 --> 00:00:24.320]  希望我們今天都一齊去轉向祢
[00:00:24.320 --> 00:00:26.360]  願祢來塗灶我們的生命
[00:00:26.360 --> 00:00:27.460]  因祢活著
[00:00:27.460 --> 00:00:29.040]  我們充滿喜樂
[00:00:29.040 --> 00:00:30.180]  因祢活著
[00:00:30.180 --> 00:00:31.700]  我們生命有盼望
[00:00:31.700 --> 00:00:33.900]  讓我們經歷祢更多的恩典
[00:00:33.900 --> 00:00:36.040]  起來傳揚祢的名
[00:00:36.040 --> 00:00:38.500]  我們將以下時間交在祢手裏
[00:00:38.500 --> 00:00:40.520]  求祢恭活祢僕人的口
[00:00:40.520 --> 00:00:43.520]  使祢的話語可以進到我們每一個人的心裏
[00:00:43.520 --> 00:00:45.660]  以致我們可以活出祢
[00:00:45.660 --> 00:00:46.840]  多謝祢聽我們祈禱
[00:00:46.840 --> 00:00:48.680]  奉主耶穌基督得勝一命祈求
[00:00:48.680 --> 00:00:49.680]  阿門
[00:00:59.140 --> 00:01:00.740]  有一個教會的會友
[00:01:00.740 --> 00:01:02.840]  因為生活太忙碌
[00:01:02.840 --> 00:01:05.540]  很久沒有回來教會崇拜了
[00:01:05.540 --> 00:01:08.980]  有一天他突然接到牧師公的信
[00:01:08.980 --> 00:01:11.880]  裡面說道教會要關門了
[00:01:11.880 --> 00:01:14.680]  星期日是最後一次崇拜
[00:01:14.680 --> 00:01:17.480]  希望你回來見一面
[00:01:17.480 --> 00:01:20.080]  他見到是最後一次崇拜
[00:01:20.080 --> 00:01:21.440]  他也很珍惜
[00:01:21.440 --> 00:01:23.680]  於是就去參加崇拜了
[00:01:23.680 --> 00:01:26.680]  回到教會他也看到以前的弟兄姊妹
[00:01:26.680 --> 00:01:27.780]  人數也不少
[00:01:27.780 --> 00:01:29.780]  坐得滿滿的
[00:01:29.780 --> 00:01:31.580]  最後一次就像識別會一樣
[00:01:31.580 --> 00:01:33.080]  大家聊聊天
[00:01:33.080 --> 00:01:35.580]  互相問問安
[00:01:35.580 --> 00:01:36.580]  但很奇怪
[00:01:36.580 --> 00:01:41.280]  他見到教會教堂前面有個棺木
[00:01:41.280 --> 00:01:45.080]  他說今天是哪位教友的安息禮拜呢?
[00:01:45.080 --> 00:01:46.880]  哪位教友回到天家呢?
[00:01:46.880 --> 00:01:49.280]  大家都不知道
[00:01:49.280 --> 00:01:50.280]  崇拜開始
[00:01:50.280 --> 00:01:52.580]  牧師就歡迎弟兄姊妹回來
[00:01:52.580 --> 00:01:55.580]  說很久沒有見到這麼多弟兄姊妹
[00:01:55.580 --> 00:01:58.080]  回到神的家去敬拜神
[00:01:58.080 --> 00:02:00.880]  平時崇拜就是十個八個坐在那裡
[00:02:00.880 --> 00:02:03.380]  今天是最後一次崇拜
[00:02:03.380 --> 00:02:05.580]  下星期教會就關門了
[00:02:05.580 --> 00:02:07.380]  所以你們不用擔心了
[00:02:07.380 --> 00:02:09.380]  我不會再寫信給你們了
[00:02:09.380 --> 00:02:10.580]  今天見了面之後
[00:02:10.580 --> 00:02:12.880]  我也不知道什麼時候再見
[00:02:12.880 --> 00:02:14.880]  我也為大家祝福
[00:02:14.880 --> 00:02:16.580]  接著就說道
[00:02:16.580 --> 00:02:18.580]  他說最後有個項目
[00:02:18.580 --> 00:02:22.880]  就是希望大家可以去瞻仰為榮
[00:02:22.880 --> 00:02:25.380]  大家看到前面有個棺木
