
[00:00:00.000 --> 00:00:03.940]  我們一起禱告 求神去帶領我們
[00:00:03.940 --> 00:00:05.800]  天父我們也多謝你
[00:00:05.800 --> 00:00:08.600]  給我們今天有敬拜的時間
[00:00:08.600 --> 00:00:12.200]  願意在我們今天學的課題以神為樂
[00:00:12.200 --> 00:00:14.800]  也願意我們一同學習
[00:00:14.800 --> 00:00:16.840]  由聖靈去幫助我們
[00:00:16.840 --> 00:00:20.880]  祈禱奉主耶穌基督的名 阿們
[00:00:20.880 --> 00:00:23.180]  我相信大家可能聽過
[00:00:23.180 --> 00:00:26.780]  有一位美國的作者
[00:00:26.780 --> 00:00:31.200]  基督徒的作者伊利沙伯
[00:00:31.200 --> 00:00:34.640]  如果我們翻譯中文是艾洛特
[00:00:34.640 --> 00:00:39.040]  他是James Elliot的太太
[00:00:39.040 --> 00:00:44.780]  我想大家也聽過James的一些事跡
[00:00:44.780 --> 00:00:47.940]  他是美國一位宣教士
[00:00:47.940 --> 00:00:51.740]  去到南美洲的阿瓜多爾
[00:00:51.740 --> 00:00:53.240]  然後去傳教
[00:00:53.240 --> 00:00:57.080]  然後被當地的土人殺害
[00:00:57.080 --> 00:00:59.900]  而伊利沙伯特的太太
[00:00:59.900 --> 00:01:04.280]  繼續繼承先生的工作
[00:01:04.280 --> 00:01:08.480]  繼續在那個地方做宣教工作
[00:01:08.480 --> 00:01:12.000]  很感動的就是很多人歸順了主
[00:01:12.000 --> 00:01:18.380]  後來一位當地的土人成為了牧師
[00:01:18.380 --> 00:01:24.200]  而這位有份殺害其中一位宣教士
[00:01:24.200 --> 00:01:25.980]  很奇妙的工作
[00:01:25.980 --> 00:01:28.080]  伊利沙伯特是一個
[00:01:28.080 --> 00:01:30.040]  本身經歷很多患難的人
[00:01:30.040 --> 00:01:34.200]  他也鼓勵很多患難的人
[00:01:34.200 --> 00:01:37.340]  給他們一些協助
[00:01:37.340 --> 00:01:39.240]  有一次他分享到
[00:01:39.240 --> 00:01:43.140]  有一位很年輕的
[00:01:43.140 --> 00:01:44.240]  還是很青年
[00:01:44.240 --> 00:01:47.280]  三十多歲的一個媽媽
[00:01:47.280 --> 00:01:49.280]  她就找伊利沙伯特
[00:01:49.280 --> 00:01:50.800]  她就想問她一件事
[00:01:50.800 --> 00:01:54.280]  她說希望不知道可不可以找到一件事
[00:01:54.280 --> 00:01:57.100]  能夠幫到我信靠神
[00:01:57.100 --> 00:01:58.580]  然後就說到
[00:01:58.580 --> 00:02:03.200]  她有幾個兒女、小朋友
[00:02:03.200 --> 00:02:05.000]  她現在患了癌病
[00:02:05.000 --> 00:02:06.640]  看來醫生說
[00:02:06.640 --> 00:02:10.240]  康復的機會還沒有好
[00:02:10.240 --> 00:02:11.240]  這個情況
[00:02:11.240 --> 00:02:13.740]  伊利沙伯特怎樣去回應呢
[00:02:13.740 --> 00:02:14.580]  他會不會說
[00:02:14.580 --> 00:02:17.780]  不用擔心你會得到醫治
[00:02:17.780 --> 00:02:19.540]  他說我不會這樣說
[00:02:19.540 --> 00:02:21.640]  他想到自己在思想
[00:02:21.640 --> 00:02:23.740]  思索苦難的問題
[00:02:23.740 --> 00:02:25.900]  他想到耶穌基督
[00:02:25.900 --> 00:02:28.480]  當祂要上十字架的時候
[00:02:28.480 --> 00:02:30.040]  祂跟祂的門徒說
[00:02:30.040 --> 00:02:33.600]  祂說我留下我的平安給你
[00:02:33.600 --> 00:02:37.200]  我將我的平安賜給你們
[00:02:37.200 --> 00:02:38.400]  我所賜的
[00:02:38.400 --> 00:02:40.780]  不跟世人所賜
[00:02:40.780 --> 00:02:47.100]  這個平安不在乎祂避免了死亡
[00:02:47.100 --> 00:02:48.500]  而有這份平安
[00:02:48.500 --> 00:02:51.780]  相反祂願意處處順服神的旨意
[00:02:51.780 --> 00:02:53.300]  作食神的作為
[00:02:53.300 --> 00:02:55.340]  當然是走上十字架的道路
[00:02:55.340 --> 00:02:57.700]  而信徒信仰的基礎
[00:02:57.700 --> 00:03:03.340]  也不在乎我們在神身上得到什麼好處
[00:03:03.340 --> 00:03:07.080]  於是他怎樣回應這位女士呢
[00:03:07.080 --> 00:03:13.800]  他就說 當然我不會跟她說到她的病得醫治
[00:03:13.800 --> 00:03:15.640]  但我可以很肯定的說
[00:03:15.640 --> 00:03:18.940]  神的平安是跟她一起的
[00:03:18.940 --> 00:03:21.380]  他說我可以提醒她
[00:03:21.380 --> 00:03:24.080]  神的愛不會離開她
[00:03:24.080 --> 00:03:27.540]  神會擁抱她和她的兒女
[00:03:27.540 --> 00:03:29.740]  耶穌基督說
[00:03:29.740 --> 00:03:33.380]  我但願能夠滿足到這位的姊妹
[00:03:33.380 --> 00:03:35.140]  很想得到的東西
[00:03:35.140 --> 00:03:37.280]  但她也不知道
[00:03:37.280 --> 00:03:39.400]  只能夠為她禱告
[00:03:39.400 --> 00:03:42.340]  有時其實我們基督徒的生命都很吊詭的
[00:03:42.340 --> 00:03:45.340]  一方面我們得到救恩是很喜樂的
[00:03:45.340 --> 00:03:48.040]  我們並有永恆的福樂
[00:03:48.040 --> 00:03:49.500]  有永生
[00:03:49.500 --> 00:03:53.140]  但我們目前卻是面對一個不完美的世界
[00:03:53.140 --> 00:03:54.840]  我們會有苦難
[00:03:54.840 --> 00:03:56.340]  我們會經歷
[00:03:56.340 --> 00:03:58.940]  我們怎樣去持守我們的盼望
[00:03:58.940 --> 00:04:01.640]  我們怎樣去持守我們的信仰
