
[00:00:00.000 --> 00:00:01.860]  各位電影節目的平安
[00:00:01.860 --> 00:00:05.440]  你的赫西瑪利園
[00:00:05.440 --> 00:00:08.640]  赫西瑪利園在哪裏呢?
[00:00:08.640 --> 00:00:11.600]  赫西瑪利園在一個甚麼地方呢?
[00:00:11.600 --> 00:00:15.440]  首先我們在地理上來看
[00:00:15.440 --> 00:00:20.080]  赫西瑪利園其實是一個
[00:00:20.080 --> 00:00:21.460]  橄欖園
[00:00:21.460 --> 00:00:24.000]  可以下一張
[00:00:24.000 --> 00:00:26.960]  它位於吉林溪的另一邊
[00:00:26.960 --> 00:00:28.920]  在耶路撒冷裏面
[00:00:28.920 --> 00:00:34.420]  在耶路撒冷距離城牆大約1.2公里
[00:00:34.420 --> 00:00:37.300]  在東面靠近橄欖山
[00:00:37.300 --> 00:00:41.020]  而這個地方亦是耶穌經常和他的門徒
[00:00:41.020 --> 00:00:43.080]  在那裏祈禱的地方
[00:00:43.080 --> 00:00:47.960]  赫西瑪利這個字本身是甚麼意思呢?
[00:00:47.960 --> 00:00:49.560]  赫西瑪利本身是
[00:00:49.560 --> 00:00:51.600]  壓那些橄欖
[00:00:51.600 --> 00:00:53.900]  那些橄欖池
[00:00:53.900 --> 00:00:56.600]  赫西瑪利是這個原文的意思
[00:00:56.600 --> 00:01:00.000]  壓渣油、壓橄欖出油
[00:01:00.000 --> 00:01:04.480]  所以我們知道以色列地其中一樣很出名的就是橄欖油
[00:01:04.480 --> 00:01:09.720]  傳統上在耶穌獨處裏面
[00:01:09.720 --> 00:01:11.600]  就是在赫西瑪利園
[00:01:11.600 --> 00:01:13.940]  他自己獨處去祈禱
[00:01:13.940 --> 00:01:16.180]  亦都在這個獨處祈禱之後
[00:01:16.180 --> 00:01:17.220]  你看回經文
[00:01:17.220 --> 00:01:21.980]  就是被加勒人猶大其中一個門徒猶大出賣
[00:01:22.380 --> 00:01:29.260]  以致在這裏被該亞法大祭司的手下捉住他的地點
[00:01:29.260 --> 00:01:33.420]  如果有去到這裏旅行的地方
[00:01:33.420 --> 00:01:35.400]  這個萬國禱告堂
[00:01:35.400 --> 00:01:39.380]  按資料顯示是在1924年建立起來的
[00:01:39.380 --> 00:01:42.020]  在這個堂前面
[00:01:42.020 --> 00:01:44.320]  就有一塊很大的石頭
[00:01:44.320 --> 00:01:46.280]  相傳
[00:01:46.280 --> 00:01:50.900]  相傳是耶穌以前在這裏流淚禱告赫西瑪利的地方
[00:01:51.340 --> 00:01:52.860]  在這個花園裏面
[00:01:52.860 --> 00:01:55.180]  你會見到有很多棵
[00:01:55.180 --> 00:01:59.540]  那些年齡接近三千年的橄欖樹
[00:01:59.540 --> 00:02:01.700]  所以
[00:02:01.700 --> 00:02:05.700]  我想如果有去過旅行的頂尖會拍了很多照片
[00:02:05.700 --> 00:02:06.540]  如果你沒有去過
[00:02:06.540 --> 00:02:08.620]  將來你拍些照片回來給我們看看
[00:02:08.620 --> 00:02:10.300]  橄欖樹
[00:02:10.300 --> 00:02:11.540]  赫西瑪利園
[00:02:11.540 --> 00:02:12.980]  在地域上
[00:02:12.980 --> 00:02:13.940]  意思上
[00:02:13.940 --> 00:02:15.740]  就是一個這樣的地方
[00:02:15.740 --> 00:02:17.820]  但今天我們要再看看
[00:02:17.820 --> 00:02:19.620]  赫西瑪利園
[00:02:19.980 --> 00:02:21.340]  對門徒
[00:02:21.340 --> 00:02:22.940]  對耶穌來講
[00:02:22.940 --> 00:02:24.940]  是一個什麼地方呢?
[00:02:24.940 --> 00:02:27.100]  赫西瑪利園
[00:02:27.100 --> 00:02:31.940]  是一個充滿著掙扎的地方
[00:02:31.940 --> 00:02:33.260]  掙扎
[00:02:33.260 --> 00:02:35.420]  人人都有掙扎
[00:02:35.420 --> 00:02:36.700]  你有沒有掙扎?
[00:02:36.700 --> 00:02:37.340]  有
[00:02:37.340 --> 00:02:38.460]  你有沒有掙扎?
[00:02:38.460 --> 00:02:39.420]  有
[00:02:39.420 --> 00:02:41.660]  我想每一個人都有掙扎
[00:02:41.660 --> 00:02:44.060]  只差掙扎是大還是小
[00:02:44.060 --> 00:02:45.820]  有沒有掙扎?
[00:02:45.820 --> 00:02:47.540]  沒有掙扎那些是不正常的
[00:02:47.540 --> 00:02:49.140]  我們要關心一下他
[00:02:50.860 --> 00:02:51.900]  有掙扎
[00:02:51.900 --> 00:02:54.060]  門徒在那裡
[00:02:54.060 --> 00:02:56.060]  很多掙扎
[00:02:56.060 --> 00:02:57.620]  有什麼掙扎呢?
[00:02:57.620 --> 00:03:00.300]  如果你看回經文剛才所講的
[00:03:00.300 --> 00:03:02.060]  怎樣形容這群門徒呢?
[00:03:02.060 --> 00:03:03.740]  心靈
[00:03:03.740 --> 00:03:05.100]  很願意
[00:03:05.100 --> 00:03:07.260]  但是
[00:03:07.260 --> 00:03:08.380]  他的肉體
[00:03:08.380 --> 00:03:10.980]  軟弱
[00:03:10.980 --> 00:03:13.820]  這句經常是我們基督徒講的
[00:03:13.820 --> 00:03:15.620]  我們的心很願意
[00:03:15.620 --> 00:03:16.980]  但總是做出來的時候
[00:03:16.980 --> 00:03:18.420]  肉體就軟弱了
[00:03:20.460 --> 00:03:22.900]  這裡特別記載著這群門徒
[00:03:22.900 --> 00:03:24.660]  他們很睏
[00:03:24.660 --> 00:03:26.580]  睡覺
[00:03:26.580 --> 00:03:28.260]  叫醒又再睡
[00:03:28.260 --> 00:03:31.660]  很困惑
[00:03:31.660 --> 00:03:32.580]  很疲倦
[00:03:32.580 --> 00:03:33.780]  很迷惑
[00:03:33.780 --> 00:03:35.900]  很筋疲力盡
[00:03:35.900 --> 00:03:37.620]  這些呢
[00:03:37.620 --> 00:03:40.220]  都是聖經裡面對他們的形容
[00:03:40.220 --> 00:03:42.980]  在座當中
[00:03:42.980 --> 00:03:44.300]  如果有一些弟兄姊妹
[00:03:44.300 --> 00:03:45.500]  昨晚是
[00:03:45.500 --> 00:03:47.260]  有開到夜工
[00:03:47.260 --> 00:03:49.300]  開到很晚才回家睡覺
[00:03:49.300 --> 00:03:50.020]  又或者甚至
[00:03:50.020 --> 00:03:51.980]  昨晚通宵工作
[00:03:51.980 --> 00:03:53.420]  有些護士也是
[00:03:53.420 --> 00:03:54.620]  通宵工作
[00:03:54.620 --> 00:03:57.700]  接著就回來聚會
[00:03:57.700 --> 00:04:00.420]  對於他們肉身來講
[00:04:00.420 --> 00:04:00.980]  其實
[00:04:00.980 --> 00:04:02.780]  他們都很疲倦
[00:04:02.780 --> 00:04:06.180]  所以有時候我也告訴自己
[00:04:06.180 --> 00:04:07.420]  看到他們中午睡覺
[00:04:07.420 --> 00:04:08.820]  不要怪他們
[00:04:08.820 --> 00:04:13.500]  人肉體上有這樣的需要是很正常的
