
[00:00:00.000 --> 00:00:12.000]  新年的一開始,那麼接著我們繼續要開始講啟示錄
[00:00:12.000 --> 00:00:16.000]  我越讀啟示錄,我自己就越興奮
[00:00:16.000 --> 00:00:20.000]  興奮的是因為當你越明白神的心意
[00:00:20.000 --> 00:00:26.000]  你就越覺得看見這個世界上面,這個世界所發生的事情
[00:00:26.000 --> 00:00:29.000]  你就越來越明白神的心意是什麼
[00:00:29.000 --> 00:00:32.000]  你就可以從神的心意來看這個世界的事情
[00:00:32.000 --> 00:00:36.000]  我想新冠狀病毒在全球肆虐
[00:00:36.000 --> 00:00:40.000]  特別是在美國已經是從去年的
[00:00:40.000 --> 00:00:45.000]  可以說是一月就開始了
[00:00:45.000 --> 00:00:48.000]  因為我還記得一月我們去短宣的時候
[00:00:48.000 --> 00:00:51.000]  我們在土耳其的機場裡面就感覺到
[00:00:51.000 --> 00:00:55.000]  整個機場的氣氛不太一樣了
[00:00:55.000 --> 00:00:57.000]  大家都戴起口罩來
[00:00:57.000 --> 00:01:01.000]  特別是對我們這些華人、中國人
[00:01:01.000 --> 00:01:04.000]  看起來像中國人的就非常的緊張
[00:01:04.000 --> 00:01:06.000]  那時候就已經開始了
[00:01:06.000 --> 00:01:10.000]  等到回來美國之後,美國還沒有那麼樣子快
[00:01:10.000 --> 00:01:13.000]  但是不久,馬上就開始居家避疫
[00:01:13.000 --> 00:01:15.000]  我們現在講起這些事情的時候
[00:01:15.000 --> 00:01:17.000]  那已經是將近快一年的事情
[00:01:17.000 --> 00:01:24.000]  你可以想像短短的大概九個月、十個月的時間
[00:01:24.000 --> 00:01:29.000]  新冠狀病毒已經這樣子整個的全球在那個地方瀰漫
[00:01:29.000 --> 00:01:33.000]  帶來一個結果好像這個聲勢越來越雄厚
[00:01:33.000 --> 00:01:35.000]  越來越的越大
[00:01:35.000 --> 00:01:39.000]  特別是美國,特別是我們所在的洛杉磯
[00:01:39.000 --> 00:01:42.000]  那丟著美這麼久的時間
[00:01:42.000 --> 00:01:44.000]  你的心裡面我不知道你如何感覺
[00:01:44.000 --> 00:01:47.000]  我不曉得這個疫情對你帶來的影響是什麼
[00:01:47.000 --> 00:01:49.000]  也許可能在這個疫情的當中
[00:01:49.000 --> 00:01:52.000]  有的人也因此得了這個COVID-19
[00:01:52.000 --> 00:01:55.000]  有的人因此甚至家人可能因此走了
[00:01:55.000 --> 00:01:57.000]  也許你在這個疫情的當中
[00:01:57.000 --> 00:01:59.000]  你喪失了很多的工作的機會
[00:01:59.000 --> 00:02:02.000]  可能你甚至經濟上有很大的損失
[00:02:02.000 --> 00:02:05.000]  這個疫情帶給我們有太大的影響了
[00:02:05.000 --> 00:02:06.000]  但是親愛的兄姊妹
[00:02:06.000 --> 00:02:08.000]  我盼望這些的疫情帶給我們的影響
[00:02:08.000 --> 00:02:13.000]  不只是在這些外在的、短暫的、會過去的這些的影響
[00:02:13.000 --> 00:02:16.000]  我盼望這次的疫情帶給我們的影響是永恆的
[00:02:16.000 --> 00:02:20.000]  是帶給我們更多的眼目來看見這位族
[00:02:20.000 --> 00:02:22.000]  所以我們在上次的訊息裡面
[00:02:22.000 --> 00:02:25.000]  我們講到啟示錄第六章我們講到結束的時候
[00:02:25.000 --> 00:02:28.000]  我們提到說那個羔羊的憤怒
[00:02:28.000 --> 00:02:29.000]  那個憤怒的大日
[00:02:29.000 --> 00:02:31.000]  那個憤怒的大日是指的什麼呢
[00:02:31.000 --> 00:02:35.000]  那個憤怒的大日就是指的那個末後的日子
[00:02:35.000 --> 00:02:40.000]  耶穌基督要再來之前的那一個審判的日子
[00:02:40.000 --> 00:02:42.000]  那丟著美這件事情
[00:02:42.000 --> 00:02:44.000]  不管你是基督徒不是基督徒
[00:02:44.000 --> 00:02:46.000]  你都要面對這件事情
[00:02:46.000 --> 00:02:50.000]  所以呢這件事情是關乎全人類的事情
[00:02:50.000 --> 00:02:53.000]  這件事情是關乎全人類的事情
[00:02:53.000 --> 00:02:55.000]  所以今天如果你聽到這個信息的呢
[00:02:55.000 --> 00:02:57.000]  你還沒有信耶穌的
[00:02:57.000 --> 00:02:59.000]  你不要認為說這個跟你沒有關係
[00:02:59.000 --> 00:03:01.000]  這個跟你太有關係了
[00:03:01.000 --> 00:03:03.000]  那丟著美也許你信了耶穌之後
[00:03:03.000 --> 00:03:05.000]  你仍然會有這樣的一個疑問
[00:03:05.000 --> 00:03:07.000]  就是說在這個第六章
[00:03:07.000 --> 00:03:12.000]  啟示錄第六章十五到十七節
[00:03:12.000 --> 00:03:15.000]  在這個地方他提到什麼呢
[00:03:15.000 --> 00:03:18.000]  我們可以看見我們稍微複習一下
[00:03:18.000 --> 00:03:20.000]  因為我們對這個啟示錄
[00:03:20.000 --> 00:03:22.000]  當你去看的時候
[00:03:22.000 --> 00:03:24.000]  如果你不仔細的研讀
[00:03:24.000 --> 00:03:26.000]  真的是你會看完之後
[00:03:26.000 --> 00:03:35.000]  就是這個叫做就是這個叫做就是一頭霧水
