
[00:00:00.000 --> 00:00:03.900]  近期令香港社會甚至是國際關注的事件之一
[00:00:03.900 --> 00:00:07.940]  是候任立法會議員梁游宣誓事件
[00:00:07.940 --> 00:00:11.280]  所引發的一連串討論
[00:00:11.280 --> 00:00:13.820]  甚至今日有的遊行
[00:00:13.820 --> 00:00:15.640]  面對著香港政治
[00:00:15.640 --> 00:00:20.280]  以及因為政治所引起的公義、法治
[00:00:20.280 --> 00:00:22.600]  或者香港的自主性
[00:00:22.600 --> 00:00:26.740]  甚至是國家的主權等等的問題
[00:00:26.740 --> 00:00:29.680]  有些人的表達手法是很激進的
[00:00:29.680 --> 00:00:34.380]  有些人的表達手法是很溫和的
[00:00:34.380 --> 00:00:37.000]  激進的多數被指為搞事
[00:00:37.000 --> 00:00:39.460]  破壞香港安定繁榮
[00:00:39.460 --> 00:00:44.560]  溫和的就被指為怕事或者龜縮
[00:00:44.560 --> 00:00:49.660]  香港基督徒和教會往往被指為第二類
[00:00:49.660 --> 00:00:54.040]  所以近年香港教會的形象越來越不討好
[00:00:54.040 --> 00:00:57.360]  其實在一個大是大非的時代
[00:00:57.360 --> 00:00:59.880]  神的兒女、僕人
[00:00:59.880 --> 00:01:01.120]  甚至是教會
[00:01:01.120 --> 00:01:03.120]  我們可以怎樣自處
[00:01:03.120 --> 00:01:07.000]  一方面我們這樣才可以蒙神的喜悅
[00:01:07.000 --> 00:01:11.860]  另一方面我們又可以在社會做美好的見證
[00:01:11.860 --> 00:01:14.500]  今日跟大家介紹一位小人物
[00:01:14.500 --> 00:01:19.240]  我稱他為隱藏的抗爭者俄巴底
[00:01:19.240 --> 00:01:22.880]  讓我們不單單看這個人物的好
[00:01:22.880 --> 00:01:25.460]  我們經常說一個人物在一生裏面
[00:01:25.460 --> 00:01:28.220]  總有他好的地方亦有他限制的地方
[00:01:28.220 --> 00:01:29.860]  我們不單單效法他
[00:01:29.860 --> 00:01:31.540]  而是我們在他的身上
[00:01:31.540 --> 00:01:35.940]  看看上帝怎樣在一個大是大非的時代
[00:01:35.940 --> 00:01:39.760]  同時使用那些激進的抗爭者
[00:01:39.760 --> 00:01:43.960]  又使用那些溫和的或者隱藏的抗爭者
[00:01:43.960 --> 00:01:45.960]  來成就他自己的計劃
[00:01:45.960 --> 00:01:49.000]  剛才讀的經文有三個主要的人物
[00:01:49.000 --> 00:01:50.760]  一是以利亞
[00:01:50.760 --> 00:01:52.160]  二是阿黑
[00:01:52.160 --> 00:01:54.440]  三是俄巴底
[00:01:54.440 --> 00:01:56.980]  其實還有兩類的人物
[00:01:56.980 --> 00:01:58.680]  名字被提
[00:01:58.680 --> 00:02:00.280]  特性被提
[00:02:00.280 --> 00:02:02.780]  不過沒有出現在整個故事裏面
[00:02:02.780 --> 00:02:05.640]  分別是有耶駛別
[00:02:05.640 --> 00:02:08.760]  和沒有記名的一百個先知
[00:02:08.760 --> 00:02:10.760]  他們沒有出場
[00:02:10.760 --> 00:02:13.220]  故事第一第二節我稱為故事的背景
[00:02:13.220 --> 00:02:15.980]  因為今日的焦點是講俄巴底
[00:02:15.980 --> 00:02:18.080]  第一第二節說過了很久
[00:02:18.080 --> 00:02:21.100]  到第三年耶華的患就臨到以利亞
[00:02:21.100 --> 00:02:25.220]  說:你去,讓阿黑可以見到你
[00:02:25.220 --> 00:02:27.540]  我要降雨在地上
[00:02:27.540 --> 00:02:31.860]  以利亞就去,要使阿黑不見他
[00:02:31.860 --> 00:02:33.620]  或者讀第一第二節的時候
[00:02:33.620 --> 00:02:36.580]  我們知道總是有一些故事
[00:02:36.580 --> 00:02:39.060]  再故事的背景
[00:02:39.060 --> 00:02:42.920]  前文《獵王紀》上第十七章第一節
[00:02:42.920 --> 00:02:47.860]  講到在基列寄居的提斯比人以利亞
[00:02:47.860 --> 00:02:50.420]  曾經和阿黑說了一番話
[00:02:50.420 --> 00:02:55.140]  他說:我指著所侍奉永生的耶和華以色列的神起誓
[00:02:55.140 --> 00:02:57.500]  這幾年如果我不祈禱
[00:02:57.500 --> 00:03:00.360]  就不降露,不下雨
[00:03:00.360 --> 00:03:01.740]  阿黑是誰呢?
[00:03:01.740 --> 00:03:03.400]  一會兒會詳細交代
[00:03:03.400 --> 00:03:05.840]  現在說阿黑是以色列的王
[00:03:05.840 --> 00:03:08.060]  那以利亞是誰呢?
[00:03:08.060 --> 00:03:08.980]  以利亞是誰?
[00:03:08.980 --> 00:03:11.340]  以利亞是以色列的先知
[00:03:11.340 --> 00:03:13.900]  先知就對著王說了一番這樣的說話
[00:03:13.900 --> 00:03:16.060]  如果我不祈禱就不下雨了
[00:03:16.060 --> 00:03:17.500]  都很大膽
[00:03:17.500 --> 00:03:20.060]  不下雨有什麼後果?
[00:03:20.060 --> 00:03:21.340]  旱災
[00:03:21.340 --> 00:03:23.140]  旱災出現
[00:03:23.140 --> 00:03:26.020]  原本有的食物就沒有了
[00:03:26.020 --> 00:03:27.860]  沒有糧食
[00:03:27.860 --> 00:03:29.300]  那多久呢?
[00:03:29.300 --> 00:03:31.060]  這裡說
[00:03:31.060 --> 00:03:34.260]  剛才讀的第十八章說過了很久
[00:03:34.260 --> 00:03:36.140]  就是到第三年
[00:03:36.140 --> 00:03:39.660]  如果我們熟悉新的聖經《路加福音》和《雅各書》
[00:03:39.660 --> 00:03:41.860]  五章就記載過
[00:03:41.860 --> 00:03:46.220]  以利亞的時代有三年零六個月
[00:03:46.220 --> 00:03:47.900]  是沒有下雨的
[00:03:47.900 --> 00:03:51.460]  那當然可能他們計算了這裡到第三年的意思
[00:03:51.460 --> 00:03:53.620]  不只說下雨
[00:03:53.620 --> 00:03:55.700]  就是說
[00:03:55.700 --> 00:03:59.620]  以利亞和阿黑說了話之後
[00:03:59.620 --> 00:04:03.100]  耶和華和以利亞說完話
[00:04:03.100 --> 00:04:04.860]  以利亞就去了
[00:04:04.860 --> 00:04:06.620]  讓阿黑得見他
[00:04:06.620 --> 00:04:08.100]  那故事就停一停
[00:04:08.100 --> 00:04:09.620]  做了一個轉變
[00:04:09.620 --> 00:04:11.020]  去到什麼呢?
[00:04:11.020 --> 00:04:13.420]  就是我要說的故事的開始
[00:04:13.420 --> 00:04:15.660]  就是俄巴底
[00:04:15.660 --> 00:04:17.060]  在第二節
[00:04:17.060 --> 00:04:19.300]  到第六節告訴我們
[00:04:19.300 --> 00:04:22.660]  阿黑和俄巴底
[00:04:22.660 --> 00:04:26.100]  找青草餵雷馬
[00:04:26.100 --> 00:04:27.580]  第二節下半節說
[00:04:27.580 --> 00:04:30.380]  那時撒瑪利亞有大饑荒
[00:04:30.380 --> 00:04:31.220]  交代一下
[00:04:31.220 --> 00:04:32.020]  有大饑荒了
[00:04:32.020 --> 00:04:33.100]  那怎麼做呢?
[00:04:33.100 --> 00:04:34.660]  阿黑就將他的家宅
[00:04:34.660 --> 00:04:35.780]  俄巴底召來
[00:04:35.780 --> 00:04:36.420]  很有趣
[00:04:36.420 --> 00:04:38.820]  寫作的人就在這裡括著
[00:04:38.820 --> 00:04:40.380]  俄巴底是怎樣的呢?
[00:04:40.380 --> 00:04:42.620]  俄巴底甚至敬畏神
[00:04:42.620 --> 00:04:45.860]  怎樣可以見到他敬畏神呢?
[00:04:45.860 --> 00:04:49.740]  耶洗別撒耶和華種仙枝的時候
[00:04:49.740 --> 00:04:52.460]  俄巴底就將一百個仙枝藏了
[00:04:52.460 --> 00:04:54.820]  每五十個人藏在一個洞裡
[00:04:54.820 --> 00:04:57.380]  拿餅和水供養他們
[00:04:57.380 --> 00:04:58.980]  這個家宅
[00:04:58.980 --> 00:05:03.660]  不要以為他是一個低層的僕人在家裡
[00:05:03.660 --> 00:05:04.540]  不是
[00:05:04.540 --> 00:05:06.020]  是一個很低微的工人
[00:05:06.020 --> 00:05:07.900]  家宅的意思是
[00:05:07.900 --> 00:05:11.820]  阿黑王宮裡面最高的官員
[00:05:11.820 --> 00:05:15.620]  可以說是統管著王宮
[00:05:15.620 --> 00:05:16.780]  所有的事情
[00:05:16.780 --> 00:05:17.860]  這個家宅
[00:05:17.860 --> 00:05:20.740]  是很得阿黑的信任
[00:05:20.740 --> 00:05:22.340]  阿黑叫他來做什麼呢?
[00:05:22.340 --> 00:05:23.820]  之前說大饑荒
