
[00:00:00.000 --> 00:00:02.000]  我上星期也有提及
[00:00:02.000 --> 00:00:05.000]  在過去幾個月
[00:00:05.000 --> 00:00:08.000]  香港人面對香港的政局
[00:00:08.000 --> 00:00:12.000]  也有很多能夠離開香港的人
[00:00:12.000 --> 00:00:16.000]  開始慢慢離開香港
[00:00:16.000 --> 00:00:20.000]  甚至有一天有報紙說
[00:00:20.000 --> 00:00:25.000]  我寧願到外地成為二等公民
[00:00:25.000 --> 00:00:29.000]  也會比住在香港安全
[00:00:29.000 --> 00:00:31.000]  各位頂姐妹
[00:00:31.000 --> 00:00:33.000]  我不是看不起
[00:00:33.000 --> 00:00:35.000]  或責備離開的人
[00:00:35.000 --> 00:00:37.000]  我相信每個人
[00:00:37.000 --> 00:00:39.000]  都可以在上帝面前
[00:00:39.000 --> 00:00:41.000]  有自己的領袖
[00:00:41.000 --> 00:00:43.000]  有自己的心意
[00:00:43.000 --> 00:00:45.000]  但反而
[00:00:45.000 --> 00:00:47.000]  能離開的人
[00:00:47.000 --> 00:00:49.000]  始終是少數
[00:00:49.000 --> 00:00:51.000]  絕大部份人
[00:00:51.000 --> 00:00:53.000]  仍然需要留在香港
[00:00:53.000 --> 00:00:55.000]  無論是自願的
[00:00:55.000 --> 00:00:57.000]  或被迫的
[00:00:57.000 --> 00:00:59.000]  都不足為奇
[00:00:59.000 --> 00:01:01.000]  但上帝讓我們知道
[00:01:01.000 --> 00:01:04.000]  教會不會忽然
[00:01:04.000 --> 00:01:06.000]  將同福堂搬到加拿大
[00:01:06.000 --> 00:01:08.000]  不可能的事
[00:01:08.000 --> 00:01:10.000]  同福堂仍然是
[00:01:10.000 --> 00:01:12.000]  香港的一間教會
[00:01:12.000 --> 00:01:14.000]  其中一間教會
[00:01:14.000 --> 00:01:15.000]  我們很深信
[00:01:15.000 --> 00:01:17.000]  今天我們離開的
[00:01:17.000 --> 00:01:19.000]  我仍然尊重
[00:01:19.000 --> 00:01:21.000]  昔日九七問題
[00:01:21.000 --> 00:01:22.000]  很多人離開
[00:01:22.000 --> 00:01:24.000]  很多墓者離開
[00:01:24.000 --> 00:01:25.000]  我上次也有提及
[00:01:25.000 --> 00:01:27.000]  這報紙簡直是頭條新聞
[00:01:27.000 --> 00:01:29.000]  牧師22問
[00:01:29.000 --> 00:01:31.000]  很多人離開
[00:01:31.000 --> 00:01:33.000]  但我覺得我們不需要
[00:01:33.000 --> 00:01:35.000]  責備離開的人
[00:01:35.000 --> 00:01:37.000]  也不需要覺得
[00:01:37.000 --> 00:01:39.000]  自己不離開的人好像很偉大
[00:01:39.000 --> 00:01:41.000]  我今天不離開,我比你偉大
[00:01:41.000 --> 00:01:43.000]  不是,完全不是
[00:01:43.000 --> 00:01:45.000]  而是上帝要我們更謙卑在神的面前
[00:01:45.000 --> 00:01:47.000]  讓他相信
