
[00:00:00.000 --> 00:00:02.600]  各位大家好 早安
[00:00:02.600 --> 00:00:07.980]  多謝林全圖的邀請來到貴堂和大家分享訊息
[00:00:07.980 --> 00:00:12.160]  讓我們一起去低頭 先有個祈禱
[00:00:12.160 --> 00:00:13.720]  天主的父親 我們感謝你
[00:00:13.720 --> 00:00:18.560]  因為是你的恩典 讓我們能聚集一齊去敬拜你
[00:00:18.560 --> 00:00:22.480]  當我們來到你的根前的時候 聆聽你的說話
[00:00:22.480 --> 00:00:28.800]  求你的聖靈開我們的眼睛 開我們的耳朵
[00:00:28.800 --> 00:00:32.600]  以致我們能夠明白你的話語
[00:00:32.600 --> 00:00:35.900]  當我們去跟從你 做你的門徒
[00:00:35.900 --> 00:00:43.400]  神父我們求祢 首先教導我們和你建立一個好的關係
[00:00:43.400 --> 00:00:47.000]  以致我們能夠和弟兄姊妹
[00:00:47.000 --> 00:00:51.960]  能夠活出一個合神心意的團體生活
[00:00:51.960 --> 00:00:55.440]  神父我們求祢 教導我們更多地認識祢
[00:00:55.440 --> 00:00:57.640]  因為當我們認識祢的時候
[00:00:57.640 --> 00:01:02.140]  我們才能夠和弟兄姊妹有那份團契
[00:01:02.140 --> 00:01:06.040]  主啊 我們知道我們很多時候都有很多的軟弱
[00:01:06.040 --> 00:01:08.600]  我們未必有愛心
[00:01:08.600 --> 00:01:12.520]  所以上帝我們求祢 教導我們回到祢的根前
[00:01:12.520 --> 00:01:17.720]  去懂得認罪悔改 求祢的饒恕
[00:01:17.720 --> 00:01:20.600]  主啊 祢是滿有恩典
[00:01:20.600 --> 00:01:24.960]  因為祢應許過 當我們回到祢的根前的時候
[00:01:24.960 --> 00:01:27.400]  祢會赦免我們的罪
[00:01:27.400 --> 00:01:31.520]  祢會讓聖靈去轉化我們的生命
[00:01:31.520 --> 00:01:38.020]  我們的禱告是奉乃基督的命求 阿們
[00:01:38.020 --> 00:01:44.480]  我們大部份都是說廣東話的
[00:01:44.480 --> 00:01:51.880]  所以我們是澳洲的移民
[00:01:51.880 --> 00:01:54.760]  當我們來到澳洲的時候
[00:01:54.760 --> 00:02:00.240]  我們會選擇怎樣的去找教會呢?
[00:02:00.240 --> 00:02:05.200]  我們會不會去到教會那裡參加的時候
[00:02:05.200 --> 00:02:10.480]  我們會看一看教會的團體生活是怎樣的
[00:02:10.480 --> 00:02:12.720]  如果那些人不理會你
[00:02:12.720 --> 00:02:15.560]  你回到教會 坐到崇拜
[00:02:15.560 --> 00:02:19.680]  接著來到第一次 沒人和你溝通
[00:02:19.680 --> 00:02:21.120]  沒人理會你的時候
[00:02:21.120 --> 00:02:25.440]  你可能會想 這間教會也未必很歡迎我
[00:02:25.440 --> 00:02:27.600]  我還是再找另一間吧
