
[00:00:00.000 --> 00:00:02.600]  今天大家看的題目叫做「不要等」
[00:00:02.600 --> 00:00:06.080]  我相信在香港生活的人
[00:00:06.080 --> 00:00:08.600]  這些題目其實不用說的了
[00:00:08.600 --> 00:00:09.640]  大家都知道
[00:00:09.640 --> 00:00:11.160]  中國人所說的
[00:00:11.160 --> 00:00:13.240]  「執書行頭」是怎樣的呢?
[00:00:13.240 --> 00:00:14.400]  慘過敗家
[00:00:14.400 --> 00:00:17.000]  什麼都要搶、抓、等
[00:00:17.000 --> 00:00:22.680]  不要過去等花了任何時間
[00:00:22.680 --> 00:00:24.080]  沒什麼機會了
[00:00:24.080 --> 00:00:28.280]  但是這個「不要等」這個情況
[00:00:28.280 --> 00:00:30.760]  通常用在我們自己生命當中
[00:00:30.760 --> 00:00:33.800]  跟自己有關、有好處的情況之下
[00:00:33.800 --> 00:00:36.440]  我們才會很急切地追趕
[00:00:36.440 --> 00:00:38.320]  趕著做完一件事
[00:00:38.320 --> 00:00:40.160]  不過對於在屬靈的事情上
[00:00:40.160 --> 00:00:41.280]  或者對神的事情
[00:00:41.280 --> 00:00:44.240]  我們往往有一個「拖延症」
[00:00:44.240 --> 00:00:46.400]  神的事情
[00:00:46.400 --> 00:00:48.000]  遲一點做吧
[00:00:48.000 --> 00:00:48.720]  不用那麼急
[00:00:48.720 --> 00:00:49.600]  慢慢做
[00:00:49.600 --> 00:00:51.920]  不需要那麼緊張
[00:00:51.920 --> 00:00:56.320]  或者我們在神的事情裡面
[00:00:56.320 --> 00:00:57.320]  時刻未到
[00:00:57.320 --> 00:00:58.800]  我們先禱告等候神
[00:00:58.800 --> 00:01:02.120]  用一個比較拖延的態度去回應神
[00:01:02.120 --> 00:01:05.360]  祂自己對我們心裡面的呼召和感動
[00:01:05.360 --> 00:01:07.000]  回看《聖經》裡面的時候
[00:01:07.000 --> 00:01:07.920]  又不是
[00:01:07.920 --> 00:01:11.320]  《聖經》有些比較舊的詩歌
[00:01:11.320 --> 00:01:13.560]  譬如唐從明那首《雅歌》
[00:01:13.560 --> 00:01:15.080]  第一句是什麼呢?
[00:01:15.080 --> 00:01:19.960]  「你吸引我,我就慢跑跟隨你」
[00:01:19.960 --> 00:01:23.560]  是「快跑跟隨你」
[00:01:23.560 --> 00:01:26.080]  在《雅歌》第一章第四節
[00:01:26.080 --> 00:01:27.360]  它形容到
[00:01:27.360 --> 00:01:29.680]  當一件神那麼吸引祂的時候
[00:01:29.680 --> 00:01:31.600]  祂真的能夠撲過去
[00:01:31.600 --> 00:01:35.720]  我們曾幾何時對神那種愛慕之情
[00:01:35.720 --> 00:01:39.200]  仰慕之心有那麼激動呢?
[00:01:39.200 --> 00:01:42.120]  如果大家是一些粵劇歌迷的話
[00:01:42.120 --> 00:01:43.440]  你就明白我說什麼了
[00:01:43.440 --> 00:01:46.080]  哪個大腦官唱完了
[00:01:46.080 --> 00:01:48.360]  我們走到後台裡面去看看他
[00:01:48.360 --> 00:01:50.480]  然後跟他握握手
[00:01:50.480 --> 00:01:52.560]  或者那些粉絲
[00:01:52.560 --> 00:01:53.480]  握握手
[00:01:53.480 --> 00:01:55.160]  很開心見到他
[00:01:55.160 --> 00:01:56.680]  究竟對神的態度
[00:01:56.680 --> 00:01:59.600]  有沒有那種渴慕、追求、熱切的心呢?
