
[00:00:00.000 --> 00:00:02.340]  原本這個星期的「港獨」
[00:00:02.340 --> 00:00:07.240]  是會講馬太福音裏面關於耶穌基督的教訓
[00:00:07.240 --> 00:00:09.060]  在過去這個星期
[00:00:09.060 --> 00:00:10.660]  因為有觀眾假期
[00:00:10.660 --> 00:00:12.760]  以及有獨精靈的緣故
[00:00:12.760 --> 00:00:14.100]  在上一個星期
[00:00:14.100 --> 00:00:17.820]  我們就已經準備了「港獨」的大綱
[00:00:17.820 --> 00:00:20.480]  只不過在剛剛過去這個星期裏面
[00:00:20.480 --> 00:00:22.540]  香港社會裏面發生了很多
[00:00:22.540 --> 00:00:25.940]  令人感到擔心的示威事件
[00:00:25.940 --> 00:00:29.660]  由佔中變成了遍地開花
[00:00:29.660 --> 00:00:32.760]  由和平變成了衝突
[00:00:32.760 --> 00:00:34.780]  我和很多人一樣
[00:00:34.780 --> 00:00:38.920]  心情久久不能平靜
[00:00:38.920 --> 00:00:40.180]  有一晚
[00:00:40.180 --> 00:00:43.400]  我面對著電視的新聞報道
[00:00:43.400 --> 00:00:45.620]  我心感到很沉重
[00:00:45.620 --> 00:00:47.580]  我覺得我受不了
[00:00:47.580 --> 00:00:48.740]  最後
[00:00:48.740 --> 00:00:52.300]  我選擇去了街上散步
[00:00:52.300 --> 00:00:55.700]  連太太剛剛煮好的晚飯我都沒有吃
[00:00:55.700 --> 00:00:59.700]  在這裏我要多謝太太的體諒
[00:00:59.700 --> 00:01:04.540]  後來我開始避開了不看電視的畫面
[00:01:04.540 --> 00:01:07.780]  我只看文字的報道
[00:01:07.780 --> 00:01:11.940]  這樣才讓自己的心情可以好過一點
[00:01:11.940 --> 00:01:14.660]  又或者因為讀輔導的緣故
[00:01:14.660 --> 00:01:18.340]  我明白到視像對人的影響
[00:01:18.340 --> 00:01:19.900]  而事實上
[00:01:19.900 --> 00:01:22.340]  在美國越戰的時候
[00:01:22.340 --> 00:01:24.140]  很多的美國人
[00:01:24.140 --> 00:01:26.300]  因為看到電視畫面裏面
[00:01:26.300 --> 00:01:28.500]  很多戰爭的場景
[00:01:28.500 --> 00:01:31.180]  很多死亡的片段
[00:01:31.180 --> 00:01:34.420]  他們需要去見輔導
[00:01:34.420 --> 00:01:36.140]  所以我知道我應該要盡力
[00:01:36.140 --> 00:01:40.620]  避開那些新聞的電視畫面
[00:01:40.620 --> 00:01:42.300]  我也知道
[00:01:42.300 --> 00:01:44.260]  作為一位目者
[00:01:44.260 --> 00:01:47.900]  我應該為社會現有的情況
[00:01:47.900 --> 00:01:49.500]  和弟兄姊妹一起的
[00:01:49.500 --> 00:01:55.020]  回到聖經 回到神 回到我們信仰那裏
[00:01:55.020 --> 00:01:57.780]  去看看神有甚麼心意
[00:01:57.780 --> 00:02:01.860]  去看看神有甚麼教導和提醒
[00:02:01.860 --> 00:02:04.300]  只不過我必須承認
[00:02:04.300 --> 00:02:07.700]  我心境其實一直都沒有平靜過
[00:02:07.700 --> 00:02:11.020]  甚至不知道怎樣去準備
[00:02:11.020 --> 00:02:14.020]  所以這次的講道和以往不同
[00:02:14.020 --> 00:02:16.900]  我並沒有準備大綱
[00:02:16.900 --> 00:02:20.700]  只是心願神使用今天的講道
[00:02:20.700 --> 00:02:23.260]  成為了很多弟兄姊妹的安慰
[00:02:23.260 --> 00:02:26.300]  鼓勵 力量和提醒
[00:02:26.300 --> 00:02:31.420]  讓我們一起低頭禱告
[00:02:31.420 --> 00:02:37.460]  爸爸 我很喜歡叫你做爸爸
[00:02:37.460 --> 00:02:40.580]  每一次當我沉重的時候
[00:02:40.580 --> 00:02:44.300]  我知道我都可以這樣呼喚你
[00:02:44.300 --> 00:02:48.660]  也只有你會聆聽我的呼喚
[00:02:48.660 --> 00:02:51.100]  不會拒絕我
[00:02:51.100 --> 00:02:55.180]  也只有你明白我心靈深處裏面
[00:02:55.180 --> 00:02:59.940]  別人不能夠明白的那種沉重
[00:02:59.940 --> 00:03:03.540]  爸爸 我很感謝你
[00:03:03.540 --> 00:03:09.020]  因為這個呼喚代表著我和你的親切
[00:03:09.020 --> 00:03:12.740]  也代表著你總不會離棄我
[00:03:12.740 --> 00:03:17.780]  社會 人世間 人生裏面
[00:03:17.780 --> 00:03:20.100]  總有很多我們不知道
[00:03:20.100 --> 00:03:21.980]  我們不能夠掌握
[00:03:21.980 --> 00:03:25.100]  不能夠面對的風浪
[00:03:25.100 --> 00:03:30.420]  但唯有你和我們同行同走
[00:03:30.420 --> 00:03:34.580]  並且唯有你將盼望賜給我們
[00:03:34.580 --> 00:03:39.020]  讓我們仍然可以在你那裡找到力量
[00:03:39.020 --> 00:03:41.860]  求你將信心賜給我們
[00:03:41.860 --> 00:03:44.420]  讓我們定徵在你那裡
[00:03:44.420 --> 00:03:48.100]  讓我們從你那裡得到恩典
[00:03:48.100 --> 00:03:52.700]  奉耶穌基督命求 阿門
[00:03:52.700 --> 00:03:56.980]  這個星期當我想跪下來向神禱告的時候
[00:03:56.980 --> 00:04:00.620]  我發現我的心不能夠平靜
[00:04:00.620 --> 00:04:04.940]  甚至不能夠專注地禱告
[00:04:04.940 --> 00:04:08.140]  我不僅感覺到沒有力量
[00:04:08.140 --> 00:04:14.100]  我甚至有一種不想祈禱的感覺
[00:04:14.100 --> 00:04:16.020]  直到星期二
[00:04:16.020 --> 00:04:19.020]  當我準備寫一些文字
[00:04:19.020 --> 00:04:20.980]  也已經刊登在程序表裏面
[00:04:20.980 --> 00:04:23.900]  就是牧者給弟兄姊妹的信
[00:04:23.900 --> 00:04:25.820]  我重新去看看
[00:04:25.820 --> 00:04:27.580]  猶大王希西加
[00:04:27.580 --> 00:04:32.700]  他面對亞述大軍入侵的那段經文的時候
[00:04:32.700 --> 00:04:35.660]  上主向我來說話
