
[00:00:00.000 --> 00:00:02.840]  各位聽眾今天我們看荷西亞書
[00:00:02.840 --> 00:00:06.600]  之前和大家看了第一,第二和第三章
[00:00:06.600 --> 00:00:08.240]  這次我們會看完
[00:00:08.240 --> 00:00:11.520]  很短時間內我們不能每一章都一篇講道
[00:00:11.520 --> 00:00:14.640]  但是希望能夠有一個總括的去認識
[00:00:14.640 --> 00:00:18.840]  和從聖經裏面給我們一些得著和力量
[00:00:18.840 --> 00:00:21.840]  我們再一次聽到之前禱告
[00:00:26.520 --> 00:00:30.680]  真是天父上帝求祢的靈繼續在我們這裏工作
[00:00:30.680 --> 00:00:33.360]  在我們心裏面工作
[00:00:33.360 --> 00:00:35.840]  開我們的眼,打開我們的耳朵
[00:00:35.840 --> 00:00:37.560]  打開我們的心
[00:00:37.560 --> 00:00:42.080]  去恭迎神的說話進入我們的生命裏面
[00:00:42.080 --> 00:00:44.280]  求主祢親自教導我們
[00:00:44.280 --> 00:00:48.440]  鼓勵督責引導我們的生命
[00:00:48.440 --> 00:00:50.440]  將以這段時間交上
[00:00:50.440 --> 00:00:54.040]  禱告奉耶穌基督的聖名求,阿們
[00:00:57.520 --> 00:01:01.720]  不能愛的愛第三,歸來吧
[00:01:01.720 --> 00:01:08.040]  上個月有一個崇拜我是很開心很快樂的
[00:01:08.040 --> 00:01:09.800]  很意外的
[00:01:09.800 --> 00:01:10.880]  是甚麼一回事呢
[00:01:10.880 --> 00:01:13.520]  就是當我站上台做歡迎的時候
[00:01:13.520 --> 00:01:15.920]  就好像剛才我們歡迎兩位弟兄一樣
[00:01:15.920 --> 00:01:17.840]  當我做歡迎的時候
[00:01:17.840 --> 00:01:20.160]  我望一望台,在這個位置
[00:01:20.160 --> 00:01:23.840]  有一個很高大很帥的男生坐在這裏
[00:01:23.840 --> 00:01:27.360]  就是我們以前有一個弟兄Jeffrey回來了
[00:01:27.360 --> 00:01:29.360]  我不知道他回來了
[00:01:29.360 --> 00:01:32.040]  當我做歡迎報告,望一望有沒有新朋友的時候
[00:01:32.040 --> 00:01:34.040]  我就看到他坐在這裏
[00:01:34.040 --> 00:01:38.280]  原來有一些我們親愛的
[00:01:38.280 --> 00:01:41.240]  很好關係的弟兄姊妹
[00:01:41.240 --> 00:01:42.600]  離開了拍攝一段時間
[00:01:42.600 --> 00:01:43.560]  我們很掛念他
[00:01:43.560 --> 00:01:47.520]  他突然回來,我們看到他回來我們這個家的時候
[00:01:47.520 --> 00:01:50.360]  是會很開心很快樂
[00:01:50.360 --> 00:01:53.880]  我想不單是上個月Jeffrey一個男生
[00:01:53.880 --> 00:01:55.880]  而是很多時候我們很經歷到
[00:01:55.880 --> 00:01:57.000]  你在這裏生活得久的時候
[00:01:57.000 --> 00:02:00.480]  很經歷得到很多你以前舊的朋友
[00:02:00.480 --> 00:02:03.200]  回來這裏,特地回來這裏探望你們的時候
[00:02:03.200 --> 00:02:05.960]  你們會很開心很快樂
[00:02:05.960 --> 00:02:12.880]  相信我們作為天父的兒女
[00:02:12.880 --> 00:02:17.400]  我們每一次離開了天父身邊的時候
[00:02:17.400 --> 00:02:19.600]  我們回到天父身邊
[00:02:19.600 --> 00:02:23.200]  這個天父都是很開心很快樂
[00:02:23.200 --> 00:02:28.400]  就好像盧家福音的浪子比喻一樣
[00:02:28.400 --> 00:02:31.760]  這個爸爸每一天可能坐在門口那裏
[00:02:31.760 --> 00:02:35.240]  等他這個浪子的兒子回來
[00:02:35.240 --> 00:02:37.440]  遠遠一看到這個兒子回來
[00:02:37.440 --> 00:02:41.320]  就走過去抱著他
[00:02:41.320 --> 00:02:43.840]  今天天父都是這樣
[00:02:43.840 --> 00:02:45.920]  這樣愛我們
[00:02:45.920 --> 00:02:52.040]  很想和我們抱在一起過每一天的生活
[00:02:52.040 --> 00:02:56.240]  上次我們講到不能愛的愛
[00:02:56.240 --> 00:02:59.240]  第二就是愛到分離仍然是愛
[00:02:59.240 --> 00:03:04.560]  上次就說神即使被你傷過無數次
[00:03:04.560 --> 00:03:06.840]  他都會繼續地愛你
[00:03:06.840 --> 00:03:10.640]  默默地守護你
[00:03:10.640 --> 00:03:16.120]  你怎樣回應呢?
[00:03:16.120 --> 00:03:21.800]  回到神那裏歸來吧
[00:03:21.800 --> 00:03:24.640]  今天我們來看看第一個回應
[00:03:24.640 --> 00:03:27.800]  歸向上帝
[00:03:27.800 --> 00:03:33.640]  原來荷西亞書整卷書的主題是「歸回」
[00:03:33.640 --> 00:03:37.160]  所以你們看到聖經裏面講了很多
[00:03:37.160 --> 00:03:43.080]  關於「歸回」「歸向」出現了最少15次
[00:03:43.080 --> 00:03:48.960]  而在6章第一節上半節就是整卷荷西亞書一個重點的句子
[00:03:48.960 --> 00:03:50.320]  我們再讀一次好不好?
[00:03:50.320 --> 00:03:52.600]  6章第一節上
[00:03:52.600 --> 00:03:56.080]  來吧 我們歸向耶和華
[00:03:56.080 --> 00:03:57.120]  再來一次
[00:03:57.120 --> 00:04:00.600]  來吧 我們歸向耶和華
[00:04:00.600 --> 00:04:04.880]  來吧 我們歸向耶和華
