
[00:00:00.000 --> 00:00:03.200]  大家好,各位馬年快樂
[00:00:03.200 --> 00:00:06.800]  在這裡先去拜年,今天年廿幾呀?
[00:00:06.800 --> 00:00:09.400]  廿八,是嗎?
[00:00:09.400 --> 00:00:11.400]  廿八,是嗎?
[00:00:11.400 --> 00:00:15.700]  糟了,我搞錯了,我知道今年沒有年三十的
[00:00:15.700 --> 00:00:20.400]  所以星期二就是初一,大家是不是放假?
[00:00:20.400 --> 00:00:22.400]  真的放假?
[00:00:22.400 --> 00:00:25.400]  美國來的,請假放假,OK
[00:00:25.400 --> 00:00:28.200]  你掌聲給我聽,請假放假,太好了
[00:00:28.200 --> 00:00:30.200]  自己放自己假
[00:00:30.200 --> 00:00:32.200]  如果你是馬年的話呢?
[00:00:32.200 --> 00:00:35.200]  誰屬馬年的?
[00:00:35.200 --> 00:00:41.200]  有喎,OK,屬馬年的,我們特別恭喜你,馬年快樂
[00:00:41.200 --> 00:00:46.200]  我跟弟兄姊妹聊天的時候,我發現年輕人是不會背十二生肖的
[00:00:46.200 --> 00:00:48.200]  有誰會背十二生肖的?
[00:00:48.200 --> 00:00:49.200]  有誰會背?
[00:00:49.200 --> 00:00:51.200]  這麼少人?
[00:00:51.200 --> 00:00:54.200]  下一年是什麼?馬年之後是什麼?
[00:00:54.200 --> 00:00:56.200]  羊嘛,是嗎?怎麼數?
[00:00:57.200 --> 00:00:59.200]  有誰不會數十二生肖的?
[00:00:59.200 --> 00:01:03.200]  這麼多,那些叫做年輕一點的
[00:01:03.200 --> 00:01:05.200]  很容易的,是嗎?
[00:01:05.200 --> 00:01:07.200]  鼠牛虎兔龍蛇馬羊猴雞狗豬
[00:01:07.200 --> 00:01:11.200]  是嗎?
[00:01:11.200 --> 00:01:13.200]  鼠牛虎兔龍蛇馬羊猴雞狗豬
[00:01:13.200 --> 00:01:16.200]  很容易的,單字這樣背,是嗎?
[00:01:16.200 --> 00:01:19.200]  好像,創出利民生,書士得殺王
[00:01:19.200 --> 00:01:22.200]  舊約目錄都是這樣背的,怎麼會不會背?
[00:01:22.200 --> 00:01:26.200]  如果你不會背,請你去華埠廣場轉一圈,好嗎?
