
[00:00:00.000 --> 00:00:04.880]  《雅各書》第五章十三到第十六節
[00:00:04.880 --> 00:00:08.220]  這裡說你們中間有受苦的呢,他就該禱告
[00:00:08.220 --> 00:00:10.860]  有喜樂的呢,他就該歌頌
[00:00:10.860 --> 00:00:13.960]  中間有病的呢,他就該請教會的長老來
[00:00:13.960 --> 00:00:17.900]  他們可以奉主的名,用油抹他,為他禱告
[00:00:17.900 --> 00:00:20.320]  出於信心的祈禱,要救那病人
[00:00:20.320 --> 00:00:21.860]  主必叫他起來
[00:00:21.860 --> 00:00:24.400]  他若犯了罪,也必蒙赦免
[00:00:24.400 --> 00:00:28.500]  所以你們要彼此認罪,互相代求,使你們可以得醫治
[00:00:28.500 --> 00:00:32.680]  一人祈禱所發的力量,是大有功效的
[00:00:32.680 --> 00:00:35.140]  我們就讀到這個地方
[00:00:35.140 --> 00:00:40.320]  今天我們真正生活在一個缺乏能源的時代
[00:00:40.320 --> 00:00:45.860]  不但外面的環境,我們常常面對所謂的能源危機
[00:00:45.860 --> 00:00:52.220]  在我們心靈世界裡面,我們也常常有一種無力感,不是嗎?
[00:00:52.220 --> 00:00:55.000]  我們人的身體是軟弱的
[00:00:55.000 --> 00:01:00.440]  當年輕的時候,你愛去哪裡就去哪裡,你愛吃什麼就吃什麼
[00:01:00.440 --> 00:01:05.140]  可是年到過了中年,你就發現好像你的身體
[00:01:05.140 --> 00:01:08.440]  好像一個過了保用期的機器一樣
[00:01:08.440 --> 00:01:11.120]  到處充滿毛病,不是嗎?
[00:01:11.120 --> 00:01:14.280]  我們的意志也是軟弱的
[00:01:14.280 --> 00:01:17.480]  多少時候我們想做的事情,我們做不到
[00:01:17.480 --> 00:01:22.260]  我們不想做的事情,卻仍然拼命地去做
[00:01:22.260 --> 00:01:25.260]  我們的情感也是軟弱的
[00:01:25.260 --> 00:01:30.060]  多少時候我們人常常就活在愛與恨的掙扎當中
[00:01:30.060 --> 00:01:34.940]  我們人常常就活在憂慮跟恐懼的陰影之下
[00:01:34.940 --> 00:01:37.940]  我們常常面對人生
[00:01:37.940 --> 00:01:41.980]  生活的每一件事情都有一種無力感
[00:01:41.980 --> 00:01:44.240]  這個能力從哪裡來呢?
[00:01:44.240 --> 00:01:47.080]  這個能力絕對不是從我們自己而來
[00:01:47.080 --> 00:01:50.280]  這個能力只有從神而來
[00:01:50.280 --> 00:01:52.460]  就好像當你在神,我這裡看見
