
[00:00:00.000 --> 00:00:01.980]  今天的主題是
[00:00:01.980 --> 00:00:06.340]  神國沒有版權
[00:00:06.340 --> 00:00:08.240]  這個題目比較有趣
[00:00:08.240 --> 00:00:10.140]  但是你看起來就很明白
[00:00:10.140 --> 00:00:12.900]  門徒又發生了什麼事
[00:00:12.900 --> 00:00:15.420]  剛剛講完對上的經文
[00:00:15.420 --> 00:00:16.820]  講完耶穌基督
[00:00:16.820 --> 00:00:19.780]  再講跟隨社企背熟的
[00:00:19.780 --> 00:00:20.820]  今天又發生了什麼事呢?
[00:00:20.820 --> 00:00:21.740]  我們看看
[00:00:21.740 --> 00:00:25.020]  當然我們先講一下版權
[00:00:25.020 --> 00:00:29.700]  很多很出名的牌子都會有翻版
[00:00:29.700 --> 00:00:32.260]  大家猜一猜這些翻版
[00:00:32.260 --> 00:00:34.060]  他翻什麼版?
[00:00:34.060 --> 00:00:35.700]  第一個我們看的就是
[00:00:35.700 --> 00:00:36.940]  Starbucks
[00:00:36.940 --> 00:00:37.700]  是什麼?
[00:00:37.700 --> 00:00:38.620]  Starbucks
[00:00:38.620 --> 00:00:40.380]  大家有沒有去過Starbucks?
[00:00:40.380 --> 00:00:41.660]  你知道的
[00:00:41.660 --> 00:00:42.540]  看看就是
[00:00:42.540 --> 00:00:43.940]  Starbucks沒錯
[00:00:43.940 --> 00:00:45.860]  接著看看下一個
[00:00:45.860 --> 00:00:47.180]  你又找不找得到是什麼?
[00:00:47.180 --> 00:00:48.140]  這個是
[00:00:48.140 --> 00:00:50.100]  Old Macdonald
[00:00:50.100 --> 00:00:52.100]  他翻什麼?
[00:00:52.100 --> 00:00:53.260]  Macdonald
[00:00:53.260 --> 00:00:54.660]  很明顯
[00:00:54.660 --> 00:00:57.660]  這個真的很難分辨
[00:00:57.660 --> 00:00:58.660]  這個叫做
[00:00:59.820 --> 00:01:01.620]  Anki
[00:01:01.620 --> 00:01:02.820]  是不是很像?
[00:01:02.820 --> 00:01:03.860]  你看一看你的鞋子
[00:01:03.860 --> 00:01:05.660]  是不是Anki?
[00:01:05.660 --> 00:01:07.140]  很奇怪
[00:01:07.140 --> 00:01:08.460]  真的很相似
[00:01:08.460 --> 00:01:09.740]  他翻什麼?
[00:01:09.740 --> 00:01:11.260]  Nike沒錯
[00:01:11.260 --> 00:01:13.340]  下一個是非常有趣的
[00:01:13.340 --> 00:01:15.020]  這個你看到是什麼?
[00:01:15.020 --> 00:01:20.540]  是不是很神秘?
[00:01:20.540 --> 00:01:21.700]  他翻什麼?
[00:01:21.700 --> 00:01:22.900]  KFC
[00:01:22.900 --> 00:01:25.940]  這個是Obama FC
[00:01:25.940 --> 00:01:27.500]  變成了KFC
[00:01:27.500 --> 00:01:29.460]  當然很多不同的品牌
[00:01:29.460 --> 00:01:30.980]  你見過還有很多例子
[00:01:30.980 --> 00:01:32.500]  例如Oreo
[00:01:32.500 --> 00:01:34.380]  變成了Oreo
[00:01:34.380 --> 00:01:38.100]  Coca-Cola變成了Coca-Cola
[00:01:38.100 --> 00:01:40.900]  Chanel變成了什麼?
[00:01:40.900 --> 00:01:42.740]  Channel
[00:01:42.740 --> 00:01:43.860]  很明顯
[00:01:43.860 --> 00:01:45.980]  Prada變成了Prado
[00:01:45.980 --> 00:01:48.980]  還有中國的名牌也有
[00:01:48.980 --> 00:01:49.580]  在台灣
[00:01:49.580 --> 00:01:51.900]  有沒有喝過蒙牛奶?
[00:01:51.900 --> 00:01:52.580]  很出名
[00:01:52.580 --> 00:01:53.420]  變成什麼?
[00:01:53.420 --> 00:01:55.340]  有出過叫做猛牛
[00:01:55.340 --> 00:01:57.020]  你留意一下樣子也很相似
[00:01:57.020 --> 00:01:58.860]  或者叫做豪牛
