
[00:00:00.000 --> 00:00:04.160]  我們今天繼續看《已不所書》的時候
[00:00:04.160 --> 00:00:06.920]  我們繼續願意天父帶領我們
[00:00:06.920 --> 00:00:10.040]  上次林憲傳道就提到一點
[00:00:10.040 --> 00:00:13.640]  要我們面對自己生命的陰暗面
[00:00:13.640 --> 00:00:17.080]  我相信這個都是一個很大的掙扎
[00:00:17.080 --> 00:00:21.720]  因爲我們每一個人可能都有一些黑暗的地方
[00:00:21.720 --> 00:00:29.120]  我們每一個人都要面對周圍的人的想法和眼光
[00:00:29.120 --> 00:00:31.800]  我們不敢去面對真實的自己
[00:00:31.800 --> 00:00:35.880]  因爲恐怕人家不能夠接受我們
[00:00:35.880 --> 00:00:39.320]  但是今天我們是活在光明中
[00:00:39.320 --> 00:00:42.520]  我們深信一件事就是聖靈光照我們的時候
[00:00:42.520 --> 00:00:45.760]  我們能夠真正去面對我們自己的真相
[00:00:45.760 --> 00:00:48.640]  以至我們能夠活出我們的自己
[00:00:48.640 --> 00:00:52.120]  不是再活在人家的期望當中
[00:00:52.120 --> 00:00:55.360]  所以我們願意活出一個神所喜悅的生活
[00:00:55.360 --> 00:00:57.320]  讓我們一起禱告
[00:00:57.320 --> 00:00:59.880]  慈愛的聖天父我們滿心感謝你
[00:00:59.880 --> 00:01:03.600]  每一次能夠藉着神的說話和大家的分享
[00:01:03.600 --> 00:01:08.040]  其實都是神對自己一個很大的提醒和激勵
[00:01:08.040 --> 00:01:10.920]  就好像我們發現了一座寶山
[00:01:10.920 --> 00:01:15.400]  我們真的願意和弟兄姊妹去分享你說話的豐富
[00:01:15.400 --> 00:01:19.400]  也更重要的是求主的光照亮我們的內心
[00:01:19.400 --> 00:01:22.160]  以至我們在神面前能夠赤露堂開
[00:01:22.160 --> 00:01:26.200]  讓神在我們當中去改變我們的生命
[00:01:26.200 --> 00:01:29.520]  願天父閱立垂聽我們在你面前的禱告
[00:01:29.520 --> 00:01:33.120]  祈禱感恩奉主名求
[00:01:33.120 --> 00:01:35.760]  是的,我們要活出神所喜悅的生活
[00:01:35.760 --> 00:01:37.600]  有兩方面,第一個要缺
[00:01:37.600 --> 00:01:40.640]  就是我們要行在光明當中
[00:01:40.640 --> 00:01:43.080]  我們要測驗神的心意
[00:01:43.080 --> 00:01:48.040]  我們先看《爾弗所書》第五章八至十四節
[00:01:48.040 --> 00:01:49.320]  我們一起讀
[00:01:49.320 --> 00:01:51.760]  從前你們是曖昧的
[00:01:51.760 --> 00:01:55.040]  但如今在主裏面是光明的
[00:01:55.040 --> 00:01:58.840]  行事爲人就當像光明的子女
[00:01:58.840 --> 00:02:04.320]  光明所結的果子就是一切良善、公義、誠實
[00:02:04.320 --> 00:02:07.920]  總要測驗何爲主所喜悅的事
[00:02:07.920 --> 00:02:11.840]  那曖昧無益的事不要與人同行
[00:02:11.840 --> 00:02:14.520]  倒要責備行者事的人
[00:02:14.520 --> 00:02:21.520]  因爲他們暗中所行的
[00:02:21.520 --> 00:02:24.720]  就是提起來也是可恥的
[00:02:24.720 --> 00:02:28.920]  凡事受了責備就被光顯明出來
[00:02:28.920 --> 00:02:32.400]  因爲一切能顯明的就是光
[00:02:32.400 --> 00:02:33.840]  所以主說
[00:02:33.840 --> 00:02:36.960]  你這睡着的人當醒過來
[00:02:36.960 --> 00:02:38.600]  從死裏復活
[00:02:38.600 --> 00:02:41.480]  基督就要光照你了
[00:02:41.480 --> 00:02:43.040]  當大家讀這段經文的時候
[00:02:43.040 --> 00:02:46.680]  大家發現哪一個字是最多出現的?
[00:02:46.680 --> 00:02:50.400]  沒錯,光、光明、光照
[00:02:50.400 --> 00:02:52.800]  其實整段經文給我們看到
[00:02:52.800 --> 00:02:56.240]  我們要行在光明的裏面
[00:02:56.240 --> 00:03:01.240]  當我們看到保羅用一種隱喻來形容
[00:03:01.240 --> 00:03:03.440]  信主與不信的分別
[00:03:03.440 --> 00:03:05.280]  信主的人就在光明裏面
[00:03:05.280 --> 00:03:07.960]  未信主的人就在黑暗的當中
[00:03:07.960 --> 00:03:13.200]  當然這句話對於未信主的人是很大的刺激
[00:03:13.200 --> 00:03:14.800]  因爲在未信主的人當中
[00:03:14.800 --> 00:03:17.440]  也有一些行爲很好的人
[00:03:17.440 --> 00:03:20.520]  也有一些品德很高尚的人
[00:03:20.520 --> 00:03:22.920]  但是這裏所說的光明與黑暗
[00:03:22.920 --> 00:03:25.560]  最重要的就是在神的面前
[00:03:25.560 --> 00:03:27.480]  神光照他的生命
[00:03:27.480 --> 00:03:31.080]  以至他的生命能夠不斷地有反省
[00:03:31.080 --> 00:03:33.680]  早兩天和太太聊天的時候
[00:03:33.680 --> 00:03:35.080]  太太就跟我說
[00:03:35.080 --> 00:03:37.480]  你現在一定要休息了
[00:03:37.480 --> 00:03:39.560]  因爲你不可以這麼拼命了
[00:03:39.560 --> 00:03:41.640]  以前你早午晚都上班
[00:03:41.640 --> 00:03:46.600]  你現在上午下午或者下午晚上就好了
[00:03:46.600 --> 00:03:50.840]  我就想起以前我的生活是怎樣的呢
