
[00:00:00.000 --> 00:00:02.000]  先一齊來到祈禱
[00:00:02.000 --> 00:00:04.320]  差勁我們感謝祢的恩典
[00:00:04.320 --> 00:00:07.120]  讓我們在主日清晨可以一齊敬拜祢
[00:00:07.120 --> 00:00:09.600]  亦都可以思想祢的話語
[00:00:09.600 --> 00:00:12.640]  求父的聖靈在我們當中動功
[00:00:12.640 --> 00:00:14.640]  幫助我們講得清楚
[00:00:14.640 --> 00:00:16.280]  聽的亦都聽得明白
[00:00:16.280 --> 00:00:19.400]  並且可以加強我們的信心
[00:00:19.400 --> 00:00:21.040]  一直的跟隨祢
[00:00:21.040 --> 00:00:22.880]  奉耶穌基督的名祈禱
[00:00:22.880 --> 00:00:27.880]  上一次我們看上行詩
[00:00:27.880 --> 00:00:29.960]  是看到128篇
[00:00:30.400 --> 00:00:36.440]  今天繼續看上行詩的第129篇
[00:00:36.440 --> 00:00:39.920]  我看到有些戴耳機的人坐得後一點
[00:00:39.920 --> 00:00:40.960]  如果你聽不到
[00:00:40.960 --> 00:00:43.280]  我們就想請你坐前一點
[00:00:43.280 --> 00:00:45.960]  因為戴耳機坐後一點是聽不到的
[00:00:45.960 --> 00:00:48.800]  上行詩共有15首
[00:00:48.800 --> 00:00:52.280]  就是詩篇120到134篇
[00:00:52.280 --> 00:00:57.160]  其中所提到的很多的經歷
[00:00:57.160 --> 00:01:00.160]  都是可以給我們基督徒作為借鏡
[00:01:00.160 --> 00:01:03.720]  幫助我們在信仰歷程上
[00:01:03.720 --> 00:01:05.720]  是能夠堅忍
[00:01:05.720 --> 00:01:07.520]  努力上行
[00:01:07.520 --> 00:01:11.440]  有些人是信耶穌之後
[00:01:11.440 --> 00:01:12.960]  或者信耶穌之前
[00:01:12.960 --> 00:01:14.560]  都會有一種錯覺
[00:01:14.560 --> 00:01:16.800]  就是以為信了耶穌
[00:01:16.800 --> 00:01:19.920]  就能夠解決到人生所有的問題
[00:01:19.920 --> 00:01:23.120]  人生就會一帆風順
[00:01:23.120 --> 00:01:25.920]  是不會遇到任何挫折
[00:01:26.440 --> 00:01:30.080]  將來也會無病無痛的直上天堂
[00:01:30.080 --> 00:01:34.160]  因此他們一遇到苦難
[00:01:34.160 --> 00:01:36.360]  就可能會離開信仰
[00:01:36.360 --> 00:01:37.840]  或者會問
[00:01:37.840 --> 00:01:40.640]  為何偏偏選中我
[00:01:40.640 --> 00:01:45.000]  今天的詩篇第一到三節
[00:01:45.000 --> 00:01:48.000]  詩人是用一個問題開始的
[00:01:48.000 --> 00:01:53.320]  是要以色列人回想他們所遭遇的迫害
[00:01:54.760 --> 00:01:58.400]  我就想從以色列人的歷史
[00:01:58.400 --> 00:02:00.000]  來思想一下
[00:02:00.000 --> 00:02:02.120]  苦難的緣由
[00:02:02.120 --> 00:02:05.080]  幫助我們走天路的時候
[00:02:05.080 --> 00:02:06.720]  有心理準備
[00:02:06.720 --> 00:02:09.280]  不至於說一遇到苦難
[00:02:09.280 --> 00:02:10.960]  就會充滿疑惑
[00:02:10.960 --> 00:02:12.480]  甚至懷疑自己
[00:02:12.480 --> 00:02:13.080]  哎呀
[00:02:13.080 --> 00:02:16.080]  是不是信錯了這位上帝呢?
[00:02:16.080 --> 00:02:18.880]  如果你蓋好聖經
[00:02:18.880 --> 00:02:21.200]  我請你打開詩篇129篇
[00:02:21.200 --> 00:02:22.800]  第一節說
[00:02:22.800 --> 00:02:24.360]  以色列人李雪白
[00:02:24.360 --> 00:02:26.160]  從你幼年以來
[00:02:26.160 --> 00:02:28.480]  仇敵怎樣迫害你
[00:02:28.480 --> 00:02:30.440]  這裡提到以色列
[00:02:30.440 --> 00:02:33.120]  應該是指以色列這個國家
[00:02:33.120 --> 00:02:34.800]  而不是指雅國
[00:02:34.800 --> 00:02:36.080]  我們知道
[00:02:36.080 --> 00:02:38.480]  以色列的祖先叫做雅國
[00:02:38.480 --> 00:02:40.800]  後來就改了名做以色列
[00:02:40.800 --> 00:02:43.480]  並且生了十二個兒子
[00:02:43.480 --> 00:02:47.080]  成為以色列國的十二個支派
[00:02:47.080 --> 00:02:53.040]  從以色列這個民族的早期歷史來看
[00:02:53.200 --> 00:02:57.080]  他們的確是經歷過很多苦難
[00:02:57.080 --> 00:03:02.200]  雅國當年由於迦南地發生饑荒
[00:03:02.200 --> 00:03:05.320]  而當時他有一個兒子約瑟
[00:03:05.320 --> 00:03:07.520]  已經在埃及做宰相
[00:03:07.520 --> 00:03:09.240]  於是乎
[00:03:09.240 --> 00:03:12.440]  雅國就帶了一家七十口
[00:03:12.440 --> 00:03:14.000]  一起去到埃及
[00:03:14.000 --> 00:03:18.160]  結果以色列人就在埃及住了四百年
[00:03:18.160 --> 00:03:20.400]  起初的時候
[00:03:20.400 --> 00:03:22.080]  埃及人對他們很好的
[00:03:22.440 --> 00:03:24.680]  但是過了幾百年之後
[00:03:24.680 --> 00:03:29.640]  埃及王就怕那些以色列人反客為主
[00:03:29.640 --> 00:03:31.600]  就開始虐待他們
[00:03:31.600 --> 00:03:33.520]  迫他們做奴隸
[00:03:33.520 --> 00:03:36.680]  為埃及人去造磚
[00:03:36.680 --> 00:03:38.240]  建造城牆
[00:03:38.240 --> 00:03:40.400]  在那個時候
[00:03:40.400 --> 00:03:42.560]  他們所受的苦楚
[00:03:42.560 --> 00:03:45.880]  就真的好像第三節所說的
[00:03:45.880 --> 00:03:50.760]  「他們在我背上留下了深深的傷痕」
[00:03:50.920 --> 00:03:55.360]  「像龍蝠挖了一條又深又長的泥溝」
[00:03:55.360 --> 00:03:59.320]  在這次民族的苦難當中
[00:03:59.320 --> 00:04:00.560]  我們可以問
[00:04:00.560 --> 00:04:02.920]  為什麼他們要受苦呢?
[00:04:02.920 --> 00:04:09.000]  我從聖經裡面是找不到答案的
[00:04:09.000 --> 00:04:12.240]  不過我提供兩個答案給大家參考
[00:04:12.240 --> 00:04:16.760]  首先這個可以說是「做」的後果
[00:04:17.640 --> 00:04:24.200]  我們要承認我們是生存在一個由罪人組成的罪惡世界裡面
