
[00:00:00.000 --> 00:00:02.700]  弟兄姊妹,午安啦應該係咪
[00:00:02.700 --> 00:00:07.100]  好開心仲喺度大家一齊嚟得係去分享馬太福音
[00:00:07.100 --> 00:00:10.000]  點解三個禮拜係安排一齊嘅呢咁樣
[00:00:10.000 --> 00:00:13.000]  因為你知道我哋三個同工都係講緊馬太福音
[00:00:13.000 --> 00:00:16.300]  而今年我哋成年係差唔多走曬㗎啦
[00:00:16.300 --> 00:00:19.700]  講完今篇呢一道,跟住耶穌就會釘十字架嘅
[00:00:19.700 --> 00:00:25.200]  所以呢一篇嘅道對我哋嚟講都幾重要嘅
[00:00:25.200 --> 00:00:27.800]  因為耶穌由出嚟宣講天國嘅福音
[00:00:27.800 --> 00:00:29.500]  到佢呼召咗門徒
[00:00:29.500 --> 00:00:31.700]  有啲人鍾意佢嘅就跟咗佢
[00:00:31.700 --> 00:00:34.100]  唔鍾意佢嘅呢,其實呢段時間你就知道
[00:00:34.100 --> 00:00:37.700]  廿幾章嗰啲哈佛尼塞人就預備係要殺耶穌㗎啦
[00:00:37.700 --> 00:00:40.900]  咁耶穌預備自己要走十字架之路之前呢
[00:00:40.900 --> 00:00:42.700]  佢就真係好愛佢班門徒
[00:00:42.700 --> 00:00:44.200]  所以呢你問我呢
[00:00:44.200 --> 00:00:46.300]  聽末世論嘅時候都好驚嘅
[00:00:46.300 --> 00:00:49.700]  但今次就有機會係成卷馬太福音咁讀緊時候
[00:00:49.700 --> 00:00:52.000]  我哋就好睇到耶穌對於我哋嘅愛
[00:00:52.000 --> 00:00:54.000]  呢一篇呢我叫離別嘅叮嚀
[00:00:54.000 --> 00:00:58.300]  其實係耶穌對佢所愛嘅門徒呢
[00:00:58.300 --> 00:01:01.800]  臨走之前呢一個好重要嘅一個嘅祝福
[00:01:01.800 --> 00:01:04.900]  咁所以同隔離嗰個講你好有福呀
[00:01:04.900 --> 00:01:07.600]  因為呢篇信息呢我都相信係同我哋講嘅
