
[00:00:00.000 --> 00:00:01.120]  主佑平安
[00:00:01.120 --> 00:00:02.640]  也祝大家新一年
[00:00:02.640 --> 00:00:03.960]  新年一齊進步
[00:00:03.960 --> 00:00:04.760]  身體健康
[00:00:04.760 --> 00:00:05.840]  更多的蒙福
[00:00:05.840 --> 00:00:07.840]  讓我們先做一次同心的禱告
[00:00:07.840 --> 00:00:12.280]  我們的恩主
[00:00:12.280 --> 00:00:14.040]  我們要向你獻上感恩
[00:00:14.040 --> 00:00:16.960]  因為每一次我們去到你的庚前
[00:00:16.960 --> 00:00:20.120]  你就是這樣垂聽我們的禱告
[00:00:20.120 --> 00:00:22.200]  你就是這樣與我們同在
[00:00:22.200 --> 00:00:25.040]  你就是這樣細心的
[00:00:25.040 --> 00:00:26.640]  去傾聽我們的心聲
[00:00:26.640 --> 00:00:27.960]  並且回應我們
[00:00:27.960 --> 00:00:29.240]  願你賜福
[00:00:29.240 --> 00:00:30.040]  恩代
[00:00:30.040 --> 00:00:31.080]  特別在新的一年
[00:00:31.080 --> 00:00:32.200]  讓我們帶著
[00:00:32.200 --> 00:00:33.960]  上帝給我們更新的心
[00:00:33.960 --> 00:00:34.920]  活潑的靈
[00:00:34.920 --> 00:00:36.920]  繼續去侍奉敬拜你
[00:00:36.920 --> 00:00:38.080]  又繼續去
[00:00:38.080 --> 00:00:39.400]  在我們生命當中
[00:00:39.400 --> 00:00:40.840]  與身邊的人一起去
[00:00:40.840 --> 00:00:41.720]  學習
[00:00:41.720 --> 00:00:42.520]  成長
[00:00:42.520 --> 00:00:44.520]  並且能夠將榮耀歸給你
[00:00:44.520 --> 00:00:45.840]  有願僕人口中的言語
[00:00:45.840 --> 00:00:47.600]  頂英之母之間的心思意念
[00:00:47.600 --> 00:00:48.600]  蒙聖靈的啟迪
[00:00:48.600 --> 00:00:49.560]  蒙主的月立
[00:00:49.560 --> 00:00:51.360]  禱告奉耶穌基督的名
[00:00:51.360 --> 00:00:52.360]  阿們
[00:00:52.360 --> 00:00:56.240]  今天教會定了的主日是
[00:00:56.240 --> 00:00:58.440]  社會關懷主日
[00:00:59.120 --> 00:01:01.480]  不知道頂英之母一想起社會關懷
[00:01:01.480 --> 00:01:03.240]  第一時間你會想起什麼
[00:01:03.240 --> 00:01:05.480]  可能想起社會關懷
[00:01:05.480 --> 00:01:06.720]  第一時間你想起的就是
[00:01:06.720 --> 00:01:09.280]  那些社工
[00:01:09.280 --> 00:01:12.640]  又或者很多在做一些社會工作的朋友
[00:01:12.640 --> 00:01:13.840]  服侍的人
[00:01:13.840 --> 00:01:15.480]  又或者想起社會關懷
[00:01:15.480 --> 00:01:16.440]  你就會想起
[00:01:16.440 --> 00:01:18.720]  很多很忙的工作
[00:01:18.720 --> 00:01:20.520]  很多吃力不討好的事
[00:01:20.520 --> 00:01:21.840]  很多很努力做
[00:01:21.840 --> 00:01:23.120]  但又不是很多人留意
[00:01:23.120 --> 00:01:25.280]  甚至沒什麼回報的事
[00:01:25.280 --> 00:01:27.320]  這些就可能是屬於社會關懷的內容
[00:01:28.320 --> 00:01:31.120]  但首先我們在社會關懷這個題目裡面
[00:01:31.120 --> 00:01:32.240]  先想一個問題
[00:01:32.240 --> 00:01:34.360]  究竟這個社會是怎樣的呢
[00:01:34.360 --> 00:01:36.880]  當我們要去關懷這個社會的時候
[00:01:36.880 --> 00:01:38.640]  我們才要認識一下這個社會
[00:01:38.640 --> 00:01:40.520]  你覺得現在這個社會是怎樣的
[00:01:40.520 --> 00:01:43.440]  你覺得現在這個社會是怎樣的
[00:01:43.440 --> 00:01:46.640]  是不是越來越差的
[00:01:46.640 --> 00:01:48.760]  是不是一代不如一代的
[00:01:48.760 --> 00:01:51.040]  是不是問題越來越多很難解決的
[00:01:51.040 --> 00:01:54.480]  是不是很多事情你是沒辦法去做任何事的
[00:01:54.480 --> 00:01:56.440]  可能當我們想起社會的時候
[00:01:56.440 --> 00:01:58.480]  我們很容易想起很多的限制
[00:01:58.480 --> 00:02:00.480]  我們很快就會想起
[00:02:00.480 --> 00:02:01.760]  我是無能為力
[00:02:01.760 --> 00:02:03.680]  這個大社會
[00:02:03.680 --> 00:02:04.960]  我是一個很微小的人
[00:02:04.960 --> 00:02:06.800]  不要說得這麼遠
[00:02:06.800 --> 00:02:08.080]  可能就在我們的社區
[00:02:08.080 --> 00:02:09.840]  在我們香港的社會裡面
[00:02:09.840 --> 00:02:11.200]  我們根本上已經沒辦法
[00:02:11.200 --> 00:02:13.120]  去改變一些我們很想改變的東西
[00:02:13.120 --> 00:02:15.480]  同樣地
[00:02:15.480 --> 00:02:16.840]  今天面對社會
[00:02:16.840 --> 00:02:19.480]  除了是面對很多大的問題之外
[00:02:19.480 --> 00:02:21.680]  可能我們同樣是面對很多小的問題
[00:02:21.680 --> 00:02:25.360]  這些小的問題可能是令我們卻步
[00:02:25.560 --> 00:02:27.080]  令我們成為限制
[00:02:27.080 --> 00:02:28.800]  越來越怕去關懷
[00:02:28.800 --> 00:02:30.600]  越來越怕去開始我們的行動
[00:02:30.600 --> 00:02:31.960]  這些是什麼呢
