
[00:00:00.000 --> 00:00:04.480]  今天我們會講教會的真相和面貌
[00:00:04.480 --> 00:00:06.600]  我們會從四方面去看
[00:00:06.600 --> 00:00:10.600]  教會的強項 教會的弱項
[00:00:10.600 --> 00:00:14.120]  教會有甚麼機遇 有甚麼機會
[00:00:14.120 --> 00:00:16.440]  教會有甚麼危機
[00:00:16.440 --> 00:00:18.000]  會從這四方面去看
[00:00:18.000 --> 00:00:20.600]  另外有兩類報告
[00:00:20.600 --> 00:00:22.320]  我不知道你喜不喜歡
[00:00:22.320 --> 00:00:26.000]  有一類是報喜不報憂
[00:00:26.000 --> 00:00:30.600]  挺好的 挺好的 我們不錯的 不錯的 挺好的
[00:00:30.600 --> 00:00:35.600]  但沒有將危機說出來
[00:00:35.600 --> 00:00:40.800]  很多時候這類報告會令我們很沾沾自喜
[00:00:40.800 --> 00:00:43.000]  覺得很開心 甚麼都是好的
[00:00:43.000 --> 00:00:45.200]  我們慢慢沾沾自喜之餘
[00:00:45.200 --> 00:00:50.000]  可能我們甚至會有一份驕傲藏在裏面
[00:00:50.000 --> 00:00:54.800]  因為我們在報告裏面只見到好東西
[00:00:54.800 --> 00:01:00.400]  反過來是一種報憂不報喜
[00:01:00.400 --> 00:01:03.600]  很擔心 很多憂慮
[00:01:03.600 --> 00:01:08.200]  如果我做主管 我一定是這一類
[00:01:08.200 --> 00:01:13.400]  因為我的本質是一個完美主義者
[00:01:13.400 --> 00:01:17.800]  我那次和佩雯在小組裏面分享
[00:01:17.800 --> 00:01:24.400]  我真的會擔枱擔得不夠是正
[00:01:24.400 --> 00:01:26.800]  我真的會不舒服
[00:01:26.800 --> 00:01:29.400]  所以我知道這是我的本質
[00:01:29.400 --> 00:01:33.800]  我看上去真的有些不順眼
[00:01:33.800 --> 00:01:39.800]  但我要學怎樣接受自己這個不順眼
[00:01:39.800 --> 00:01:44.600]  接受自己這個自然而有的反應
[00:01:44.600 --> 00:01:48.000]  所以如果我寫這些報告
[00:01:48.000 --> 00:01:49.400]  回去交給窩福堂
[00:01:49.400 --> 00:01:51.200]  我想他們一定會很擔心
[00:01:51.200 --> 00:01:52.800]  可能也好 是吧
[00:01:52.800 --> 00:01:55.400]  馬上會有很多人過來幫我們
[00:01:55.400 --> 00:01:59.400]  但我就想我們怎樣來看一個報告呢
[00:01:59.400 --> 00:02:02.400]  除了數字之外 我們還可以看到些甚麼呢
