
[00:00:00.000 --> 00:00:08.760]  感恩,我們有能力去奉獻給天父上帝
[00:00:08.760 --> 00:00:14.660]  每一次說奉獻,不只是金錢,亦是我們的全人
[00:00:14.660 --> 00:00:21.440]  希望我們可以一直學習,讓我們的全人都可以奉獻給三一真神
[00:00:21.440 --> 00:00:25.220]  我現在再做一個為我們奉獻的祈禱
[00:00:25.220 --> 00:00:27.220]  感謝天父給我們能力
[00:00:27.220 --> 00:00:30.200]  感謝祢給我們有這樣的心,記在聖經裏面
[00:00:30.200 --> 00:00:34.060]  祢說過一文錢都是喜悅的
[00:00:34.060 --> 00:00:36.980]  只要我們全意奉獻給祢的時候
[00:00:36.980 --> 00:00:39.960]  主讓我們一起去學習這個奉獻的功課
[00:00:39.960 --> 00:00:41.960]  讓我們奉獻得祢悅賴
[00:00:41.960 --> 00:00:45.460]  讓我們都可以在祢裏面有份
[00:00:45.460 --> 00:00:48.560]  我們感謝讚美土鬼奉主 耶穌基督名祈求
[00:00:48.560 --> 00:00:50.560]  Amen
[00:00:50.560 --> 00:00:58.260]  今天,我想問有沒有人看過馬大和瑪利亞的經文
[00:00:58.260 --> 00:01:00.260]  有的話可以舉手給我看
[00:01:00.260 --> 00:01:07.860]  我們一起用恭敬的聲音去讀這五節經,好嗎
[00:01:07.860 --> 00:01:10.260]  不好意思,我先看看是否有效
[00:01:10.260 --> 00:01:12.260]  是否有效
[00:01:12.260 --> 00:01:14.260]  還未啟動,怪不得
[00:01:14.260 --> 00:01:16.260]  1,2,3
[00:01:16.260 --> 00:01:19.400]  他們走路的時候,耶穌進了一個村莊
[00:01:19.400 --> 00:01:23.400]  有一個女人叫馬大,接她到自己家裏
[00:01:23.400 --> 00:01:26.400]  她有一個妹子名叫瑪利亞
[00:01:26.400 --> 00:01:29.400]  在耶穌腳前坐著聽她的道
[00:01:29.400 --> 00:01:32.400]  馬大事後的事多,心裏忙亂
[00:01:32.400 --> 00:01:34.400]  就進前來說
[00:01:34.400 --> 00:01:37.400]  主啊,我的妹子留下我一個人事後
[00:01:37.400 --> 00:01:40.900]  祢不在意嗎?請吩咐她來幫助我
[00:01:40.900 --> 00:01:42.900]  耶穌回答說
[00:01:42.900 --> 00:01:46.900]  馬大,馬大,你為許多事思慮煩憂
[00:01:46.900 --> 00:01:49.400]  但是不可少的只有一件
[00:01:49.400 --> 00:01:52.400]  瑪利亞已經選擇那上好的福分
[00:01:52.400 --> 00:01:54.400]  是不能奪去的
[00:01:54.400 --> 00:01:58.400]  相信很多弟兄姊妹都看過這幾節經文
[00:01:58.400 --> 00:02:01.400]  我們每一次看聖經都是當第一次看
[00:02:01.400 --> 00:02:03.400]  重新去領受
[00:02:03.400 --> 00:02:05.400]  今天我們的主題是甚麼
[00:02:05.400 --> 00:02:07.400]  一起讀,1,2,3
[00:02:07.400 --> 00:02:09.400]  誰手可得的福氣
[00:02:09.400 --> 00:02:12.400]  甚麼是誰手可得的福氣
[00:02:12.400 --> 00:02:15.400]  你人生裏有甚麼是誰手可得的
[00:02:15.400 --> 00:02:17.400]  即是你的
[00:02:17.400 --> 00:02:20.400]  你下去誰手可得一杯水
[00:02:20.400 --> 00:02:22.400]  全部都是你的
[00:02:22.400 --> 00:02:26.400]  其實我們每一個基督徒都應該有這個福氣
[00:02:26.400 --> 00:02:29.400]  我們看看聖經裏面怎樣說
[00:02:29.400 --> 00:02:31.400]  耶穌說瑪利亞已經選擇甚麼
[00:02:31.400 --> 00:02:33.400]  上好的福分
[00:02:33.400 --> 00:02:35.400]  英文怎麼說
[00:02:35.400 --> 00:02:37.400]  good portion
[00:02:37.400 --> 00:02:40.400]  即是說你一定有一個福分
[00:02:40.400 --> 00:02:47.400]  爭在你懂不懂得去選擇,爭在你懂不懂得去拿出來
[00:02:47.400 --> 00:02:52.400]  基督徒的人生其實和選擇叉燒一樣
[00:02:52.400 --> 00:02:54.400]  有沒有人懂得選擇叉燒
[00:02:54.400 --> 00:02:57.400]  叉燒要怎樣選擇
[00:02:57.400 --> 00:02:59.400]  半肥瘦,嘩,厲害了
[00:02:59.400 --> 00:03:02.400]  這裡我上去隨便看看有沒有叉燒
[00:03:02.400 --> 00:03:04.400]  原來有一個香港叉燒關注組
[00:03:04.400 --> 00:03:06.400]  嘩,這麼嚴重
[00:03:06.400 --> 00:03:08.400]  教你怎樣選擇叉燒
[00:03:08.400 --> 00:03:11.400]  你這一抽叉燒你會怎樣選擇
[00:03:11.400 --> 00:03:13.400]  我想我會選擇這一塊半肥瘦
[00:03:13.400 --> 00:03:15.400]  有些人很講究
[00:03:15.400 --> 00:03:17.400]  肥,這個叫鴛鴦叉燒
[00:03:17.400 --> 00:03:20.400]  即是肥的一部份,瘦的一部份
[00:03:20.400 --> 00:03:22.400]  即是你割肥再割瘦
[00:03:22.400 --> 00:03:25.400]  一起放進口,入口即溶
[00:03:25.400 --> 00:03:27.400]  正不正,正
[00:03:27.400 --> 00:03:29.400]  其實都是這樣選擇
[00:03:29.400 --> 00:03:31.400]  我以前很喜歡吃叉燒
[00:03:31.400 --> 00:03:34.400]  叉燒最喜歡煎隻蛋
[00:03:34.400 --> 00:03:36.400]  我以前在
[00:03:36.400 --> 00:03:38.400]  不說哪一間
[00:03:38.400 --> 00:03:40.400]  總之你去那些
[00:03:40.400 --> 00:03:43.400]  有櫥窗,可以選擇叉燒
[00:03:43.400 --> 00:03:45.400]  我遇到一個叉燒師傅
[00:03:45.400 --> 00:03:47.400]  他非常有態度
[00:03:47.400 --> 00:03:49.400]  有人去到說
[00:03:49.400 --> 00:03:52.400]  師傅,我要這一部份
[00:03:52.400 --> 00:03:54.400]  你知道他怎樣說嗎
[00:03:54.400 --> 00:03:56.400]  他說,我的叉燒不到你選
[00:03:56.400 --> 00:03:58.400]  我給你簽什麼就要什麼
[00:03:58.400 --> 00:04:01.400]  嘩,多有氣場
[00:04:01.400 --> 00:04:03.400]  那時我聽到,嘩,這樣都可以
[00:04:03.400 --> 00:04:06.400]  後來我明白了,他拿著一把刀
[00:04:06.400 --> 00:04:08.400]  那些人又回去了
[00:04:08.400 --> 00:04:10.400]  我們的天賦上帝
[00:04:10.400 --> 00:04:13.400]  他不單止想你懂得選擇
[00:04:13.400 --> 00:04:16.400]  你選擇了之後,他都會給你
[00:04:16.400 --> 00:04:19.400]  希望我們看完經文之後
[00:04:19.400 --> 00:04:22.400]  我們都懂得選擇,關注一下
[00:04:22.400 --> 00:04:25.400]  我們都學習怎樣研究,怎樣去選擇
[00:04:25.400 --> 00:04:28.400]  今日這段經文,我們要值得研究
[00:04:28.400 --> 00:04:30.400]  有三個關鍵字
[00:04:30.400 --> 00:04:33.400]  第一個是什麼,坐著
[00:04:33.400 --> 00:04:35.400]  第二個,忙亂
[00:04:35.400 --> 00:04:37.400]  第三個,煩憂
[00:04:37.400 --> 00:04:39.400]  為什麼這三個字這麼重要
[00:04:39.400 --> 00:04:43.400]  這三個字在整個新約裏面
[00:04:43.400 --> 00:04:45.400]  只出現了一次
[00:04:45.400 --> 00:04:48.400]  一次,沒有第二次
[00:04:48.400 --> 00:04:50.400]  在五節經文裏面
[00:04:50.400 --> 00:04:52.400]  有三個關鍵字
[00:04:52.400 --> 00:04:54.400]  在整本新約裏面
[00:04:54.400 --> 00:04:56.400]  只出現了一次
[00:04:56.400 --> 00:04:58.400]  你說這段經文是不是很特別
