
[00:00:00.000 --> 00:00:06.860]  今天我會分享一些關於聖經裏面的故事。
[00:00:06.860 --> 00:00:14.900]  讓大家看到我們作為父母應該有的態度,
[00:00:14.900 --> 00:00:20.900]  尤其是一個母親,開始時我們一起祈禱。
[00:00:20.900 --> 00:00:25.860]  希望我們獻上我們的感謝,讓我們能夠在當中看到在聖經裏面,
[00:00:25.860 --> 00:00:30.200]  很多父母的角色,很多事情,讓我們有更多的學習。
[00:00:30.200 --> 00:00:32.700]  將我們的以下時間都供奉在你手裏面。
[00:00:32.700 --> 00:00:35.860]  求你保守,求你大力,求你垂聽我們的禱告,
[00:00:35.860 --> 00:00:39.360]  祈禱父母絕命求。
[00:00:39.360 --> 00:00:45.200]  有一首詩,可能大家都很熟悉。
[00:00:45.200 --> 00:00:50.660]  慈母守中線,由子身上衣。
[00:00:50.660 --> 00:00:55.500]  臨行默默奉,依孔慈慈歸。
[00:00:55.500 --> 00:01:04.160]  隨言串草心,抱得三春暉。
[00:01:04.160 --> 00:01:10.960]  這首詩叫「由子吟」。
[00:01:10.960 --> 00:01:16.360]  相信大部分的弟兄姊妹都聽過。
[00:01:16.360 --> 00:01:21.660]  這首是唐代詩人孟交的一個五言古詩。
[00:01:21.660 --> 00:01:30.760]  這首詩總共有六句,三十個字。
[00:01:30.760 --> 00:01:39.160]  通過一些回憶,看到好像很平常臨行前的一些縫衣的場景。
[00:01:39.160 --> 00:01:46.860]  凸顯並歌頌母愛的偉大母詩。
[00:01:46.860 --> 00:01:53.060]  它凸顯出歌頌母愛的一些無私。
[00:01:53.060 --> 00:01:59.160]  表達詩人對母愛的一些感激。
[00:01:59.160 --> 00:02:03.660]  表達對母親的一些感激和愛的尊敬。
[00:02:03.660 --> 00:02:09.360]  這首詩「情感真摯自然」,
[00:02:09.360 --> 00:02:14.860]  千百年以來一直都受傳頌。
[00:02:14.860 --> 00:02:20.560]  養兒一百歲,長憂九十年。
[00:02:20.560 --> 00:02:24.660]  我不知道大家同不同意這句話。
[00:02:24.660 --> 00:02:27.160]  我相信大部分的母親都是這個。
[00:02:27.160 --> 00:02:33.560]  這是母親的寫照。
[00:02:33.560 --> 00:02:38.260]  當你想到母親的時候,你會想到什麼呢?
[00:02:38.260 --> 00:02:42.060]  我是從一個青年人的角度去看。
[00:02:42.060 --> 00:02:46.460]  青年人會說母親是一個
[00:02:46.460 --> 00:02:48.060]  囉嗦
[00:02:48.060 --> 00:02:49.660]  怪獸
[00:02:49.660 --> 00:02:51.460]  直升機
[00:02:51.460 --> 00:02:56.860]  煩過梵蒂岡
[00:02:56.860 --> 00:03:01.060]  這是廣東話,所以普通話翻不出來。
[00:03:01.060 --> 00:03:06.960]  也都可能他們認為母親是一個提款機。
[00:03:06.960 --> 00:03:10.260]  每個人都有不同的答案。
[00:03:10.260 --> 00:03:17.960]  不過在坊間也有很多歌頌母親的偉大的歌曲或讚詞。
[00:03:17.960 --> 00:03:22.060]  這個社會也有很多歌頌母親偉大的歌曲和歌詞。
[00:03:22.060 --> 00:03:25.060]  其中一首叫Beyond唱的「真的愛你」。
[00:03:25.060 --> 00:03:27.460]  有一首是Beyond唱的「真的愛你」。
[00:03:27.460 --> 00:03:31.860]  每次我聽的時候都非常感動。
[00:03:31.860 --> 00:03:35.360]  如果有機會作為一首回應詩,大家的反應會是怎樣呢?
[00:03:35.360 --> 00:03:41.660]  如果有機會作為一首回應詩,大家的反應會是怎樣呢?
[00:03:41.660 --> 00:03:44.460]  我覺得這可能是一個不錯的選擇。
[00:03:44.460 --> 00:03:51.460]  根據一項統計,影響一個人最深最大的
[00:03:51.460 --> 00:03:58.460]  不是牧師,不是名人,也不是父親,而是母親。
[00:03:58.460 --> 00:04:06.060]  一個成功男人的背後,都有一個偉大的女性。
[00:04:06.060 --> 00:04:10.360]  在聖經裏面有很多屬靈的偉人,
[00:04:10.360 --> 00:04:19.760]  他之所以成功,會有一個很偉大的女性支持他。
[00:04:19.760 --> 00:04:27.860]  而上帝很多時候都會透過女性成就他的旨意。
[00:04:27.860 --> 00:04:34.660]  我們剛才所讀的這段經文,大家都耳熟能詳。
[00:04:34.660 --> 00:04:37.860]  是摩西出生的故事。
[00:04:37.860 --> 00:04:42.460]  大家讀完之後覺得就是這樣。
[00:04:42.460 --> 00:04:48.760]  但我真的深思這段經文究竟是講什麼?
[00:04:48.760 --> 00:04:52.060]  究竟這個母親是誰?
[00:04:52.060 --> 00:04:57.760]  在這段經文裏面我看不到。
[00:04:57.760 --> 00:05:08.160]  摩西的母親在歷史裏面,顯然是一個不被重視的小人物。
[00:05:08.160 --> 00:05:20.160]  但由於她撫養摩西,她成為一個偉大,非常偉大和卓越的母親。
