
[00:00:00.000 --> 00:00:06.000]  在簽署的合約裏面列明了交易的條款
[00:00:06.000 --> 00:00:11.840]  在簽署的合約裏面已明白了交易的條款之後
[00:00:11.840 --> 00:00:16.880]  雙方就要承諾要履行這些條款的責任
[00:00:16.880 --> 00:00:22.040]  雙方就要承諾要行出來條款的責任
[00:00:22.040 --> 00:00:24.600]  不能夠反悔
[00:00:24.600 --> 00:00:32.400]  如果反悔就要依照預先訂好的罰則去處分
[00:00:32.400 --> 00:00:38.400]  如果反悔的話要作出一個原先訂的罰則來作出來
[00:00:38.400 --> 00:00:43.520]  正好我們譬如簽了一張買樓的臨時合約
[00:00:43.520 --> 00:00:47.120]  好像我們簽了一個買房子的合約
[00:00:47.120 --> 00:00:49.480]  我們都要負上這個法律責任
[00:00:49.480 --> 00:00:52.280]  我們要負上法律的責任
[00:00:52.280 --> 00:00:56.040]  你不能夠隨便拿回自己的錢
[00:00:56.040 --> 00:00:58.520]  你不能夠隨便拿回自己的錢
[00:00:58.520 --> 00:01:01.800]  因為這是一個合約
[00:01:01.800 --> 00:01:08.000]  上個星期我們看到耶和華神透過以賽亞先知
[00:01:08.000 --> 00:01:12.120]  上個星期我們看到耶和華透過以賽亞先知
[00:01:12.120 --> 00:01:16.600]  向他的百姓和列國的人講說話
[00:01:16.600 --> 00:01:20.880]  向他的百姓和列國的人民來說話
[00:01:20.880 --> 00:01:24.240]  他說「我必與你們立永約」
[00:01:24.240 --> 00:01:26.920]  他說「我必與你們立永約」
[00:01:26.920 --> 00:01:29.960]  今天我們思想另外一個先知
[00:01:29.960 --> 00:01:32.720]  今天我們思想另外一個先知
[00:01:32.720 --> 00:01:36.160]  就是耶利米先知所說的話
[00:01:36.160 --> 00:01:39.280]  就是耶利米先知所說的話
[00:01:39.280 --> 00:01:44.400]  思想一下人和神立永約的課題
[00:01:44.400 --> 00:01:48.240]  思想一下人和神立永約的課題
[00:01:48.240 --> 00:01:55.320]  最簡單的或者是我們最熟悉的約的例子就是婚約
[00:01:55.320 --> 00:02:00.000]  最簡單和我們最熟悉的約就是婚約
[00:02:00.000 --> 00:02:02.960]  假如男女雙方經過相戀
[00:02:02.960 --> 00:02:06.320]  假如男女雙方經過了戀愛
[00:02:06.320 --> 00:02:08.120]  彼此情投意合
[00:02:08.120 --> 00:02:09.880]  大家情投意合
[00:02:09.880 --> 00:02:11.120]  寓意結為夫婦
[00:02:11.120 --> 00:02:13.040]  願意結為夫婦
[00:02:13.040 --> 00:02:15.760]  廝守終生
[00:02:15.760 --> 00:02:18.160]  他們就可以在神面前訂立婚約
[00:02:18.160 --> 00:02:21.840]  他們就可以在神面前訂立婚約
[00:02:21.840 --> 00:02:25.040]  作出一個一生相許的承諾
[00:02:25.040 --> 00:02:27.600]  作出一個一生相許的承諾
[00:02:27.600 --> 00:02:30.840]  我看過一個結婚的例子很感人
[00:02:30.840 --> 00:02:33.520]  我看過一個例子是很感人的
[00:02:33.520 --> 00:02:36.400]  這個是文字不是我親身看到的
[00:02:36.400 --> 00:02:39.080]  是文字來的不是我親眼看見的
[00:02:39.080 --> 00:02:42.720]  有一個姊妹是一位美容師
[00:02:42.720 --> 00:02:45.120]  有一個姊妹是做美容的
[00:02:45.120 --> 00:02:49.440]  她大約21歲的時候就得了絕症
[00:02:49.440 --> 00:02:52.400]  她21歲的時候得到一個絕症
[00:02:52.400 --> 00:02:56.200]  最多可以半年至一年的命
[00:02:56.200 --> 00:02:59.720]  最多可以活一年到半年的命
[00:02:59.720 --> 00:03:02.160]  這麼年輕得到這麼重的病
[00:03:02.160 --> 00:03:03.560]  大家都很惋惜
[00:03:03.560 --> 00:03:05.800]  這麼年輕就得到這個絕症
[00:03:05.800 --> 00:03:07.840]  大家都很惋惜
[00:03:07.840 --> 00:03:11.920]  這個女士她有一個男朋友
[00:03:11.920 --> 00:03:14.520]  這個女士她有一個男朋友
[00:03:14.520 --> 00:03:17.840]  就跟他相戀了有三年了
[00:03:17.840 --> 00:03:20.520]  跟他相戀了已經差不多三年了
