
[00:00:00.000 --> 00:00:05.300]  感謝姜護士跟教會給我這個機會跟大家分享
[00:00:05.300 --> 00:00:08.940]  《使徒行傳》第一章六到十一節
[00:00:08.940 --> 00:00:14.060]  是我們在裏面能夠找到能力的一段
[00:00:14.060 --> 00:00:15.980]  我很喜歡的經文
[00:00:15.980 --> 00:00:17.740]  這一段經文裏面
[00:00:17.740 --> 00:00:20.620]  我們從看那個六到十一節裏面
[00:00:20.620 --> 00:00:23.660]  我們就看到他們聚席的時候
[00:00:23.660 --> 00:00:24.860]  他們聚席的時候
[00:00:24.860 --> 00:00:26.060]  我們看經文的時候
[00:00:26.060 --> 00:00:28.420]  我們看到經文裏面
[00:00:28.420 --> 00:00:30.780]  我們看看經文好吧
[00:00:30.780 --> 00:00:32.700]  他們聚席的時候
[00:00:32.700 --> 00:00:34.100]  問耶穌說
[00:00:34.100 --> 00:00:36.340]  主啊 你伏心已失略過
[00:00:36.340 --> 00:00:38.340]  就在這時候嗎
[00:00:38.340 --> 00:00:42.460]  門徒跟隨耶穌已經有三年了
[00:00:42.460 --> 00:00:46.180]  他們在當中問問題的時候
[00:00:46.180 --> 00:00:48.980]  懂得多了知識
[00:00:48.980 --> 00:00:51.340]  知道怎麼樣去問問題
[00:00:51.340 --> 00:00:56.260]  他們懂得知道要問誰知道答案
[00:00:56.260 --> 00:00:59.820]  他們想就是耶穌應該知道答案吧
[00:00:59.820 --> 00:01:01.460]  他們看到耶穌
[00:01:01.460 --> 00:01:03.420]  他們就問祂
[00:01:03.420 --> 00:01:05.780]  禰已經復活了
[00:01:05.780 --> 00:01:10.740]  現在是伏心已失略過的時候嗎
[00:01:10.740 --> 00:01:14.340]  他們心裏面常常都是想自己的事情
[00:01:14.340 --> 00:01:18.420]  他們希望已失略過伏心
[00:01:18.420 --> 00:01:21.860]  但是他們問耶穌的時候
[00:01:21.860 --> 00:01:25.140]  耶穌的答案也是很有智慧的
[00:01:25.140 --> 00:01:26.580]  也是真實的
[00:01:26.580 --> 00:01:27.380]  祂說
[00:01:27.380 --> 00:01:30.980]  父憑着自己的權並所定的時候而起
[00:01:30.980 --> 00:01:33.020]  不是你們可以知道的
[00:01:33.020 --> 00:01:35.260]  但聖靈降臨在你們身上
[00:01:35.260 --> 00:01:37.380]  你們就彼得着能力
[00:01:37.380 --> 00:01:41.260]  並要在耶路撒冷猶太權地和撒瑪利亞
[00:01:41.260 --> 00:01:44.460]  直到地級做我的見證人
[00:01:44.460 --> 00:01:46.380]  我們再看經文後面
[00:01:46.380 --> 00:01:47.660]  我們就知道
[00:01:47.660 --> 00:01:50.900]  耶穌是不是真的不知道呢
[00:01:50.900 --> 00:01:52.380]  耶穌不是不知道
[00:01:52.380 --> 00:01:55.420]  祂也不是沒有回答他們
[00:01:55.420 --> 00:01:57.860]  但是耶穌就是告訴他們
[00:01:57.860 --> 00:02:01.140]  有一些事情他們能夠知道哪一個程度
[00:02:01.140 --> 00:02:02.700]  他們就知道
[00:02:02.700 --> 00:02:05.300]  但是還沒到之後的時候
[00:02:05.300 --> 00:02:08.100]  他們只能夠知道一點一點
[00:02:08.100 --> 00:02:09.420]  說了這話
[00:02:09.420 --> 00:02:11.180]  他們正看的時候
[00:02:11.180 --> 00:02:13.100]  他就被取上身
[00:02:13.100 --> 00:02:15.820]  有一朵雲彩把他借去
[00:02:15.820 --> 00:02:18.220]  我們知道這是聖經裏頭
[00:02:18.220 --> 00:02:21.460]  耶穌被接上身
[00:02:21.460 --> 00:02:24.540]  然後那個穿着白衣的人
[00:02:24.540 --> 00:02:26.980]  耶穌的逝者就說
[00:02:26.980 --> 00:02:28.300]  加利利人啊
[00:02:28.300 --> 00:02:30.700]  你們爲什麼站着望天呢
[00:02:30.700 --> 00:02:33.860]  這離開你們被接昇天的耶穌
[00:02:33.860 --> 00:02:36.620]  你們見他怎麼樣往天上去
[00:02:36.620 --> 00:02:39.180]  他還要怎麼樣來
[00:02:39.180 --> 00:02:42.140]  在帖撒羅里加書裏面
[00:02:42.140 --> 00:02:43.300]  我們就知道
[00:02:43.300 --> 00:02:45.700]  耶穌將來再來的時候
[00:02:45.700 --> 00:02:50.820]  就跟他怎麼樣昇天的情況很相近的
[00:02:50.820 --> 00:02:52.940]  他怎麼樣被興到天上
[00:02:52.940 --> 00:02:56.380]  將來他也是在雲彩裏面回來
[00:02:56.380 --> 00:03:00.180]  所以耶穌的另外一次回來的時候
[00:03:00.180 --> 00:03:03.900]  也就是神的時候來到
[00:03:03.900 --> 00:03:05.620]  就是那時候
[00:03:05.620 --> 00:03:08.420]  主就在這時候
[00:03:08.420 --> 00:03:11.060]  門徒面對俘獲的主
[00:03:11.060 --> 00:03:15.860]  他對主的國度有一些熱切的期待
[00:03:15.860 --> 00:03:19.900]  這個遲待讓他們的心動起來
[00:03:19.900 --> 00:03:22.860]  去問有關神國度的問題
[00:03:22.860 --> 00:03:25.460]  也是他們關心的問題
[00:03:25.460 --> 00:03:28.860]  他們關心的就是耶穌基督
[00:03:28.860 --> 00:03:33.660]  跟他們神的子民的國度
[00:03:33.660 --> 00:03:36.060]  是怎麼樣能夠復興
[00:03:36.060 --> 00:03:38.260]  但是耶穌告訴他們
[00:03:38.260 --> 00:03:40.300]  我會加你們力量
[00:03:40.300 --> 00:03:44.140]  你們也有你們的一份
[00:03:44.140 --> 00:03:47.580]  可以去參與這一個復興的過程
[00:03:47.580 --> 00:03:49.460]  裏面的工程
[00:03:49.460 --> 00:03:55.500]  主加力加強使命給門徒
[00:03:55.500 --> 00:04:00.220]  以他的同在鼓勵他們勇闖地級
[00:04:00.220 --> 00:04:02.060]  但你們要在耶路撒冷
