
[00:00:00.000 --> 00:00:03.620]  弟兄姊妹、朋友、牧者平安
[00:00:03.620 --> 00:00:08.100]  感謝神今天能夠和你們一起分享神的說話
[00:00:08.100 --> 00:00:10.480]  第幾次說呢?
[00:00:10.480 --> 00:00:15.140]  今天是2024年最後一個主日,對不對?
[00:00:15.140 --> 00:00:17.140]  跟大家分享什麼好呢?
[00:00:17.140 --> 00:00:19.840]  那我就想了
[00:00:19.840 --> 00:00:23.180]  2025年新的一年來了
[00:00:23.180 --> 00:00:27.380]  我們在新的一年怎麼開始呢?
[00:00:27.380 --> 00:00:33.900]  我決定和大家分享一個屬靈投資的題目
[00:00:33.900 --> 00:00:36.540]  希望我們可以彼此提醒
[00:00:36.540 --> 00:00:42.980]  重新去調教和對焦我們在天國的屬靈投資
[00:00:42.980 --> 00:00:44.980]  我們一起禱告
[00:00:44.980 --> 00:00:49.640]  親愛的天父
[00:00:49.640 --> 00:00:53.400]  感謝你一直以來守弱私事外
[00:00:53.400 --> 00:00:58.400]  感謝你眷顧我們、眷顧教會
[00:00:58.400 --> 00:01:04.780]  每次去想到過去的一年經歷神你給我們的恩典的時候
[00:01:04.780 --> 00:01:10.600]  同樣都想到實在每一年裡面所發生的事都很多
[00:01:10.600 --> 00:01:14.000]  有艱難的、有順利的
[00:01:14.000 --> 00:01:17.800]  有如人意的、也有不如人意的
[00:01:17.800 --> 00:01:24.640]  但當我們去想到你是那位守弱私事外、信實可靠的神的時候
[00:01:24.640 --> 00:01:28.080]  無論未來日子有多少的未知數
[00:01:28.080 --> 00:01:32.180]  我們都是帶著信心去跟隨你
[00:01:32.180 --> 00:01:36.340]  我們願意以師哥以讚美的話語
[00:01:36.340 --> 00:01:39.740]  向你獻上從心而發的感恩
[00:01:39.740 --> 00:01:42.140]  恭敬將以下的時間交托
[00:01:42.140 --> 00:01:45.100]  求天父對我們每一個人說話
[00:01:45.100 --> 00:01:51.280]  激勵我們在新的一年裡面繼續領受你的恩典
[00:01:51.280 --> 00:01:54.440]  繼續去經歷你話語的大能
[00:01:54.440 --> 00:01:57.440]  我們今天禱告奉靠主耶穌基督的名
[00:01:57.440 --> 00:01:59.700]  阿們
[00:01:59.700 --> 00:02:02.600]  神的創造是很奇妙的
[00:02:02.600 --> 00:02:06.140]  去創造的一切生物都各從其類
