
[00:00:00.000 --> 00:00:03.000]  我們現在一起低頭祈禱
[00:00:31.000 --> 00:00:34.000]  我們現在時間由聖靈帶領我們與我們同在
[00:00:34.000 --> 00:00:40.000]  幫助我們從基督教的功課中學到一些有關信心的功課
[00:00:40.000 --> 00:00:42.000]  奉耶穌基督的名祈禱
[00:00:42.000 --> 00:00:48.000]  我們從事實記來看基督教
[00:00:48.000 --> 00:00:56.000]  事實記記載了以色列人早期進入了迦南之後的歷史
[00:00:56.000 --> 00:01:02.000]  事實上從出埃及記開始舊約都是一直記載以色列人的歷史
[00:01:02.000 --> 00:01:05.000]  當以色列人離開了埃及之後
[00:01:05.000 --> 00:01:08.000]  由於他們背叛了上帝
[00:01:08.000 --> 00:01:17.000]  他們就未能夠馬上進入到迦南地
[00:01:17.000 --> 00:01:22.000]  他們就在曠野漂流了40年的時間
[00:01:22.000 --> 00:01:27.000]  摩西和亞倫這兩位領袖雖然帶領以色列人離開了埃及
[00:01:27.000 --> 00:01:30.000]  但是沒有帶領他們進入迦南地
[00:01:30.000 --> 00:01:35.000]  摩西死了之後上帝就任命約書亞做領袖
[00:01:35.000 --> 00:01:43.000]  約書亞就帶領他們進入迦南地和昏地
[00:01:43.000 --> 00:01:46.000]  這是約書亞記載了的
[00:01:46.000 --> 00:01:50.000]  事實記載約書亞死了之後
[00:01:50.000 --> 00:01:56.000]  以色列人又過了2至300年的時間
[00:01:56.000 --> 00:01:59.000]  那段歷史是怎樣發展的
[00:01:59.000 --> 00:02:05.000]  事實記載我們可以看到有6次歷史的循環
[00:02:05.000 --> 00:02:10.000]  從那些歷史當中我們看到以色列人通常是叛逆
[00:02:10.000 --> 00:02:13.000]  他們離開上帝去拜偶像
[00:02:13.000 --> 00:02:18.000]  而上帝就會使用其他的民族去欺壓他們
[00:02:18.000 --> 00:02:22.000]  使他們受到很大的痛苦
[00:02:22.000 --> 00:02:25.000]  而當他們受到痛苦的時候
[00:02:25.000 --> 00:02:29.000]  他們走投無路就向上帝呼求
[00:02:29.000 --> 00:02:31.000]  使他們可以得救
[00:02:31.000 --> 00:02:33.000]  上帝也會憐憫他們
[00:02:33.000 --> 00:02:35.000]  聽他們的祈禱
[00:02:35.000 --> 00:02:39.000]  為他們找一位合適的領袖
[00:02:39.000 --> 00:02:43.000]  那位領袖一般都會被上帝使用
[00:02:43.000 --> 00:02:45.000]  拯救以色列人
[00:02:45.000 --> 00:02:50.000]  使他們脫離外族人的欺負
[00:02:50.000 --> 00:02:56.000]  而那位領袖就會成為以色列人的英雄領袖
[00:02:56.000 --> 00:03:00.000]  事司這個希伯來文
[00:03:00.000 --> 00:03:05.000]  其實可以指行政首長或者是官員
[00:03:05.000 --> 00:03:09.000]  也都會充當法官
[00:03:09.000 --> 00:03:13.000]  而中國古代周朝的時候
[00:03:13.000 --> 00:03:17.000]  周代的時候會稱法官為事司
[00:03:17.000 --> 00:03:21.000]  所以這個就是事司寄書名的來源
[00:03:21.000 --> 00:03:22.000]  英文叫judges
[00:03:22.000 --> 00:03:27.000]  我們可能會知道judges就是法官
[00:03:27.000 --> 00:03:29.000]  為什麼中文叫事司呢?
[00:03:29.000 --> 00:03:32.000]  其實是因為中國古代周朝的時候
[00:03:32.000 --> 00:03:35.000]  叫法官為事司
[00:03:35.000 --> 00:03:39.000]  基顛是其中一位的事司
[00:03:39.000 --> 00:03:42.000]  或者有些比較熟悉聖經的弟兄姊妹
[00:03:42.000 --> 00:03:44.000]  一聽到基顛的名字
[00:03:44.000 --> 00:03:48.000]  可能就會想到他用羊毛去做試驗
[00:03:48.000 --> 00:03:51.000]  來確定上帝的旨意
[00:03:51.000 --> 00:03:55.000]  於是當我們不能夠肯定上帝的旨意的時候
[00:03:55.000 --> 00:03:58.000]  就會想一些方法去試驗一下
[00:03:58.000 --> 00:04:01.000]  看看上帝的旨意是怎樣
[00:04:01.000 --> 00:04:03.000]  但是我要告訴大家
[00:04:03.000 --> 00:04:09.000]  試驗的方法並不是了解上帝旨意的好方法
[00:04:09.000 --> 00:04:13.000]  事實上當基顛用羊毛去試驗
[00:04:13.000 --> 00:04:16.000]  確定上帝的旨意的時候
[00:04:16.000 --> 00:04:20.000]  表明他是跟我們一樣
[00:04:20.000 --> 00:04:23.000]  不是有很大信心的人
[00:04:23.000 --> 00:04:29.000]  是信心少的一個行動
[00:04:29.000 --> 00:04:34.000]  不過上主仍然會使用一個信心小的人
[00:04:34.000 --> 00:04:37.000]  也會幫助信心軟弱的人
[00:04:37.000 --> 00:04:43.000]  最近我們講了很多聖經裡面記載的信心人物
[00:04:43.000 --> 00:04:46.000]  好像他們也有超強的信心
[00:04:46.000 --> 00:04:52.000]  有幾位弟兄姊妹很坦誠地向梁牧師反映
[00:04:52.000 --> 00:04:56.000]  這些信心真的很不容易
[00:04:56.000 --> 00:04:59.000]  聽到的教導就是這樣
[00:04:59.000 --> 00:05:02.000]  自己也希望有信心的
[00:05:02.000 --> 00:05:05.000]  但是又做不到
[00:05:05.000 --> 00:05:08.000]  那些信心的見證在書裡面
[00:05:08.000 --> 00:05:11.000]  或者在視頻裡面看很多
[00:05:11.000 --> 00:05:15.000]  好像似乎都是發生在其他人的身上
[00:05:15.000 --> 00:05:19.000]  為什麼就不會發生在我身上呢?
[00:05:19.000 --> 00:05:23.000]  其實在馬克福音第五章有一個很精彩的記載
[00:05:23.000 --> 00:05:26.000]  有一位管理會堂
[00:05:26.000 --> 00:05:31.000]  會堂就是猶太人的教堂
[00:05:31.000 --> 00:05:33.000]  好像我們這樣
[00:05:33.000 --> 00:05:35.000]  他叫艾魯
[00:05:35.000 --> 00:05:39.000]  他有一個女兒病得很嚴重
[00:05:39.000 --> 00:05:42.000]  可能快要死了
[00:05:42.000 --> 00:05:47.000]  他走投無路想去找耶穌
[00:05:47.000 --> 00:05:52.000]  於是耶穌就跟他一起預備回家
[00:05:52.000 --> 00:05:56.000]  在這個路途上發生了兩件事
[00:05:56.000 --> 00:06:00.000]  一件是在人魂當中
[00:06:00.000 --> 00:06:05.000]  有一位女士患上血瘤
[00:06:05.000 --> 00:06:10.000]  就是月經不停的女士
[00:06:10.000 --> 00:06:14.000]  另外就是
[00:06:14.000 --> 00:06:16.000]  艾魯家裡有人跟他說
