
[00:00:00.000 --> 00:00:06.380]  今天感恩可以再和大家分享有關主的訊息
[00:00:06.380 --> 00:00:11.780]  今天有個講題 講題是甚麼呢 我們先看看
[00:00:11.780 --> 00:00:14.980]  我們一起讀個講題 預備 1 2 3
[00:00:14.980 --> 00:00:19.580]  求主打發工人收莊價
[00:00:19.580 --> 00:00:22.940]  這個講題其實好像一個祈禱
[00:00:22.940 --> 00:00:25.680]  求主打發工人收莊價
[00:00:25.680 --> 00:00:29.500]  究竟求主打發哪個工人呢
[00:00:29.500 --> 00:00:32.820]  是否我們家裏的菲傭姐姐或是印傭姐姐呢
[00:00:32.820 --> 00:00:35.440]  還是哪位是工人呢
[00:00:35.440 --> 00:00:38.700]  我們現在就去看看我們的經文
[00:00:38.700 --> 00:00:46.540]  今天的經文會在馬太福音的九章35節到38節
[00:00:46.540 --> 00:00:52.100]  我們可以嘗試一起讀一次 我們可以慢慢讀
[00:00:52.100 --> 00:00:58.700]  耶穌走遍各城各鄉 在會堂裡教訓人
[00:00:58.700 --> 00:01:04.660]  宣講天國的福音 又醫治各樣的病症
[00:01:04.660 --> 00:01:09.420]  他看見許多的人 就憐憫他們
[00:01:09.420 --> 00:01:15.980]  因為他們困苦流離 如同羊沒有牧人一般
[00:01:15.980 --> 00:01:23.380]  於是對門徒說 要收的莊價多 作工的人少
[00:01:23.380 --> 00:01:29.480]  所以你們當求莊價的主 打發工人出去
[00:01:29.480 --> 00:01:33.880]  收他的莊價 讓我們一起禱告
[00:01:33.880 --> 00:01:38.160]  主啊 今天我們就在你面前 去呼求你 禱告你
[00:01:38.160 --> 00:01:40.820]  主啊 在經文裏面你提醒我們
[00:01:40.820 --> 00:01:45.340]  我們要知道莊價多 工人少
[00:01:45.340 --> 00:01:48.180]  所以你呼籲我們來到你面前的時候
[00:01:48.180 --> 00:01:53.220]  我們祈求的就是求主你打發工人出去收莊價
[00:01:53.220 --> 00:01:57.420]  主啊 求你讓我們知道工人在哪裏
[00:01:57.420 --> 00:02:02.020]  主啊 求你的靈親自來對我們說話
[00:02:02.020 --> 00:02:04.300]  主啊 我們願意在你的面前
[00:02:04.300 --> 00:02:06.840]  我們都將自己交給你
[00:02:06.840 --> 00:02:10.740]  主啊 求你讓我們在你的裏邊
[00:02:10.740 --> 00:02:15.380]  我們能夠有智慧的心 能夠聽得到你的說話
[00:02:15.380 --> 00:02:18.740]  主啊 我們祈禱靠耶穌的名 阿們
[00:02:18.740 --> 00:02:21.500]  好 等一下 在我們習俗的經文裏面
[00:02:21.500 --> 00:02:25.300]  還記不記得是在邊縣福音書裏面
[00:02:25.300 --> 00:02:29.620]  馬太福音書 有多少等姐妹看過馬太福音 舉手
[00:02:29.620 --> 00:02:34.500]  馬太福音 大家還記得馬太福音有多少章嗎
[00:02:34.500 --> 00:02:39.580]  很多章啊 二十八章
[00:02:39.580 --> 00:02:42.220]  馬太福音有很多章
[00:02:42.220 --> 00:02:46.780]  我們習俗的經文就在馬太福音第九章裏面
[00:02:46.780 --> 00:02:52.540]  其實在馬太福音一路講到耶穌的生平的時候
[00:02:52.540 --> 00:02:57.140]  其實他是怎樣敘述的呢
[00:02:57.140 --> 00:03:01.940]  其實在馬太福音開始的時候 第一章到第三章
[00:03:01.940 --> 00:03:08.540]  大家記不記得是講什麼的 馬太福音最初的時候
[00:03:08.540 --> 00:03:12.060]  第一章到第三章不是講醫治
[00:03:12.060 --> 00:03:17.980]  講什麼呢 三博士 最重要是講三博士
[00:03:17.980 --> 00:03:21.020]  大家最有印象的就是
[00:03:21.020 --> 00:03:23.420]  很多時候我們為了聖誕 特別有些聖景
[00:03:23.420 --> 00:03:26.300]  我們都會做三博士
[00:03:26.300 --> 00:03:29.660]  當然主角就不是三博士
[00:03:29.660 --> 00:03:37.300]  講的是主耶穌怎樣來到這個世界裏面
[00:03:37.300 --> 00:03:42.420]  直到祂怎樣成長 接著祂受浸
[00:03:42.420 --> 00:03:44.460]  主耶穌都受浸的
[00:03:44.460 --> 00:03:48.860]  祂受施浸約翰為祂施行浸禮
[00:03:48.860 --> 00:03:50.700]  不過在這裏都要講一點
[00:03:50.700 --> 00:03:54.820]  主耶穌的浸禮和我們的浸禮有點不同
[00:03:54.820 --> 00:04:00.620]  雖然形式可能一樣 當然我們不會在一條河裏
[00:04:00.620 --> 00:04:03.700]  耶穌的浸禮是要告訴我們聽
[00:04:03.700 --> 00:04:08.140]  我們每一個跟隨祂的人 其實我們都應該要受浸
[00:04:08.140 --> 00:04:09.980]  就是這麼簡單
[00:04:09.980 --> 00:04:11.980]  祂本身沒有這個需要
[00:04:11.980 --> 00:04:14.220]  不過要告訴我們聽
[00:04:14.220 --> 00:04:16.020]  我們跟隨祂的人都要受浸
[00:04:16.020 --> 00:04:18.500]  所以祂都受浸
[00:04:18.500 --> 00:04:21.180]  這個就是盡諸般的義
[00:04:21.180 --> 00:04:24.660]  這個就是祂的浸禮和我們的浸禮
[00:04:24.660 --> 00:04:27.940]  在意義上有少許不同的地方
[00:04:27.940 --> 00:04:31.980]  亦都鼓勵我們每一個願意去跟隨主的人
[00:04:31.980 --> 00:04:33.700]  我們都願意受浸
[00:04:33.700 --> 00:04:35.300]  更加重要的是今天我們受浸
[00:04:35.300 --> 00:04:37.820]  不單止是一個信仰上的受浸
[00:04:37.820 --> 00:04:41.740]  更加重要的是我們要加入一間地方的教會裏面
[00:04:41.740 --> 00:04:44.380]  我們要在神的國裏面
[00:04:44.380 --> 00:04:46.020]  加入一間地方的教會裏面
[00:04:46.020 --> 00:04:47.860]  在一個地方的群體裏面
[00:04:47.860 --> 00:04:50.700]  我們一齊 一齊去生活
[00:04:50.700 --> 00:04:53.620]  這個就是地上的教會
[00:04:53.620 --> 00:04:56.780]  在馬達芬最初的時候講到耶穌
[00:04:56.780 --> 00:05:01.180]  怎樣出世 生博士 接著受浸
[00:05:01.180 --> 00:05:03.780]  受浸之後 第四章開始
[00:05:03.780 --> 00:05:06.700]  第四章到第七章
[00:05:06.700 --> 00:05:07.900]  大家記不記得甚麼
[00:05:07.900 --> 00:05:09.300]  章數不記得甚麼
[00:05:09.300 --> 00:05:10.820]  但最初聖經裏面
[00:05:10.820 --> 00:05:14.340]  馬達福音有甚麼重要的經文呢
[00:05:14.340 --> 00:05:15.980]  有沒有印象
[00:05:15.980 --> 00:05:17.900]  哇 八福一聽就聽到了
[00:05:17.900 --> 00:05:19.780]  八福 八福在講甚麼
