
[00:00:00.000 --> 00:00:04.000]  在禮堂的頂姊妹朋友們平安
[00:00:04.000 --> 00:00:10.000]  也祝願在網上收看直播的頂姊妹都平安
[00:00:10.000 --> 00:00:14.000]  我們能夠平平安安健健康康的聚在一起敬拜神
[00:00:14.000 --> 00:00:16.000]  很不容易 真是恩典
[00:00:16.000 --> 00:00:19.000]  但願我們無論在哪個地方
[00:00:19.000 --> 00:00:22.000]  但我們都是同樣用心靈誠實
[00:00:22.000 --> 00:00:25.000]  來去敬拜我們的主
[00:00:25.000 --> 00:00:30.000]  踏入三月份 三月份是全因堂的猜全月
[00:00:30.000 --> 00:00:33.000]  換句話說 我們這個月 整個月
[00:00:33.000 --> 00:00:37.000]  我們都是集中去講猜全
[00:00:37.000 --> 00:00:40.000]  我記得很早之前
[00:00:40.000 --> 00:00:43.000]  邵芳就已經催促我 問我
[00:00:43.000 --> 00:00:46.000]  「惠明惠明 我們今年的猜全
[00:00:46.000 --> 00:00:48.000]  我們有什麼領受呢?」
[00:00:48.000 --> 00:00:50.000]  我說 「等等等等」
[00:00:50.000 --> 00:00:53.000]  「我們都要禱告 看看神怎樣帶領我們」
[00:00:53.000 --> 00:00:58.000]  經過了一輪的禱告等候
[00:00:58.000 --> 00:01:00.000]  我領受的就是
[00:01:00.000 --> 00:01:03.000]  我們需要被神來重現
[00:01:03.000 --> 00:01:05.000]  我們對主那份的激情
[00:01:05.000 --> 00:01:07.000]  所以我都定了這個題目
[00:01:07.000 --> 00:01:10.000]  成為我們猜全年會的主題
[00:01:10.000 --> 00:01:13.000]  今天是猜全月的第一講
[00:01:13.000 --> 00:01:15.000]  我亦都會用這個題目
[00:01:15.000 --> 00:01:18.000]  來作為今天講到的主題
[00:01:20.000 --> 00:01:27.000]  話說美國的牧師兼民權運動領袖
[00:01:27.000 --> 00:01:30.000]  他亦都是1964年諾貝爾和平獎的得主
[00:01:30.000 --> 00:01:33.000]  馬丁路德金 Martin Luther King
[00:01:33.000 --> 00:01:35.000]  他曾經講過一句說話
[00:01:35.000 --> 00:01:39.000]  他說 如果一個人沒有一件為之生為之死的事
[00:01:39.000 --> 00:01:41.000]  這樣他就不應該活
[00:01:41.000 --> 00:01:43.000]  我想他的意思就是說
[00:01:43.000 --> 00:01:46.000]  我們每一個人都應該有一件事
