
[00:00:00.000 --> 00:00:05.000]  各位電影姐妹,不要以為栽培,是為了人
[00:00:05.000 --> 00:00:11.000]  兩個多三個禮拜前,我和蔡依,龍依去了澳門
[00:00:11.000 --> 00:00:22.000]  有一個特別的營會是給一班初職和在大學裏面進修的
[00:00:22.000 --> 00:00:29.000]  三個不同的地方,中國,澳門和香港
[00:00:29.000 --> 00:00:34.000]  一班是青年信徒準備的
[00:00:34.000 --> 00:00:43.000]  在這個營會裏面,蔡依講及她心裏面最深的感觸
[00:00:43.000 --> 00:00:49.000]  就是由突破和教新的調查
[00:00:49.000 --> 00:00:56.000]  最近這五年裏面,香港的教會初職大專
[00:00:56.000 --> 00:01:07.000]  青少那個流失率,令到她深深感到害怕和擔心
[00:01:07.000 --> 00:01:12.000]  由青少進到大專,流失一大截
[00:01:12.000 --> 00:01:17.000]  由大專進入初職,又流失一大截
[00:01:17.000 --> 00:01:22.000]  到底普遍平均的流失率,香港的教會是多少人呢?
[00:01:22.000 --> 00:01:28.000]  是百分之八十,各位親愛的兄弟姐妹
[00:01:28.000 --> 00:01:33.000]  而這百分之八十的流失,這些羊仔當中
[00:01:33.000 --> 00:01:38.000]  大部份甚至是第二代的信徒
[00:01:38.000 --> 00:01:43.000]  我們看到今日香港,一個數年的爭戰
[00:01:43.000 --> 00:01:47.000]  各位做父母的,我都希望和你們講一聲
[00:01:47.000 --> 00:01:54.000]  我們的價值觀怎樣,是直接影響我們下一代的價值觀
[00:01:54.000 --> 00:01:57.000]  如果我們緊張他們的考試,他們的功課
[00:01:57.000 --> 00:02:03.000]  是過於他們對永恆的追求,品格的追求
[00:02:03.000 --> 00:02:08.000]  我可以預先預言,當他們進入大學的時候
[00:02:08.000 --> 00:02:11.000]  他會和神拜拜
[00:02:11.000 --> 00:02:16.000]  縱使不是在大專的時候和神拜拜
[00:02:16.000 --> 00:02:21.000]  當他們進入到這個社會工作的時候,或者拍拖的時候
[00:02:21.000 --> 00:02:27.000]  他都會和教會拜拜,和神再見
[00:02:27.000 --> 00:02:30.000]  到底怎樣可以令到我們的下一代
[00:02:30.000 --> 00:02:35.000]  穩穩進進,堅穩地站在神的裏面
[00:02:35.000 --> 00:02:39.000]  而且不單止自己站得穩,還可以影響同學
[00:02:39.000 --> 00:02:43.000]  一個一個能夠帶他們回來,去靈修
[00:02:43.000 --> 00:02:46.000]  帶他們回來,去追求真理
[00:02:46.000 --> 00:02:52.000]  帶他們回來,為了一些永恆永遠不會後悔的人生目的
[00:02:52.000 --> 00:02:55.000]  來過他們的生活
[00:02:55.000 --> 00:03:00.000]  除非我們今日父母都知道怎樣去做栽培
[00:03:00.000 --> 00:03:05.000]  怎樣來栽培我們的下一代
[00:03:05.000 --> 00:03:10.000]  在過去裏面,我沒有後悔過在家裏
[00:03:10.000 --> 00:03:17.000]  繼續不斷和我的細蚊仔查聖經,講真理
[00:03:17.000 --> 00:03:21.000]  又透過時事來讓他們看見
[00:03:21.000 --> 00:03:25.000]  聖經怎樣預言這些東西,是何時預言
[00:03:25.000 --> 00:03:29.000]  現在怎樣應驗,我都告訴他們
[00:03:29.000 --> 00:03:32.000]  每一次我們經歷到任何事情的時候
[00:03:32.000 --> 00:03:34.000]  我們都和他們分享
[00:03:34.000 --> 00:03:37.000]  這些經歷是讓我們看見
[00:03:37.000 --> 00:03:43.000]  原來我們的信仰不只是文字上的記載
