
[00:00:00.000 --> 00:00:01.480]  弟兄姊妹們午安
[00:00:01.480 --> 00:00:04.420]  《羅馬書》九到十一章
[00:00:04.420 --> 00:00:06.280]  如果我們看《聖經》的時候
[00:00:06.280 --> 00:00:07.080]  我們會發覺
[00:00:07.080 --> 00:00:10.080]  它的內容是一個不可以分割的部分
[00:00:10.080 --> 00:00:11.400]  就是要一起看
[00:00:11.400 --> 00:00:14.560]  所以我相信稍微回顧一下九到十章
[00:00:14.560 --> 00:00:18.400]  會幫我們去掌握今天我們要看的這段經文的脈絡
[00:00:18.400 --> 00:00:21.680]  《羅馬書》九章一到二十九節
[00:00:21.680 --> 00:00:23.400]  我們看到保羅
[00:00:23.400 --> 00:00:29.720]  好像將自己看成跟舊約的先知一樣的角色
[00:00:30.480 --> 00:00:33.080]  他很想將從神而來的權威信息
[00:00:33.080 --> 00:00:38.560]  向他當代的猶太和外邦的信徒頒佈
[00:00:38.560 --> 00:00:42.800]  在九章一到二十九節這段經文裡面
[00:00:42.800 --> 00:00:46.560]  保羅說明了神是一個信實的神
[00:00:46.560 --> 00:00:53.520]  他必定來成就他對以色列列祖的應許
[00:00:53.520 --> 00:00:56.520]  就是讓他們進入應許的地
[00:00:56.520 --> 00:00:59.480]  並且在他們當中一路延展下去
[00:01:00.200 --> 00:01:02.600]  但如果我們留意九章一到二十九節
[00:01:02.600 --> 00:01:03.800]  保羅也說
[00:01:03.800 --> 00:01:06.600]  神是決定
[00:01:06.600 --> 00:01:07.560]  留意
[00:01:07.560 --> 00:01:09.040]  是他自己決定
[00:01:09.040 --> 00:01:10.800]  而不是以色列人決定
[00:01:10.800 --> 00:01:13.320]  究竟誰是他的選民
[00:01:13.320 --> 00:01:16.080]  在這張聖經裡面他告訴我們
[00:01:16.080 --> 00:01:16.600]  他說
[00:01:16.600 --> 00:01:19.440]  神的選民不是從肉身生的
[00:01:19.440 --> 00:01:22.160]  意思是說不是亞伯拉罕的後裔
[00:01:22.160 --> 00:01:23.200]  就是神的選民
[00:01:23.200 --> 00:01:24.840]  他說
[00:01:24.840 --> 00:01:26.560]  唯有從靈生的
[00:01:26.560 --> 00:01:28.880]  就是從信耶穌基督
[00:01:28.880 --> 00:01:30.160]  而得生命的人
[00:01:30.160 --> 00:01:33.880]  這一群人才是神所揀選
