
[00:00:00.000 --> 00:00:06.360]  上兩次我們看了《彈爾利書》頭幾章
[00:00:06.360 --> 00:00:08.920]  其實是從第一章到第二章
[00:00:08.920 --> 00:00:11.240]  接着是四五六章
[00:00:11.240 --> 00:00:15.160]  我們很熟悉很精彩的就是第六章
[00:00:15.160 --> 00:00:18.400]  因爲就是彈爾利在獅子坑的故事
[00:00:18.400 --> 00:00:20.680]  從小朋友就開始聽
[00:00:20.680 --> 00:00:23.280]  在兒童主義學校就教的
[00:00:23.280 --> 00:00:27.720]  這個是很特別很精彩的一個環節
[00:00:27.720 --> 00:00:30.200]  講明瞭神的奇妙的作爲
[00:00:30.200 --> 00:00:36.440]  但是其實第三章特別講彈爾利的三個朋友
[00:00:36.440 --> 00:00:39.320]  這三個朋友在第三章裏面記載
[00:00:39.320 --> 00:00:43.160]  其實是不亞於第六章那個故事的情節
[00:00:43.160 --> 00:00:46.040]  因爲也是一個神奇妙的拯救
[00:00:46.040 --> 00:00:49.480]  我們發覺原來神藉着他的靈
[00:00:49.480 --> 00:00:53.720]  在這些屬神的人心裏面能夠顯出奇妙的作爲
[00:00:53.720 --> 00:00:56.680]  所以今天我們來看看第三章這個記載
[00:00:56.680 --> 00:01:00.680]  我們其中選讀頭十二節
[00:01:00.680 --> 00:01:03.240]  或者讀到十八節
[00:01:03.240 --> 00:01:06.920]  然後我們之後的經文我們就再略略解釋
[00:01:06.920 --> 00:01:11.240]  我們一同思想一下這段記載所帶給我們的信息
[00:01:11.240 --> 00:01:13.240]  彈爾利書第三章
[00:01:13.240 --> 00:01:15.240]  我們看第一節
[00:01:15.240 --> 00:01:21.800]  我們看見這個就是當時一幫巴比倫的人百姓
[00:01:21.800 --> 00:01:26.040]  他們在尼布格尼撒旺的御子底下
[00:01:26.040 --> 00:01:29.240]  全部都要敬拜他所設立的金像
[00:01:29.240 --> 00:01:31.000]  這個開綱的儀式
[00:01:31.000 --> 00:01:33.000]  所以唯有這三個人
[00:01:33.000 --> 00:01:35.000]  就是彈爾利的三個朋友
[00:01:35.000 --> 00:01:38.280]  他們不願意來屈膝在金像面前
[00:01:38.280 --> 00:01:39.800]  所以引出了這個故事
[00:01:39.800 --> 00:01:42.040]  我們一起讀一讀經文的記載
[00:01:42.040 --> 00:01:44.280]  大家就可以更加了解
[00:01:44.280 --> 00:01:50.280]  我們看看由第一節到第十八節
[00:01:50.280 --> 00:01:53.000]  這一章記載的我們知道是第一章
[00:01:53.000 --> 00:01:57.400]  彈爾利和這三個朋友被撈到巴比倫去
[00:01:57.400 --> 00:01:59.720]  他們活在這個愛邦之地
[00:01:59.720 --> 00:02:03.320]  面對當時可以說是世界之王
[00:02:03.320 --> 00:02:09.560]  統管整個世界的巴比倫尼布格尼撒旺
