
[00:00:00.000 --> 00:00:02.140]  今天是7月2號 是不是?
[00:00:02.140 --> 00:00:03.960]  今天是7月2號
[00:00:03.960 --> 00:00:09.380]  昨天如果是來自香港的朋友呢?
[00:00:09.380 --> 00:00:11.760]  昨天特別是來自香港的朋友
[00:00:11.760 --> 00:00:13.340]  都知道是甚麼日子 是不是?
[00:00:13.340 --> 00:00:14.720]  都知道是甚麼日子吧
[00:00:14.720 --> 00:00:20.080]  就是慶祝香港回歸中國20週年
[00:00:20.080 --> 00:00:23.120]  就是慶祝香港回歸中國20週年
[00:00:23.120 --> 00:00:24.500]  所以我們不認老都不行
[00:00:24.500 --> 00:00:26.040]  這麼快20週年 是不是?
[00:00:26.040 --> 00:00:28.060]  所以不熱鬧也不成
[00:00:28.060 --> 00:00:29.500]  這麼快就20年了
[00:00:29.500 --> 00:00:34.440]  我記得就在大約是80年代的時候
[00:00:34.440 --> 00:00:36.780]  我記得大概是80年代的時候
[00:00:36.780 --> 00:00:39.940]  當時就是中國和英國就有談判
[00:00:39.940 --> 00:00:42.080]  當時就是中國跟英國談判
[00:00:42.080 --> 00:00:43.100]  談判甚麼呢?
[00:00:43.100 --> 00:00:43.900]  談判甚麼呢?
[00:00:43.900 --> 00:00:45.900]  談判香港就是97之後
[00:00:45.900 --> 00:00:50.760]  究竟那個管理和那個主權
[00:00:50.760 --> 00:00:55.100]  談判在香港九四之後那個管理跟主權
[00:00:55.100 --> 00:00:57.280]  原本英國就是想這樣的
[00:00:57.280 --> 00:00:59.540]  原本英國就是想這樣的
[00:00:59.540 --> 00:01:02.420]  它說主權就交給你了
[00:01:02.420 --> 00:01:04.900]  它說主權就交給你
[00:01:04.900 --> 00:01:08.340]  但是那個主權就繼續由英國人去統治
[00:01:08.340 --> 00:01:12.420]  但是主權就是繼續由英國人來管制
[00:01:12.420 --> 00:01:14.660]  那中國當然不願意了 是不是?
[00:01:14.660 --> 00:01:16.180]  中國當然不大願意
[00:01:16.180 --> 00:01:17.460]  有一句話就說
[00:01:17.460 --> 00:01:20.400]  這個主權和這個治權是不可以分開的
[00:01:20.400 --> 00:01:24.360]  據說主權跟治權是不可以分開的
[00:01:24.360 --> 00:01:26.740]  其實這個說法是沒有錯的
[00:01:26.740 --> 00:01:28.900]  其實這個說法是沒有錯的
[00:01:28.900 --> 00:01:32.780]  但是為甚麼會有談判呢?
[00:01:32.780 --> 00:01:34.980]  可是為甚麼會有談判呢?
[00:01:34.980 --> 00:01:36.780]  主要就是這個所謂的權
[00:01:36.780 --> 00:01:37.980]  屬於誰的 是不是?
