
[00:00:00.000 --> 00:00:10.000]  這錄音或錄影的版權是屬於基督教宣導會不各堂所有
[00:00:10.000 --> 00:00:14.000]  我們的屬靈傳統之一是以真理教導為本
[00:00:14.000 --> 00:00:18.000]  歡迎您將此錄音或錄影的連結傳給親友
[00:00:18.000 --> 00:00:24.000]  懇請注意,未經授權,請勿轉錄或剪輯本錄音或錄影
[00:00:24.000 --> 00:00:28.000]  甚願好像《仕途行傳》20章32節下所說
[00:00:28.000 --> 00:00:34.000]  這道能建立你們,叫你們和一切聖聖的人同得基業
[00:00:58.000 --> 00:01:06.000]  我們都會在這個時候想念到很多我們的先輩、前輩
[00:01:06.000 --> 00:01:11.000]  他們如何在艱辛當中開展了教會的服事
[00:01:11.000 --> 00:01:17.000]  我講一點歷史,大家知道73年之前的10月12日
[00:01:17.000 --> 00:01:24.000]  就是北宣的開堂日,明天的日子
[00:01:24.000 --> 00:01:30.000]  當時很多人都會問,為什麼會有人來這個地方傳福音呢?
[00:01:30.000 --> 00:01:34.000]  其實大家如果留心一些香港的歷史,你會知道
[00:01:34.000 --> 00:01:39.000]  在50年代的時候,因為中國內地政權的轉變
[00:01:39.000 --> 00:01:43.000]  所以大量的難民湧來香港
[00:01:43.000 --> 00:01:48.000]  而香港政府當時就將難民集中在一條鏡嶺的地方
[00:01:48.000 --> 00:01:52.000]  那裡變成一個難民集中營的地方
[00:01:52.000 --> 00:01:57.000]  那個地方大家不要以為現在很快地在地鐵兩步就去到了
[00:01:57.000 --> 00:02:03.000]  其實當時是一些很荒蕪的山嶺,是沒有交通工具去到那個地方
[00:02:03.000 --> 00:02:11.000]  我們稱之為一條鏡嶺,其實因為這個地方以前的名稱叫做吊頸嶺
[00:02:11.000 --> 00:02:17.000]  因為是一個荒蕪的山嶺,所以有些人自殺就躲在那裡吊頸
[00:02:17.000 --> 00:02:21.000]  當時的難民在那個地方,你可以想像是很艱難的生活
[00:02:21.000 --> 00:02:27.000]  但是當時的九龍塘宣導會的貝岡道牧師帶同婦女會的姐妹們
[00:02:27.000 --> 00:02:35.000]  他們就去那個營地去救濟,去關心,也在當地傳福音
[00:02:35.000 --> 00:02:43.000]  後來他們就邀請宣導會的西差會同工,就在那裡開始了教會的工作
[00:02:43.000 --> 00:02:48.000]  感謝上帝的工作,在當時人以為是最艱難的日子
[00:02:48.000 --> 00:02:58.000]  但是最多人信主的日子,短短兩年之間教會有超過二千人信主
[00:02:58.000 --> 00:03:02.000]  我想到今天都未必有這樣的情況,很多人信主
[00:03:02.000 --> 00:03:10.000]  但是在信主之後就發覺很困難,但是也有神所興起的牧者
[00:03:10.000 --> 00:03:15.000]  教會開始了一個叫做當時的宣導聖經學校
[00:03:15.000 --> 00:03:19.000]  他們訓練神學生來承擔很多的牧職的工作
[00:03:19.000 --> 00:03:25.000]  這些神學生他們在暑假期間本來應該馬上找機會去賺一些錢
[00:03:25.000 --> 00:03:32.000]  生活很艱難,他們都是當地的一些居民,一些逃離香港的難民
[00:03:32.000 --> 00:03:40.000]  但是他們全部都願意用那段時間在香港四處去走,說要能夠傳福音
[00:03:40.000 --> 00:03:45.000]  其中一班就來了北角,當時來北角都很艱難
[00:03:45.000 --> 00:03:53.000]  沒有交通,搭船,搭一些街道,來到這個地方,來到北角碼頭地區傳福音
[00:03:53.000 --> 00:03:57.000]  就是這樣,有很多的朋友是當時的信徒主
[00:03:57.000 --> 00:04:03.000]  經過一段時間之後,這班神學生他們要回到學校上課
[00:04:03.000 --> 00:04:07.000]  但是有很多信徒主的北角的街坊怎麼辦呢?
[00:04:07.000 --> 00:04:11.000]  神就安排一些宣教士和一些弟兄姊妹
[00:04:11.000 --> 00:04:16.000]  就在這個地方開始了宣導會北角堂
[00:04:16.000 --> 00:04:21.000]  他們當時租用了在北角道十四號的地方
[00:04:21.000 --> 00:04:25.000]  在現在北角道,麻布道交界的地方
[00:04:25.000 --> 00:04:30.000]  租用一個地下的單位來開始教會的崇拜
[00:04:30.000 --> 00:04:35.000]  在當時我們,我自己都未曾參與教會
[00:04:35.000 --> 00:04:40.000]  但是後來看到有關的消息的時候,心裡是很感動的
[00:04:40.000 --> 00:04:46.000]  是很多的前人,他們是真的付上了很大的代價
[00:04:46.000 --> 00:04:53.000]  很辛勞來帶領在這個地區的人認識住
[00:04:53.000 --> 00:04:57.000]  他們當時是每一天都在北角碼頭的地方
[00:04:57.000 --> 00:05:02.000]  是趁著很多船隻下船上船,很多的乘客
[00:05:02.000 --> 00:05:06.000]  也有些時候,傍晚的時候,很多人在乘涼的時候
[00:05:06.000 --> 00:05:12.000]  就會公開用一些手風琴來拉奏
[00:05:12.000 --> 00:05:15.000]  吸引一些人來聽福音
[00:05:15.000 --> 00:05:19.000]  然後過程當中,很多人信了住
[00:05:19.000 --> 00:05:25.000]  我自己是1969年來到北角宣導會的
[00:05:25.000 --> 00:05:29.000]  當時我來到的時候,心裡面開始知道這些歷史
[00:05:29.000 --> 00:05:33.000]  心裡就很感動,我知道如果不是有這一群人
[00:05:33.000 --> 00:05:38.000]  今天我也不會像今天那麼順暢
[00:05:38.000 --> 00:05:40.000]  不過到14號,不知道大家有沒有留意
[00:05:40.000 --> 00:05:43.000]  今天已經是完全不同了
[00:05:43.000 --> 00:05:47.000]  不過當你經過的時候,你會發現一座建築物
[00:05:47.000 --> 00:05:52.000]  外面寫了四個大英文字母,叫做NPAC
[00:05:52.000 --> 00:05:55.000]  什麼NPAC?北角宣導會
[00:05:55.000 --> 00:05:57.000]  North Point Alliance Church
[00:05:57.000 --> 00:06:00.000]  你說為什麼還有這間教會呢?
[00:06:00.000 --> 00:06:03.000]  當然已經不是以前的教會
[00:06:03.000 --> 00:06:07.000]  已經傳動建築物,已經拆卸重建
