
[00:00:00.000 --> 00:00:02.000]  願每平安
[00:00:02.000 --> 00:00:04.640]  我們一同來禱告
[00:00:04.640 --> 00:00:06.140]  天父我們謝謝祢
[00:00:06.140 --> 00:00:08.840]  因為祢的恩典時常與我們同在
[00:00:08.840 --> 00:00:10.760]  祢帶領我們經過高山
[00:00:10.760 --> 00:00:12.060]  也經過低谷
[00:00:12.060 --> 00:00:14.160]  祢的手一直在扶持著
[00:00:14.160 --> 00:00:15.500]  引導著我們
[00:00:15.500 --> 00:00:17.960]  所以我們今天能夠有生命的氣息
[00:00:17.960 --> 00:00:19.740]  來再一次來敬拜
[00:00:19.740 --> 00:00:21.540]  來思考祢的話語
[00:00:21.540 --> 00:00:23.440]  願我們口中的言語
[00:00:23.440 --> 00:00:24.700]  心中的意念
[00:00:24.700 --> 00:00:27.800]  都能夠在上主的面前得你的悅耐
[00:00:27.800 --> 00:00:30.400]  也願祢的話語繼續的引導我們
[00:00:30.400 --> 00:00:33.140]  使我們生活當中更加得力
[00:00:33.140 --> 00:00:34.400]  我們這樣的禱告
[00:00:34.400 --> 00:00:36.300]  奉耶穌基督的聖名
[00:00:36.300 --> 00:00:38.640]  Amen
[00:00:38.640 --> 00:00:42.640]  好 因為今天和大家分享的是詩篇第100篇
[00:00:42.640 --> 00:00:44.840]  那麼我剛才一進來的時候就發現
[00:00:44.840 --> 00:00:47.040]  我們的兩個版本不一樣
[00:00:47.040 --> 00:00:48.760]  因為你們用的是新義本
[00:00:48.760 --> 00:00:51.400]  那我用的是比較古老的版本
[00:00:51.400 --> 00:00:52.960]  和和本
[00:00:52.960 --> 00:00:54.960]  但是經文的表達的意思
[00:00:54.960 --> 00:00:56.140]  基本上都是一樣的
[00:00:56.140 --> 00:00:58.000]  我們一起來看
[00:00:58.000 --> 00:01:02.060]  其實詩篇是很重要的
[00:01:02.060 --> 00:01:05.360]  一個禱告的一些的經文
[00:01:05.360 --> 00:01:08.700]  很多人學習禱告都是從詩篇開始的
[00:01:08.700 --> 00:01:10.500]  因為詩篇的作者
[00:01:10.500 --> 00:01:12.600]  講到了他在生命當中
[00:01:12.600 --> 00:01:14.740]  怎麼樣經歷到這位上帝
[00:01:14.740 --> 00:01:17.060]  無論他在高山、在低谷
[00:01:17.060 --> 00:01:18.860]  在任何的環境裡面
[00:01:18.860 --> 00:01:24.100]  藉著禱告來向上帝表達的一種方式
[00:01:24.100 --> 00:01:26.100]  詩篇100篇的話
[00:01:26.100 --> 00:01:29.000]  特別講到了在我們禱告生活裡面
[00:01:29.000 --> 00:01:31.900]  其實我們應當有讚美的
[00:01:31.900 --> 00:01:33.700]  我們應該有感謝的
[00:01:33.700 --> 00:01:36.100]  因為我們本身的活著
[00:01:36.100 --> 00:01:37.800]  就像聖經裡面所說的
[00:01:37.800 --> 00:01:42.300]  有氣息的就要來讚美這位上帝們
[00:01:42.300 --> 00:01:45.040]  我們今天有沒有氣息?
[00:01:45.040 --> 00:01:48.060]  我教會的長老很有意思
[00:01:48.060 --> 00:01:50.960]  他每一次做見證的時候都講
[00:01:50.960 --> 00:01:53.400]  他每一天早上睡覺一起來
[00:01:53.400 --> 00:01:55.340]  第一件事做什麼?
[00:01:55.340 --> 00:01:56.860]  禱告
[00:01:56.860 --> 00:01:59.140]  他晚上睡覺之前
[00:01:59.140 --> 00:02:02.140]  他的那個拖鞋放在他的床的旁邊
[00:02:02.140 --> 00:02:03.540]  他也禱告
[00:02:03.540 --> 00:02:04.300]  為什麼?
[00:02:04.300 --> 00:02:05.400]  因為他年齡很大
[00:02:05.400 --> 00:02:07.040]  今年86歲了
[00:02:07.040 --> 00:02:08.640]  他說我晚上禱告
[00:02:08.640 --> 00:02:11.900]  我感謝上帝一整天對我的帶領
[00:02:11.900 --> 00:02:16.060]  明天我不知道這雙拖鞋能不能再穿上
[00:02:16.060 --> 00:02:19.660]  但是我睡覺之前我一定要禱告
[00:02:19.660 --> 00:02:20.800]  你明白嗎?
[00:02:20.800 --> 00:02:23.800]  他為著他每一天都向上帝感恩
[00:02:23.800 --> 00:02:26.640]  但是我們來看詩篇第100篇
[00:02:26.640 --> 00:02:28.100]  詩篇100篇的話
[00:02:28.100 --> 00:02:31.040]  特別講到了禱告當中很重要的
[00:02:31.040 --> 00:02:32.600]  我們來到教會當中
[00:02:32.600 --> 00:02:34.500]  我們個人的靈修生活
[00:02:34.500 --> 00:02:38.000]  一定是禱告擺在很重要的位置
[00:02:38.000 --> 00:02:40.700]  禱告就代表著我們跟上帝之間
[00:02:40.700 --> 00:02:43.040]  有一個美好的關係
[00:02:43.040 --> 00:02:45.000]  我們藉著我們的話語
[00:02:45.000 --> 00:02:49.700]  來向上帝表達我們心裡面所想的
[00:02:49.700 --> 00:02:52.200]  每一次來朝見上帝的時候
[00:02:52.200 --> 00:02:55.340]  禮拜天禮拜六其他的週間聚會
[00:02:55.340 --> 00:02:56.760]  或者聖經裡面講
[00:02:56.760 --> 00:02:59.100]  凡兩三個名奉我的名聚集的
[00:02:59.100 --> 00:03:01.940]  我就在你們的當中
[00:03:01.940 --> 00:03:05.200]  崇拜的當中一定有禱告
[00:03:05.200 --> 00:03:07.940]  向上帝的感謝讚美
[00:03:07.940 --> 00:03:11.340]  崇拜的當中一定有上帝的話語
[00:03:11.340 --> 00:03:15.200]  在崇拜的當中一定有聖靈的工作
