
[00:00:00.000 --> 00:00:02.000]  早晨,各位朋友早晨
[00:00:02.000 --> 00:00:05.000]  麻煩Karen給我遙控
[00:00:05.000 --> 00:00:08.000]  遙控Karen給我遙控
[00:00:08.000 --> 00:00:10.000]  謝謝
[00:00:10.000 --> 00:00:18.000]  如慣常一樣,我都會用一些題目幫助大家思想一下
[00:00:18.000 --> 00:00:29.000]  一家人帶著兒女去公園也好,去沙灘也好,去開心
[00:00:29.000 --> 00:00:33.000]  在一個很難得難忘的一刻,也很珍惜
[00:00:33.000 --> 00:00:38.000]  在愛和責這兩個事情上會有張力
[00:00:38.000 --> 00:00:41.000]  我們很想去愛我們的兒女
[00:00:41.000 --> 00:00:44.000]  我們很想去愛我們的父母
[00:00:44.000 --> 00:00:50.000]  有時甚至乎去到一個地步去溺愛,過份的痛愛
[00:00:50.000 --> 00:00:55.000]  我們同時也要知道我們需要有責備,有責任
[00:00:56.000 --> 00:01:00.000]  需要的時候要負上應該有的責任,特別是我們的兒女
[00:01:00.000 --> 00:01:03.000]  或者是照顧我們年老的父母
[00:01:03.000 --> 00:01:08.000]  我們甚至乎需要去指責,甚至乎要去責打
[00:01:08.000 --> 00:01:11.000]  我不知道你小時候有沒有試過被父母打過你呢?
[00:01:11.000 --> 00:01:13.000]  有沒有?
[00:01:13.000 --> 00:01:17.000]  沒有,我看到有些人這樣,令你很幸福,不用被父母打
[00:01:17.000 --> 00:01:21.000]  愛與責其實中間有些張力
[00:01:22.000 --> 00:01:26.000]  廣東話說打在兒女的身上是怎樣?
[00:01:26.000 --> 00:01:29.000]  痛在父母的心裡
[00:01:29.000 --> 00:01:32.000]  如果你曾經責打過你的兒女,你就知道
[00:01:32.000 --> 00:01:34.000]  兒女需要責打是因為他做了一些錯事
[00:01:34.000 --> 00:01:37.000]  或者你被父母責打的時候,你可能肉身很痛
[00:01:37.000 --> 00:01:40.000]  但你知不知道真正的痛,痛在父母的心裡
[00:01:40.000 --> 00:01:46.000]  沒有人喜歡,或者是想去責打他的兒女
[00:01:46.000 --> 00:01:49.000]  但可能有時是有需要這樣去做
[00:01:50.000 --> 00:01:54.000]  今天在讓我二書,整卷的書是一章的聖經
[00:01:54.000 --> 00:01:56.000]  一至十三節和大家分享
[00:01:56.000 --> 00:01:59.000]  我們將它分開三個段落和大家去看
[00:01:59.000 --> 00:02:02.000]  第一段落是講述我們要珍惜
[00:02:02.000 --> 00:02:05.000]  真理與愛的關係
[00:02:05.000 --> 00:02:08.000]  是真理與愛之間一個很特別的關係
[00:02:08.000 --> 00:02:11.000]  我們要實踐彼此相愛的命令
[00:02:11.000 --> 00:02:13.000]  我們說了很久,彼此相愛
[00:02:13.000 --> 00:02:16.000]  我們要實踐彼此相愛,這是一個命令
[00:02:17.000 --> 00:02:22.000]  第三部分是怎樣去尊重、持守真理
[00:02:22.000 --> 00:02:26.000]  這是一個很特別給教會的託付
[00:02:26.000 --> 00:02:29.000]  第一段我們要珍惜真理與愛的關係
[00:02:29.000 --> 00:02:32.000]  約翰在書中寫給一個很特別的教會
[00:02:32.000 --> 00:02:34.000]  他沒有說明是哪一個教會
[00:02:34.000 --> 00:02:37.000]  但心裡只記掛著一個他所愛的教會
[00:02:37.000 --> 00:02:40.000]  他開始說「我作長老的」
[00:02:40.000 --> 00:02:42.000]  年老的約翰寫信給教會的時候
[00:02:42.000 --> 00:02:44.000]  他知道自己的身份
[00:02:45.000 --> 00:02:48.000]  年紀老慢在教會裡是被尊重的長老
[00:02:48.000 --> 00:02:50.000]  被眾人所愛的一個牧者
[00:02:50.000 --> 00:02:54.000]  他說「我作為大家的長老,作為大家的牧者
[00:02:54.000 --> 00:02:56.000]  我寫信給你們」
[00:02:56.000 --> 00:03:02.000]  他說他寫信給孟簡選的夫人和他的兒女
[00:03:02.000 --> 00:03:05.000]  就是他真心所愛的
[00:03:05.000 --> 00:03:07.000]  你知道在《陳夫聖經》裡
[00:03:07.000 --> 00:03:13.000]  約翰很特別在這裡獨有地叫教會是他的夫人
[00:03:14.000 --> 00:03:17.000]  教會裡的弟兄姊妹是他的兒女
[00:03:17.000 --> 00:03:19.000]  其實你有沒有留意到
