
[00:00:00.000 --> 00:00:07.000]  好 今天我想就來分享一件事情 就是現在網路非常發達
[00:00:07.000 --> 00:00:12.000]  特別智慧型手機 每個人幾乎都有一台
[00:00:12.000 --> 00:00:19.000]  就發現一件事 發現每一次過年這件事情都成為很大的商機
[00:00:19.000 --> 00:00:24.000]  所以也看見現在有人在網路上送紅包
[00:00:24.000 --> 00:00:27.000]  送紅包我後來發現真的是還有錢的
[00:00:27.000 --> 00:00:32.000]  因為他有帳戶可以進去 分送紅包你還可以抽取 還可以有錢
[00:00:32.000 --> 00:00:40.000]  那最近我就看見 就接到一個算是LINE裡面的一個訊息
[00:00:40.000 --> 00:00:44.000]  就發現他很特別 他把聖經裡面的一些人物
[00:00:44.000 --> 00:00:48.000]  用出來來祝福每一個收告人
[00:00:48.000 --> 00:00:50.000]  那如果是一個人拿到 我就說那很厲害
[00:00:50.000 --> 00:00:54.000]  可是我發現我同時收到好幾封 我就知道這是網路轉載的
[00:00:54.000 --> 00:00:58.000]  那所以我就看見 既然是這樣 每次新年的時候
[00:00:58.000 --> 00:01:01.000]  其實我們應該是一個承接祝福的時候
[00:01:01.000 --> 00:01:04.000]  那所以我想我們就來思想
[00:01:04.000 --> 00:01:07.000]  那神就讓我想到說 其實我們可以透過這段經文
[00:01:07.000 --> 00:01:12.000]  我們一起來再次來思想 上帝到底怎麼樣來祝福我們
[00:01:12.000 --> 00:01:14.000]  而且幫助我們來經歷他的恩典
[00:01:14.000 --> 00:01:32.000]  所以請大家來看雅各書第1章17節
[00:01:32.000 --> 00:01:34.000]  這是一段很熟悉的經文
[00:01:34.000 --> 00:01:39.000]  但是讓我們再仔細來思考 上帝去告個恩典
[00:01:39.000 --> 00:01:46.000]  雅各書第1章17節 在新約329頁
[00:01:46.000 --> 00:01:48.000]  我們一起來讀
[00:01:48.000 --> 00:01:52.000]  各樣美善的恩賜 和各樣全輩的賞賜
[00:01:52.000 --> 00:01:57.000]  都是從上頭來的 從重光之父那裡降下來的
[00:01:57.000 --> 00:02:00.000]  在他並沒有改變 也沒有轉動的因而
[00:02:00.000 --> 00:02:02.000]  我們再讀一遍
[00:02:02.000 --> 00:02:05.000]  各樣美善的恩賜 和各樣全輩的賞賜
[00:02:05.000 --> 00:02:10.000]  都是從上頭來的 從重光之父那裡降下來的
[00:02:10.000 --> 00:02:14.000]  在他並沒有改變 也沒有轉動的因而
[00:02:14.000 --> 00:02:18.000]  那我就來跟大家先來分享一下
[00:02:18.000 --> 00:02:21.000]  就是我說在網路上看到的這一段話
[00:02:21.000 --> 00:02:26.000]  他說願新一年2014 上帝的慈愛環繞你
[00:02:26.000 --> 00:02:29.000]  他說耶穌的生命要怎麼樣 改變你
[00:02:29.000 --> 00:02:32.000]  聖靈的啟示要充滿你
[00:02:32.000 --> 00:02:35.000]  亞伯的獻祭鼓勵你
[00:02:35.000 --> 00:02:38.000]  以洛的同行影響你
[00:02:38.000 --> 00:02:40.000]  摩亞的敬畏跟著你
[00:02:40.000 --> 00:02:42.000]  亞伯的喊祝福領導你
[00:02:42.000 --> 00:02:44.000]  以撒的順服侍給你
[00:02:44.000 --> 00:02:46.000]  約瑟的尊榮不離你
[00:02:46.000 --> 00:02:51.000]  摩西的遷和提升你
[00:02:51.000 --> 00:02:53.000]  約蘇亞得勝隨著你
[00:02:53.000 --> 00:02:56.000]  撒摩爾侍奉渲染你
[00:02:56.000 --> 00:02:58.000]  約伯的孔案造就你
[00:02:58.000 --> 00:03:00.000]  大衛的國度建立你
[00:03:00.000 --> 00:03:02.000]  索文智慧分給你
[00:03:02.000 --> 00:03:04.000]  以利亞能力圍繞你
[00:03:04.000 --> 00:03:06.000]  以利沙恩高高謀你
[00:03:06.000 --> 00:03:08.000]  大義心智兼顧你
[00:03:08.000 --> 00:03:11.000]  以希捷意向顯於你
[00:03:11.000 --> 00:03:13.000]  彼得的收穫等著你
[00:03:13.000 --> 00:03:16.000]  彼得的收穫 還要想一下
[00:03:16.000 --> 00:03:19.000]  彼得不是有一次那個
[00:03:19.000 --> 00:03:20.000]  打魚對不對
[00:03:20.000 --> 00:03:23.000]  那個魚滿了
[00:03:23.000 --> 00:03:25.000]  連兩艘船都裝不下
[00:03:25.000 --> 00:03:27.000]  保羅的負擔加給你
[00:03:27.000 --> 00:03:31.000]  願意嗎
[00:03:31.000 --> 00:03:33.000]  前面說要
[00:03:33.000 --> 00:03:35.000]  保羅的負擔要嗎
[00:03:35.000 --> 00:03:38.000]  他繞行歐洲國際
[00:03:38.000 --> 00:03:39.000]  他怎麼樣呢
[00:03:39.000 --> 00:03:41.000]  他四十打一下
[00:03:41.000 --> 00:03:42.000]  撿去一下
[00:03:42.000 --> 00:03:43.000]  還有呢
[00:03:43.000 --> 00:03:45.000]  江河危險 滄海危險
[00:03:45.000 --> 00:03:47.000]  每次大家重彈在他身上
[00:03:47.000 --> 00:03:48.000]  還有呢
[00:03:48.000 --> 00:03:50.000]  約翰的見證開啟你
[00:03:50.000 --> 00:03:54.000]  他說願全能天賦個四福給你
[00:03:54.000 --> 00:03:57.000]  講了很多從聖經裡面
[00:03:57.000 --> 00:03:59.000]  講了很多聖經人物
[00:03:59.000 --> 00:04:01.000]  他們特別來幫助我們
[00:04:01.000 --> 00:04:04.000]  來祝福我們
[00:04:04.000 --> 00:04:06.000]  那其實呢
[00:04:06.000 --> 00:04:09.000]  想一想其實還是從哪裡來呢
[00:04:09.000 --> 00:04:11.000]  從天父上帝哪裡來
[00:04:11.000 --> 00:04:12.000]  所有上帝的恩典
[00:04:12.000 --> 00:04:14.000]  都充滿在我們生命裡頭
[00:04:14.000 --> 00:04:15.000]  雖然這些人物
[00:04:15.000 --> 00:04:17.000]  都是神手中的一個器皿
[00:04:17.000 --> 00:04:19.000]  在歷史當中被神所使用
[00:04:19.000 --> 00:04:21.000]  神特別加添他們一些
[00:04:21.000 --> 00:04:23.000]  獨特的恩典跟作為
[00:04:23.000 --> 00:04:24.000]  讓他們耐世代
[00:04:24.000 --> 00:04:26.000]  服侍耐世代的人
[00:04:26.000 --> 00:04:28.000]  那其實神也一直來鼓勵我們
[00:04:28.000 --> 00:04:30.000]  讓我們在每一年的時候呢
[00:04:30.000 --> 00:04:32.000]  其實我們都一起來思想
[00:04:32.000 --> 00:04:34.000]  到底神要來怎麼樣使用我們呢
[00:04:34.000 --> 00:04:36.000]  繼續在我們每一天的生活當中呢
[00:04:36.000 --> 00:04:40.000]  來成為祝福別人的人
[00:04:40.000 --> 00:04:42.000]  所以我們就看到呢
