
[00:00:00.000 --> 00:00:03.080]  今日的題目叫做「真係好消息」
[00:00:03.080 --> 00:00:04.840]  咦,不同powerpoint的
[00:00:04.840 --> 00:00:06.840]  我打一槍不是這樣的
[00:00:06.840 --> 00:00:08.840]  Kenny姐姐幫我打的
[00:00:08.840 --> 00:00:13.160]  在世界上有很多的消息
[00:00:13.160 --> 00:00:15.160]  有些是真消息,有些是假消息
[00:00:15.160 --> 00:00:17.160]  有些是好消息,有些是壞消息
[00:00:17.160 --> 00:00:19.560]  但在人的心理裏面
[00:00:19.560 --> 00:00:21.560]  他最喜歡聽好消息
[00:00:21.560 --> 00:00:23.560]  早前有些廣告
[00:00:23.560 --> 00:00:25.560]  很常聽到一把熟悉的聲音
[00:00:25.560 --> 00:00:26.880]  這星期五、六、日
[00:00:26.880 --> 00:00:28.400]  甚麼公司大減價
[00:00:28.400 --> 00:00:30.400]  貨品低折一折兩折
[00:00:30.400 --> 00:00:32.400]  有買的新手了
[00:00:32.400 --> 00:00:34.400]  這些都是人期待著的好消息
[00:00:34.400 --> 00:00:36.400]  特別是我們看到
[00:00:36.400 --> 00:00:38.400]  在大減價的時候才買便宜的東西
[00:00:38.400 --> 00:00:41.880]  可能平日的價錢千千升的
[00:00:41.880 --> 00:00:44.720]  一到特價的時候幾百元都可以買到
[00:00:44.720 --> 00:00:47.720]  一窩蜂所有錢就飛撲過去選擇
[00:00:47.720 --> 00:00:49.720]  選遲些甚麼都沒有了
[00:00:49.720 --> 00:00:51.720]  今日我們都有個好消息
[00:00:51.720 --> 00:00:53.720]  就是下午兩點半在隔離
[00:00:53.720 --> 00:00:56.680]  我們鳳琴街花園都有個timeout遊戲
[00:00:56.680 --> 00:00:59.800]  全部都是免費接待各位來賓
[00:00:59.800 --> 00:01:02.680]  有過千份禮物希望能夠送出去
[00:01:02.680 --> 00:01:04.680]  這是好消息
[00:01:04.680 --> 00:01:07.360]  但有時好消息又夾雜著壞消息
[00:01:07.360 --> 00:01:09.360]  好像在上星期六
[00:01:09.360 --> 00:01:11.360]  聽到阿牛的報告
[00:01:11.360 --> 00:01:13.360]  我裏面探明他之後
[00:01:13.360 --> 00:01:15.360]  情緒開始跌倒
[00:01:15.360 --> 00:01:17.360]  到晚上去鎮華花園的時候
[00:01:17.360 --> 00:01:20.080]  我都說我有點抑鬱了
[00:01:20.080 --> 00:01:22.080]  情緒開始跌到抑鬱狀態
[00:01:22.080 --> 00:01:24.080]  不是很接受得到
[00:01:27.680 --> 00:01:29.680]  小明有一次腳很痛
[00:01:29.680 --> 00:01:31.680]  就去檢查
[00:01:31.680 --> 00:01:33.680]  檢查的時候醫生就說
[00:01:33.680 --> 00:01:35.680]  阿聲
[00:01:35.680 --> 00:01:37.680]  你的腳懷疑是骨癌
[00:01:37.680 --> 00:01:39.680]  要切除
[00:01:39.680 --> 00:01:41.680]  要切除?
[00:01:41.680 --> 00:01:43.680]  醫生可不可以不切除?
[00:01:43.680 --> 00:01:45.680]  是不可以的
[00:01:45.680 --> 00:01:47.680]  你一定要切除右腳
[00:01:47.680 --> 00:01:49.680]  小明死了也好
[00:01:49.680 --> 00:01:51.680]  醫生都建議他要切除
[00:01:51.680 --> 00:01:53.680]  於是他做了一個切除手術
[00:01:53.680 --> 00:01:55.680]  切除完之後
[00:01:55.680 --> 00:01:57.680]  有時間就去探他
[00:01:57.680 --> 00:01:59.680]  阿聲
[00:01:59.680 --> 00:02:01.680]  我有兩個消息要告訴你
[00:02:01.680 --> 00:02:03.680]  一個是好消息一個是壞消息
[00:02:03.680 --> 00:02:05.680]  不知道你想先聽哪一個?
[00:02:05.680 --> 00:02:07.680]  小明就說
[00:02:07.680 --> 00:02:09.680]  我想先聽壞消息
[00:02:09.680 --> 00:02:11.680]  醫生就說
[00:02:11.680 --> 00:02:13.680]  不好意思我們切錯了你的腳
[00:02:13.680 --> 00:02:15.680]  你應該切右腳
[00:02:15.680 --> 00:02:17.680]  切了你的左腳
[00:02:17.680 --> 00:02:19.680]  小明的臉都青了
[00:02:19.680 --> 00:02:21.680]  那好消息呢?
[00:02:21.680 --> 00:02:23.680]  阿聲原來你沒有腳癌
[00:02:25.680 --> 00:02:27.680]  在前幾天
[00:02:27.680 --> 00:02:29.680]  12月21號
[00:02:29.680 --> 00:02:31.680]  全世界都知道放在萬雅寓言
[00:02:31.680 --> 00:02:35.680]  12月21號
[00:02:35.680 --> 00:02:37.680]  下午已經過不了的時候
[00:02:37.680 --> 00:02:39.680]  全世界就末日
[00:02:39.680 --> 00:02:41.680]  在星期四的時候敬拜小組
[00:02:41.680 --> 00:02:43.680]  他們談開這個話題的時候
[00:02:43.680 --> 00:02:45.680]  我跟他說
[00:02:45.680 --> 00:02:47.680]  沒事的 所謂世界末日
[00:02:47.680 --> 00:02:49.680]  要走都叫基督徒先走
[00:02:49.680 --> 00:02:51.680]  走完都未到末日
[00:02:51.680 --> 00:02:53.680]  所以放心 一定不會末日
[00:02:53.680 --> 00:02:55.680]  應該是基督徒被上帝先提了上去
[00:02:55.680 --> 00:02:57.680]  應該是大量人口失蹤
[00:02:57.680 --> 00:02:59.680]  這個就是對一些未信耶穌來說
[00:02:59.680 --> 00:03:01.680]  就是末日了
[00:03:01.680 --> 00:03:03.680]  結果什麼事都沒有
[00:03:03.680 --> 00:03:05.680]  但是在這個末日裡面
[00:03:05.680 --> 00:03:07.680]  有很多人就叫做發末日財
[00:03:07.680 --> 00:03:09.680]  有很多末日套餐
[00:03:09.680 --> 00:03:11.680]  有些末日節目
[00:03:11.680 --> 00:03:13.680]  專門招一些人一千元美金
[00:03:13.680 --> 00:03:15.680]  如果有什麼事情發生
[00:03:15.680 --> 00:03:17.680]  他有一個特別的地道可以保護你們
[00:03:17.680 --> 00:03:19.680]  怎麼保護?
[00:03:19.680 --> 00:03:21.680]  所謂世界末日怎麼保護?
[00:03:21.680 --> 00:03:23.680]  這個就是發末日財
[00:03:23.680 --> 00:03:25.680]  有些叫做末日套餐
[00:03:25.680 --> 00:03:27.680]  弄一些末日的情調
[00:03:27.680 --> 00:03:29.680]  來的時候不收錢
[00:03:29.680 --> 00:03:31.680]  來的時候不收錢
[00:03:31.680 --> 00:03:33.680]  這些都是賣點
[00:03:33.680 --> 00:03:35.680]  這些都是賣點
[00:03:35.680 --> 00:03:37.680]  有專家調查過
[00:03:37.680 --> 00:03:41.680]  香港超過六成九的人
