
[00:00:00.000 --> 00:00:04.440]  (何俊仁) 最近你記憶著甚麼呢?
[00:00:04.440 --> 00:00:10.480]  (何俊仁) 另一個說法是記憶,你會否很歡迎呢?
[00:00:10.480 --> 00:00:14.200]  (何俊仁) 其實我們每一天都會記住一些東西
[00:00:14.200 --> 00:00:16.960]  (何俊仁) 經歷了一些東西之後就會放在腦裏
[00:00:16.960 --> 00:00:22.120]  (何俊仁) 有時無論你想不想記,它都會在你的腦海裏有片段
[00:00:22.120 --> 00:00:25.480]  (何俊仁) 不過你記不記,或者你想不想記住它呢?
[00:00:25.480 --> 00:00:28.640]  (何俊仁) 是另一回事,你想不想記住它?
[00:00:28.640 --> 00:00:35.480]  (何俊仁) 近日我相信常常你都會再看到或者聽到一句口號
[00:00:35.480 --> 00:00:46.720]  (何俊仁) 是「不想回憶,未敢忘記」
[00:00:46.720 --> 00:00:51.200]  (何俊仁) 其實這個是六四的一個口號
[00:00:51.200 --> 00:00:55.400]  (何俊仁) 我見到個別有人好像都不太知道這句說話
[00:00:55.400 --> 00:01:01.760]  (何俊仁) 可能當時你都未出世,1989年六四的事情
[00:01:01.760 --> 00:01:04.960]  (何俊仁) 記憶是否歡迎呢?
[00:01:04.960 --> 00:01:10.960]  (何俊仁) 可能真的在乎那些要記憶或者想不想記憶的東西
[00:01:10.960 --> 00:01:18.800]  (何俊仁) 如果你是想有一些很傷痛的、難過的事情
[00:01:18.800 --> 00:01:25.280]  (何俊仁) 然後我很想忘記它,或者直接在我的記憶庫刪去
[00:01:25.280 --> 00:01:28.800]  (何俊仁) 這個可能都是人之常情
[00:01:28.800 --> 00:01:32.520]  (何俊仁) 又或者是如果你有一些很美好、很快樂的經歷
[00:01:32.520 --> 00:01:36.040]  (何俊仁) 你想永遠都留住
[00:01:36.040 --> 00:01:40.280]  (何俊仁) 這個亦都是人之常情
[00:01:40.280 --> 00:01:44.480]  (何俊仁) 我很想記住的,或者我常常都記得到
[00:01:44.480 --> 00:01:48.520]  (何俊仁) 是我小時候,還記得我都講過我小時候在哪裡出世
[00:01:48.520 --> 00:01:50.080]  (何俊仁) 在坪洲
[00:01:50.080 --> 00:01:54.360]  (何俊仁) 我一想起年少的時候
[00:01:54.360 --> 00:01:58.320]  (何俊仁) 我就記住我可以看日出、日落
[00:01:58.320 --> 00:02:02.160]  (何俊仁) 因為我在中學的時候要去中環讀中學
[00:02:02.160 --> 00:02:08.800]  (何俊仁) 所以我一大早就坐船由坪洲向東去中環看日出
[00:02:08.800 --> 00:02:13.760]  (何俊仁) 然後到傍晚回家就向西坐船
[00:02:13.760 --> 00:02:17.760]  (何俊仁) 又看著日落,多浪漫
[00:02:17.760 --> 00:02:21.840]  (何俊仁) 還記住我牽著鄰居的小狗
[00:02:21.840 --> 00:02:26.200]  (何俊仁) 就可以吃完晚飯去沙灘散步
[00:02:26.200 --> 00:02:27.520]  (何俊仁) 羨不羨慕?
[00:02:27.520 --> 00:02:32.480]  (何俊仁) 我都很羨慕那時候那麼美好的印象和記憶
[00:02:32.480 --> 00:02:35.960]  (何俊仁) 當然有些事我都不想記住
[00:02:35.960 --> 00:02:39.360]  (何俊仁) 雖然有時不想記都還記住
[00:02:39.360 --> 00:02:42.640]  (何俊仁) 但如果你不是傾開我是記不住的
[00:02:42.640 --> 00:02:45.720]  (何俊仁) 就是中學的時候,我去到中學
[00:02:45.720 --> 00:02:49.000]  (何俊仁) 現在很多中學生都自己去買東西
[00:02:49.000 --> 00:02:52.040]  (何俊仁) 但我真的時頭時老,我中學
