
[00:00:00.000 --> 00:00:03.680]  在我們正道之先我們才有一個圖告
[00:00:03.680 --> 00:00:05.940]  親愛的子孫 我們感謝讚美你
[00:00:05.940 --> 00:00:07.800]  多謝你讓我們今天的早上
[00:00:07.800 --> 00:00:10.280]  我們一同能夠聚集在這裡
[00:00:10.280 --> 00:00:11.920]  去聽你的話語
[00:00:11.920 --> 00:00:14.440]  讓我們知道這個不是一個必然
[00:00:14.440 --> 00:00:16.640]  而是上帝你給我們的福分
[00:00:16.640 --> 00:00:19.040]  所以願主聖靈你在我們當中
[00:00:19.040 --> 00:00:20.840]  你親自開啟我們的耳朵
[00:00:20.840 --> 00:00:22.120]  打開我們的心
[00:00:22.120 --> 00:00:23.960]  讓我們領受你的話語
[00:00:23.960 --> 00:00:26.160]  好叫我們無論聽的 講的
[00:00:26.160 --> 00:00:29.480]  讓我們一同被上帝你的話語去塗造
[00:00:29.480 --> 00:00:31.160]  祝我們多謝讚美你
[00:00:31.160 --> 00:00:32.200]  我們這樣禱告
[00:00:32.200 --> 00:00:35.040]  是奉靠主耶穌基督得聖名自祈求
[00:00:35.040 --> 00:00:36.040]  阿們
[00:00:36.040 --> 00:00:38.920]  好了 我想問一下今天早上
[00:00:38.920 --> 00:00:41.840]  你們有沒有人吃早餐吃過通粉的?
[00:00:41.840 --> 00:00:45.080]  有啊 通粉啊
[00:00:45.080 --> 00:00:47.840]  你知不知道你們的通粉從哪裡來的?
[00:00:47.840 --> 00:00:50.360]  麵粉做的 是啊
[00:00:50.360 --> 00:00:54.920]  是本地製作還是外國製作的?
[00:00:54.920 --> 00:00:58.600]  可能中國進口的是不是?
[00:00:58.600 --> 00:00:59.640]  為什麼我會這樣問呢?
[00:00:59.640 --> 00:01:01.520]  原來不知道大家知不知道
[00:01:01.520 --> 00:01:04.520]  香港是有通粉廠的
[00:01:04.520 --> 00:01:05.120]  是啊
[00:01:05.120 --> 00:01:09.640]  並且只剩下一家通粉廠
[00:01:09.640 --> 00:01:13.720]  叫做加嘟食品
[00:01:13.720 --> 00:01:16.960]  因為前陣子我在網上看了一些資料
[00:01:16.960 --> 00:01:20.720]  原來我們香港仍然有最後一家通粉廠
[00:01:20.720 --> 00:01:23.920]  第二代的老闆叫Calvin
[00:01:23.920 --> 00:01:26.600]  他因為爸爸身體的緣故
[00:01:26.600 --> 00:01:29.560]  所以從生活了20年的加拿大
[00:01:29.560 --> 00:01:33.400]  回到香港繼承爸爸這家通粉廠
[00:01:33.400 --> 00:01:35.440]  其實如果他不繼承的話
[00:01:35.440 --> 00:01:39.080]  香港就不會再有通粉廠了
[00:01:39.080 --> 00:01:43.560]  原來一粒通粉製成是要6個小時去製作的
[00:01:43.560 --> 00:01:45.080]  而他們這家通粉廠
[00:01:45.080 --> 00:01:48.760]  就選用了一些很優質的小麥粉製造
[00:01:48.760 --> 00:01:50.360]  所以很有嚼勁
[00:01:50.360 --> 00:01:53.640]  並且絕對不會煮得太軟
[00:01:53.640 --> 00:01:58.960]  因為他們一直堅持製造一些很優質的通粉
[00:01:58.960 --> 00:02:01.480]  不過不要以為這些優質的通粉
[00:02:01.480 --> 00:02:04.320]  可以令Calvin賺大錢
[00:02:04.320 --> 00:02:08.840]  因為香港的原材料和工資都比較高
[00:02:08.840 --> 00:02:11.920]  但是他們為了保持這個優質的通粉
[00:02:11.920 --> 00:02:14.480]  Calvin其實都沒有發工資
[00:02:14.480 --> 00:02:19.040]  所以他由原先在過往穩定高收入的工作
[00:02:19.040 --> 00:02:22.640]  轉到現在僅僅夠三餐溫飽
[00:02:22.640 --> 00:02:24.120]  記者就問他
[00:02:24.120 --> 00:02:26.480]  「那你有沒有後悔呢?」
[00:02:26.480 --> 00:02:29.680]  他就說「都有一點點的」
[00:02:29.680 --> 00:02:32.040]  不過當記者再問他的時候
[00:02:32.040 --> 00:02:35.320]  「如果讓你再選擇一次,那你會怎樣呢?」
[00:02:35.320 --> 00:02:38.360]  他說「都會回來的」
[00:02:38.360 --> 00:02:41.120]  因為他是廚師出身的
[00:02:41.120 --> 00:02:45.520]  所以他很想讓人知道一個優質的通粉
[00:02:45.520 --> 00:02:47.680]  原來是有小麥味的
[00:02:47.680 --> 00:02:49.840]  是不會硬梆梆的
[00:02:49.840 --> 00:02:55.440]  所以Calvin為的除了是承傳父親的心血之外
