
[00:00:00.000 --> 00:00:03.000]  我們先做一個低頭禱告
[00:00:03.000 --> 00:00:05.000]  天父求你帶領我們
[00:00:05.000 --> 00:00:09.000]  願意你的說話再一次開啟我們的耳朵
[00:00:09.000 --> 00:00:11.000]  主讓我們去聆聽你的心意
[00:00:11.000 --> 00:00:17.000]  也讓我們有一個願意體貼信服的心來跟從
[00:00:17.000 --> 00:00:21.000]  願你自己的說話再一次得著我們的心的時候
[00:00:21.000 --> 00:00:25.000]  讓我們知道我們唯有專一的跟從你
[00:00:25.000 --> 00:00:27.000]  是我們當走的路
[00:00:27.000 --> 00:00:30.000]  我們願你的說話再一次的甦醒我們
[00:00:30.000 --> 00:00:31.000]  奉你為宿基督的名祈求
[00:00:31.000 --> 00:00:32.000]  阿們
[00:00:57.000 --> 00:01:03.000]  他們很效率地已經開了工程
[00:01:03.000 --> 00:01:09.000]  而且這個工程轉眼間就已經起到成長
[00:01:09.000 --> 00:01:11.000]  已經很快地起到一半
[00:01:11.000 --> 00:01:14.000]  然後也全速地進行
[00:01:14.000 --> 00:01:23.000]  基本上尼希米已經做了一個非常之有效的幫助
[00:01:23.000 --> 00:01:31.000]  他們達成了好幾十年都好像荒廢的工程
[00:01:31.000 --> 00:01:35.000]  已經是進入了一個非常之有效的
[00:01:35.000 --> 00:01:40.000]  差不多進入完工的地步
[00:01:40.000 --> 00:01:41.000]  當你看到這樣的時候
[00:01:41.000 --> 00:01:47.000]  基本上你都會發覺是應該非常之滿意
[00:01:47.000 --> 00:01:49.000]  大家在這樣的情況之下
[00:01:49.000 --> 00:01:52.000]  你都會感覺到感覺良好
[00:01:52.000 --> 00:01:55.000]  因為既然是這樣的時候
[00:01:55.000 --> 00:01:59.000]  基本上前面應該都是有好日子過
[00:01:59.000 --> 00:02:01.000]  成長都差不多起好了
[00:02:01.000 --> 00:02:07.000]  尼希米基應該都進入一個非常之差不多圓滿結束的階段
[00:02:07.000 --> 00:02:09.000]  但是你就會發覺其實就不是
[00:02:09.000 --> 00:02:12.000]  今天我們讀第五章的時候
[00:02:12.000 --> 00:02:15.000]  往後還有很多其他的發展
[00:02:15.000 --> 00:02:19.000]  你就會問那些發展究竟是什麼呢?
[00:02:19.000 --> 00:02:24.000]  首先我們就一路讀的時候
[00:02:24.000 --> 00:02:27.000]  我們就看看他們究竟是有些什麼事情
[00:02:49.000 --> 00:02:54.000]  我們的身體與我們弟兄的身體一樣
[00:02:54.000 --> 00:02:58.000]  我們的兒女與他們的兒女一般
[00:02:58.000 --> 00:03:02.000]  現在我們要將使兒女做人的瀑被
[00:03:02.000 --> 00:03:05.000]  我們的女兒已有孤僻的
[00:03:05.000 --> 00:03:08.000]  我們並無力拯救
[00:03:08.000 --> 00:03:12.000]  因為我們的田地葡萄園已經歸了別人
[00:03:12.000 --> 00:03:16.000]  這裡就不是說起成長的問題
[00:03:16.000 --> 00:03:20.000]  可能成長已經差不多進入員工的階段
[00:03:20.000 --> 00:03:22.000]  已經七七八八了
[00:03:22.000 --> 00:03:25.000]  而這裡就說到有另外一個問題
[00:03:25.000 --> 00:03:31.000]  這個問題就是應該是有些人
[00:03:31.000 --> 00:03:33.000]  是非常之貧窮
[00:03:33.000 --> 00:03:39.000]  就將他們的兒女賣了做奴隸
[00:03:39.000 --> 00:03:42.000]  而賣給什麼人呢?
[00:03:42.000 --> 00:03:48.000]  是賣給他們當中的貴就、有錢人
[00:03:48.000 --> 00:03:52.000]  這個完全可以說是內部問題
[00:03:52.000 --> 00:03:54.000]  與外族無關
[00:03:54.000 --> 00:03:58.000]  外族有他們面對的問題後面會再說
[00:03:58.000 --> 00:04:02.000]  但是今天第五章所說的問題
[00:04:02.000 --> 00:04:05.000]  基本上全部都是內部的問題
[00:04:05.000 --> 00:04:10.000]  很有趣地你就會發覺
[00:04:10.000 --> 00:04:15.000]  當然起成長是主軸
[00:04:15.000 --> 00:04:19.000]  是發展的重心的內容
[00:04:19.000 --> 00:04:21.000]  當你想到起成長的時候
[00:04:21.000 --> 00:04:26.000]  就想到可能外在環境有很多的敵人
[00:04:26.000 --> 00:04:31.000]  有很多對他們不利的事情發生的時候
[00:04:31.000 --> 00:04:33.000]  他們要保護自己
[00:04:33.000 --> 00:04:38.000]  他們要將神的家集結起來
[00:04:38.000 --> 00:04:43.000]  也希望可以在當中團結一致的時候
[00:04:43.000 --> 00:04:46.000]  來重新整頓
[00:04:46.000 --> 00:04:49.000]  但是在這樣的情況下
[00:04:49.000 --> 00:04:52.000]  當成長起到七七八八的時候
[00:04:52.000 --> 00:04:54.000]  問題就不是停在那裡
[00:04:54.000 --> 00:04:57.000]  工程也不只是停在那裡
[00:04:57.000 --> 00:04:59.000]  接著他們就發覺
[00:04:59.000 --> 00:05:01.000]  他們就有人投訴
[00:05:01.000 --> 00:05:05.000]  就說要將沒錢、沒東西吃
[00:05:05.000 --> 00:05:07.000]  然後有些窮人因為沒東西吃的時候
