
[00:00:00.000 --> 00:00:05.060]  聖誕節是普天同慶、普世歡騰的季節
[00:00:05.060 --> 00:00:08.560]  也是我們當中許多人非常喜愛的季節
[00:00:08.560 --> 00:00:10.700]  到處都沾燈結綵
[00:00:10.700 --> 00:00:14.260]  到處都有聽到聖誕節美妙的詩歌
[00:00:14.260 --> 00:00:18.700]  可以說聖誕節帶給我們許多歡喜快樂、平安和盼望
[00:00:18.700 --> 00:00:20.560]  因爲聖誕節提醒我們說
[00:00:20.560 --> 00:00:25.800]  偉大的神乃是使用平凡的人來行神蹟騎士
[00:00:25.800 --> 00:00:30.140]  偉大的神可以使用平凡的人來做不平凡的事情
[00:00:30.140 --> 00:00:33.760]  正如保羅在《各年多前書》第一章二十七節告訴我們的
[00:00:33.760 --> 00:00:38.660]  神檢選那軟弱的叫那強壯的羞愧
[00:00:38.660 --> 00:00:46.060]  神檢選地上軟弱的叫那強壯的羞愧
[00:00:46.060 --> 00:00:48.600]  有一個賣聖經的機構
[00:00:48.600 --> 00:00:50.360]  他們在月底做結算的時候
[00:00:50.360 --> 00:00:53.060]  發現有一個人聖經賣得特別好
[00:00:53.060 --> 00:00:54.560]  這個人叫做小張
[00:00:54.560 --> 00:00:57.160]  但是小張卻有口籍的毛病
[00:00:57.160 --> 00:00:58.960]  就是說話有困難
[00:00:58.960 --> 00:01:01.460]  所以這個經理就把他叫上臺
[00:01:01.460 --> 00:01:04.860]  請他分享爲什麼他聖經會賣得這麼好呢
[00:01:04.860 --> 00:01:08.860]  小張就說其實他賣聖經的時候他只說一句話
[00:01:08.860 --> 00:01:12.360]  然後這個經理先生非常好奇地問他說
[00:01:12.360 --> 00:01:14.560]  到底你說了什麼話呢
[00:01:14.560 --> 00:01:18.360]  然後小張說他到人家敲門的時候
[00:01:18.360 --> 00:01:22.260]  門一打開以後他會對打開門的那個人說
[00:01:22.260 --> 00:01:27.660]  你 你 你 你 要 要 要 自己 自己 自己買一本
[00:01:27.660 --> 00:01:37.760]  還是 是 是 我 我念念念一段給你聽
[00:01:37.760 --> 00:01:44.160]  高頭旁邊有人說神也會使用你的
[00:01:44.160 --> 00:01:45.460]  是的 聖誕節提醒我們
[00:01:45.460 --> 00:01:48.860]  偉大的神可以使用平凡的人
[00:01:48.860 --> 00:01:52.960]  做那非常奇妙不平凡的事情
[00:01:52.960 --> 00:01:56.460]  聖誕節就是這樣一個故事
[00:01:56.460 --> 00:01:59.460]  今天我們要來看第一個聖誕節的記載
[00:01:59.460 --> 00:02:02.160]  那是在馬太福音第一章的第十八節
[00:02:02.160 --> 00:02:03.360]  我們先讀到二十一節
[00:02:03.360 --> 00:02:04.960]  然後是四節二十五節
[00:02:04.960 --> 00:02:07.360]  馬太福音第一章十八節到二十一節
[00:02:07.360 --> 00:02:10.660]  這裏說耶穌基督降生的事記載下面
[00:02:10.660 --> 00:02:13.460]  他母親瑪利亞已經許配了月色
[00:02:13.460 --> 00:02:14.760]  還沒有迎娶
[00:02:14.760 --> 00:02:16.760]  瑪利亞就從聖靈懷了孕
[00:02:16.760 --> 00:02:18.860]  他丈夫月色是個藝人
[00:02:18.860 --> 00:02:21.260]  不願意明明的羞辱他
[00:02:21.260 --> 00:02:24.060]  想要暗暗的把他羞了
[00:02:24.060 --> 00:02:26.160]  二十節說正思念這事的時候
[00:02:26.160 --> 00:02:29.060]  有主的使者向他夢中顯現說
[00:02:29.060 --> 00:02:31.660]  大爲的子孫月色不要怕
[00:02:31.660 --> 00:02:34.060]  只管娶過你的妻子瑪利亞來
[00:02:34.060 --> 00:02:38.460]  因他所懷的孕是從聖靈來的
[00:02:38.460 --> 00:02:40.360]  二十一節他降生那個兒子
[00:02:40.360 --> 00:02:42.660]  你要給他起名叫耶穌
[00:02:42.660 --> 00:02:46.960]  因他要將自己的百姓從罪惡裏救出來
[00:02:46.960 --> 00:02:48.560]  然後二十四節二十五節說
[00:02:48.560 --> 00:02:50.760]  月色醒了起來
[00:02:50.760 --> 00:02:54.360]  就遵做主使者的吩咐把妻子娶過來
[00:02:54.360 --> 00:02:55.860]  只是沒有和他同房
[00:02:55.860 --> 00:03:01.560]  等他生了兒子就給他起名叫耶穌
[00:03:01.560 --> 00:03:03.660]  按照現在的說法
[00:03:03.660 --> 00:03:06.260]  聖誕節的第一個故事來是告訴我們
[00:03:06.260 --> 00:03:08.660]  月色和瑪利亞已經訂婚
[00:03:08.660 --> 00:03:10.260]  但是還沒有澄清
[00:03:10.260 --> 00:03:15.960]  沒想到月色就發現到說還沒有澄清的未婚妻竟然懷孕了
[00:03:15.960 --> 00:03:18.060]  在按照當時摩西的律法
[00:03:18.060 --> 00:03:20.760]  未婚懷孕的話可以用屍頭打死的
[00:03:20.760 --> 00:03:23.660]  但是聖誕告訴我們說月色是個好人
[00:03:23.660 --> 00:03:26.960]  所以他不想羞辱瑪利亞
[00:03:26.960 --> 00:03:30.360]  他想把她安安的退掉這樣的一個婚事
[00:03:30.360 --> 00:03:32.360]  在想念這個事情的時候
[00:03:32.360 --> 00:03:33.360]  考慮這個事情的時候
[00:03:33.360 --> 00:03:34.460]  在夢中的時候
[00:03:34.460 --> 00:03:37.160]  主的使者向他顯現說
[00:03:37.160 --> 00:03:40.060]  大爲的子孫月色你不要害怕
[00:03:40.060 --> 00:03:42.560]  只管把瑪利亞娶過來
[00:03:42.560 --> 00:03:45.360]  因爲她所懷的孕不是從人來的
[00:03:45.360 --> 00:03:49.060]  而是從聖靈感動她所懷的胎
[00:03:49.060 --> 00:03:54.960]  所以月色就按照天使所給她的指示把瑪利亞迎娶過來
[00:03:54.960 --> 00:03:56.160]  但是沒有跟她同房
[00:03:56.160 --> 00:03:59.160]  沒有真正的所謂的澄清
[00:03:59.160 --> 00:04:04.560]  等到她生了一個兒子以後就給他起名叫耶穌
[00:04:04.560 --> 00:04:08.460]  耶穌乃是天使告訴他要叫這個兒子的名字
[00:04:08.460 --> 00:04:10.460]  耶穌的意思就是說
[00:04:10.460 --> 00:04:15.460]  叫他把自己的百姓從罪惡中拯救出來
[00:04:15.460 --> 00:04:18.260]  所以今天早上我們從聖誕節的第一個故事
[00:04:18.260 --> 00:04:19.060]  我們來思想
[00:04:19.060 --> 00:04:20.660]  從上半面來思想
[00:04:20.660 --> 00:04:23.260]  我們要更多的來認識耶穌基督
[00:04:23.260 --> 00:04:25.760]  認識聖誕節中的耶穌
[00:04:25.760 --> 00:04:27.860]  好讓我們能夠高舉聖誕節的耶穌
[00:04:27.860 --> 00:04:28.560]  阿們
[00:04:28.560 --> 00:04:29.560]  首先第一我們看到說
[00:04:29.560 --> 00:04:31.660]  耶穌乃是道成肉身
[00:04:31.660 --> 00:04:32.860]  然後降世爲人
[00:04:32.860 --> 00:04:34.060]  一起講一遍來
[00:04:34.060 --> 00:04:38.660]  耶穌道成肉身降世爲人
[00:04:38.660 --> 00:04:42.060]  聖誕節乃是提到這個馬巢裏的嬰孩
[00:04:42.060 --> 00:04:45.660]  乃是這位道成了肉身
[00:04:45.660 --> 00:04:46.860]  怎麼叫做道呢
[00:04:46.860 --> 00:04:48.260]  道乃是在約翰福音裏面
[00:04:48.260 --> 00:04:50.860]  第一章第幾節所說的太租有道
[00:04:50.860 --> 00:04:52.560]  道與上帝同在
[00:04:52.560 --> 00:04:53.960]  道就是上帝
[00:04:53.960 --> 00:04:55.160]  道就是神
[00:04:55.160 --> 00:04:57.160]  然後在第一章的第十四節說什麼呢
[00:04:57.160 --> 00:04:58.160]  我們一起來看
[00:04:58.160 --> 00:04:59.960]  這裏說道成了肉身
[00:04:59.960 --> 00:05:02.760]  意思是說神他成了肉身
[00:05:02.760 --> 00:05:05.460]  創上了人的肉身的身體
[00:05:05.460 --> 00:05:07.460]  住在我們中間
[00:05:07.460 --> 00:05:10.360]  充充滿滿的有恩典有真理
[00:05:10.360 --> 00:05:12.560]  我們也見過他的榮光
[00:05:12.560 --> 00:05:15.160]  正是父獨生子的榮光
[00:05:15.160 --> 00:05:16.860]  這乃是使徒約翰
[00:05:16.860 --> 00:05:19.560]  他親眼見過家那個神的兒子
[00:05:19.560 --> 00:05:20.360]  耶穌基督
[00:05:20.360 --> 00:05:22.360]  所以說我們見過他的榮光
[00:05:22.360 --> 00:05:24.260]  就是父懷中的獨生子
[00:05:24.260 --> 00:05:26.560]  耶穌基督的榮光
[00:05:26.560 --> 00:05:29.460]  這乃是說道成了肉身
[00:05:29.460 --> 00:05:31.060]  這太租就有的
[00:05:31.060 --> 00:05:32.960]  從來不被創造
[00:05:32.960 --> 00:05:34.560]  自有擁有這位神
[00:05:34.560 --> 00:05:35.760]  就是這個道
[00:05:35.760 --> 00:05:38.460]  他穿上了人的肉身的衣服
[00:05:38.460 --> 00:05:40.360]  然後降在我們中間
[00:05:40.360 --> 00:05:42.460]  你可知道在舊約的時代
[00:05:42.460 --> 00:05:44.360]  以色列人不能夠
[00:05:44.360 --> 00:05:45.860]  與神直接親近的
[00:05:45.860 --> 00:05:46.660]  他們透過什麼
