
[00:00:00.000 --> 00:00:01.860]  各位親愛的朋友 節目你們好
[00:00:01.860 --> 00:00:02.860]  我很感謝你們
[00:00:02.860 --> 00:00:06.000]  讓我有機會和大家一起分享神的話語
[00:00:06.000 --> 00:00:08.000]  這是我非常大的祝福
[00:00:08.000 --> 00:00:09.800]  也很大的享受
[00:00:09.800 --> 00:00:11.620]  我多謝天父 也多謝你們
[00:00:11.620 --> 00:00:13.340]  今天和大家分享的題目
[00:00:13.340 --> 00:00:16.780]  留意 不是陽奉陰違
[00:00:16.780 --> 00:00:19.140]  是陽違陰奉
[00:00:19.140 --> 00:00:21.640]  什麼叫陽奉陰違呢?
[00:00:21.640 --> 00:00:23.000]  我想大家都會明白的
[00:00:23.000 --> 00:00:25.840]  就是有人答應了你一些事情
[00:00:25.840 --> 00:00:28.420]  沒問題 沒問題 我一定樂意幫你做的
[00:00:28.420 --> 00:00:31.740]  但是接下來是完全沒有做到的
[00:00:31.740 --> 00:00:35.020]  說就很爽 但是完全沒有行動的
[00:00:35.020 --> 00:00:37.520]  這個就叫做陽奉陰違
[00:00:37.520 --> 00:00:41.360]  有時候我們被別人這樣對我們
[00:00:41.360 --> 00:00:42.560]  但是不得不承認
[00:00:42.560 --> 00:00:44.840]  有時候我們對人都會是這樣的
[00:00:44.840 --> 00:00:46.360]  甚至我們對我們的神
[00:00:46.360 --> 00:00:47.940]  對我們的家人都會這樣
[00:00:47.940 --> 00:00:49.480]  所以今天和大家思想
[00:00:49.480 --> 00:00:51.560]  朱耶穌說的一個比喻
[00:00:51.560 --> 00:00:55.420]  這個比喻裡面不單單有陽奉陰違
[00:00:55.420 --> 00:00:57.920]  還有就是陽違陰奉
[00:00:57.920 --> 00:01:00.240]  從當中我們檢視
[00:01:00.240 --> 00:01:03.320]  我們和神和家人的關係是怎麼樣
[00:01:03.320 --> 00:01:05.380]  當我們說耶穌的比喻
[00:01:05.380 --> 00:01:06.600]  記住一樣很重要
[00:01:06.600 --> 00:01:09.680]  一定要明白那個背景的
[00:01:09.680 --> 00:01:12.260]  這個背景我們看看下面這一張
[00:01:12.260 --> 00:01:14.180]  說的是什麼呢?
[00:01:14.180 --> 00:01:16.820]  原來耶穌每一次說的比喻
[00:01:16.820 --> 00:01:20.980]  都有祂自己獨特的場景在當中
[00:01:20.980 --> 00:01:21.940]  背景這次是什麼呢?
[00:01:21.940 --> 00:01:24.640]  就是主耶穌騎驢入耶路撒冷
[00:01:24.640 --> 00:01:28.360]  哇 人們是非常歡迎耶穌的
[00:01:28.360 --> 00:01:30.120]  大家記得有一個叫做「忠恕節」
[00:01:30.120 --> 00:01:32.540]  就是他們用忠恕之意來歡迎
[00:01:32.540 --> 00:01:34.880]  羅撒拉要來的王
[00:01:34.880 --> 00:01:37.580]  甚至有人鋪了一件衣服
[00:01:37.580 --> 00:01:40.680]  在地上等待那些女孩子來經過
[00:01:40.680 --> 00:01:44.720]  我們看看馬大奉陰第21章第9到第10節
[00:01:44.720 --> 00:01:47.840]  「前行後 隨的眾人喊著說
[00:01:47.840 --> 00:01:50.880]  『羅撒拉 歸於大衛的子孫
[00:01:50.880 --> 00:01:56.440]  逢主明來的事應當稱重的 高高在上 和撒冷』
[00:01:56.440 --> 00:01:58.440]  耶穌既進了耶路撒冷
[00:01:58.440 --> 00:02:02.720]  合成都驚動了說『謝是誰』」
[00:02:02.720 --> 00:02:05.840]  這個非常轟動
[00:02:05.840 --> 00:02:08.680]  引起了很多人的留意
[00:02:08.680 --> 00:02:12.760]  特別當時的祭司、長老
[00:02:12.760 --> 00:02:14.900]  他們一直都對主耶穌很不滿
[00:02:14.900 --> 00:02:16.800]  因為耶穌又指責他們
[00:02:16.800 --> 00:02:20.240]  說他們是粉色的墳墓 虛假
[00:02:20.240 --> 00:02:21.640]  所以在這一刻
[00:02:21.640 --> 00:02:23.720]  看到這麼多人來歡迎耶穌
[00:02:23.720 --> 00:02:25.920]  更加怒火中燒
[00:02:25.920 --> 00:02:29.160]  昨天主耶穌去到聖殿
[00:02:29.160 --> 00:02:34.200]  看到聖殿竟然在外邦人敬拜的地方
[00:02:34.200 --> 00:02:37.760]  讓這些人販賣牛羊兌換錢銀
