
[00:00:00.000 --> 00:00:09.800]  (主席)很感謝神,而且很感恩,能夠看到弟兄姊妹平安喜樂興奮地回來一起崇拜
[00:00:09.800 --> 00:00:18.800]  特別感恩那些很委身中心崇拜時宮服侍的弟兄姊妹
[00:00:18.800 --> 00:00:24.800]  也求神賜福,也賜福我們在場每一個敬拜、侍奉的人
[00:00:29.800 --> 00:00:38.800]  上個主日我跟大家講了瑪利亞的尊主為大,以神為樂的尊主頌
[00:00:38.800 --> 00:00:45.800]  信息的重點是講瑪利亞在生活上雖然要面對很大的困難
[00:00:45.800 --> 00:00:50.800]  但是他深信神不會忘記他,神會看顧他
[00:00:50.800 --> 00:00:59.800]  因為他知道這是神應許了他的,所以他就能夠尊主為大,以神為樂地生活下去
[00:00:59.800 --> 00:01:10.800]  這件事很重要,他的信心是建立在神的應許上
[00:01:10.800 --> 00:01:16.800]  今日我要跟大家繼續講另外一首詩歌
[00:01:16.800 --> 00:01:22.800]  是施洗約翰的父親薩加里亞的詩歌
[00:01:22.800 --> 00:01:29.800]  啟導本聖經裏面稱這首詩歌為我主頌
[00:01:29.800 --> 00:01:37.800]  但是在另外一些聖經書裏面,我看到有些學者會稱這首詩歌為以色列頌
[00:01:37.800 --> 00:01:42.800]  為何有兩個分別,我沒有細心研究
[00:01:42.800 --> 00:01:46.800]  如果將來聽到兩個名字,你不要覺得奇怪
[00:01:46.800 --> 00:01:55.800]  首先我想講一下薩加里亞他唱出這首詩歌的背景是怎樣的
[00:01:55.800 --> 00:02:03.800]  剛才我們讀那一段的經文是沒有包括這一段的
[00:02:03.800 --> 00:02:07.800]  現在我一邊讀一邊講給大家聽
[00:02:33.800 --> 00:02:59.800]  我讀到這裏暫停
[00:02:59.800 --> 00:03:09.800]  我想大家留意的是他們要打手勢來跟薩加里亞溝通
[00:03:09.800 --> 00:03:11.800]  即是表示甚麼呢
[00:03:11.800 --> 00:03:17.800]  表示如果你看過前文你就會知道他是啞了
[00:03:17.800 --> 00:03:24.800]  但這裏要打手勢表示不單止是啞了,可能他是又聾又啞
[00:03:24.800 --> 00:03:28.800]  為何他會這樣呢
[00:03:28.800 --> 00:03:40.800]  前面的經文說當初天使向他報喜,說他不育的妻子將會懷孕生子
[00:03:40.800 --> 00:03:47.800]  他當時不是很信,結果就是啞了
[00:03:47.800 --> 00:04:01.800]  天使說要等到事情,等到這事成就的日子,意思是等到成就的日子便可以說話
