
[00:00:00.000 --> 00:00:03.520]  各位親愛的朋友,今天你們吃飽了
[00:00:03.520 --> 00:00:05.440]  今天你們很早開工
[00:00:05.440 --> 00:00:07.120]  糟糕了,糟糕了
[00:00:07.120 --> 00:00:10.000]  給我心機聽我就很緊張
[00:00:10.000 --> 00:00:14.560]  閒言閒語有很多名字
[00:00:14.560 --> 00:00:16.640]  閒言閒語即是Gossip
[00:00:16.640 --> 00:00:21.120]  即是無聊的,有空的時候聊天的
[00:00:21.120 --> 00:00:23.840]  叫做Side Tracks, Side Words
[00:00:23.840 --> 00:00:26.720]  不是很正路,也不是很大路
[00:00:26.720 --> 00:00:31.840]  我就說有四個無據,無四個句
[00:00:31.840 --> 00:00:34.160]  第一是無根據的
[00:00:34.160 --> 00:00:36.800]  即是你喜歡說什麼就說什麼
[00:00:36.800 --> 00:00:40.640]  無理據的,同時無原因的無理據
[00:00:40.640 --> 00:00:44.320]  無數據的,大家知道現在喜歡Database的
[00:00:44.320 --> 00:00:46.960]  喜歡很多數據,這個是無數據
[00:00:46.960 --> 00:00:50.240]  然後呢,無證據,Not Evidence Based
[00:00:50.240 --> 00:00:52.160]  即是任你說的
[00:00:52.160 --> 00:00:56.080]  所以少少東西就空穴來風
[00:00:56.080 --> 00:00:59.280]  即是沒有東西都可以空穴來風
[00:00:59.280 --> 00:01:03.680]  當然未必無因,但一定不是很大的因
[00:01:03.680 --> 00:01:07.680]  然後有些人會少少扮代表
[00:01:07.680 --> 00:01:10.480]  然後可以再加鹽加醋加辣椒
[00:01:10.480 --> 00:01:13.840]  說得就說,搬弄是非
[00:01:13.840 --> 00:01:17.200]  其實沒有根據,只是憑空想像
[00:01:17.200 --> 00:01:21.200]  又可以猜,什麼都可以
[00:01:21.200 --> 00:01:24.800]  無事生非,無中生有,聊是鬥非
[00:01:24.800 --> 00:01:30.960]  好了,搞一輪,但可以沒有原因
[00:01:30.960 --> 00:01:34.960]  不過後果殺傷力是非常之大的
[00:01:34.960 --> 00:01:36.800]  那它的性質是什麼呢?
[00:01:36.800 --> 00:01:41.440]  就是八卦新聞
[00:01:41.440 --> 00:01:44.000]  現在說Govirus on the net
[00:01:44.000 --> 00:01:45.600]  即是以訛傳訛
[00:01:45.600 --> 00:01:48.320]  因為沒有證據,但是八卦新聞
[00:01:48.320 --> 00:01:50.640]  說東說西
[00:01:50.640 --> 00:01:53.280]  那你問他,為什麼你傳這些東西出來
[00:01:53.280 --> 00:01:56.080]  我以為
[00:01:56.080 --> 00:02:00.160]  那做什麼呢?什麼叫以為呢?
[00:02:00.160 --> 00:02:03.440]  他還以為不是嗎?
[00:02:03.440 --> 00:02:08.960]  所以誇張失實,加好自己豐富的想像力
[00:02:08.960 --> 00:02:12.240]  聖經就說這些叫作作假見證
[00:02:12.240 --> 00:02:15.920]  假見證之後,一定要陷害人
[00:02:15.920 --> 00:02:17.360]  一定有些人受害
[00:02:17.360 --> 00:02:19.280]  那內容是什麼呢?
[00:02:19.280 --> 00:02:23.440]  我說什麼都可以,你們大概在什麼場合
[00:02:23.440 --> 00:02:26.400]  那個人穿了這樣的衣服
[00:02:26.400 --> 00:02:30.400]  跟誰撞衣服
[00:02:30.400 --> 00:02:32.800]  然後他跟誰逛街
[00:02:32.800 --> 00:02:34.880]  誰送他回家
[00:02:34.880 --> 00:02:37.040]  不走後胡言說什麼
[00:02:37.040 --> 00:02:38.720]  陳年往事怎樣
[00:02:38.720 --> 00:02:41.200]  寫字後就說新來的女同事
[00:02:41.200 --> 00:02:43.600]  她身上有七處地方是假的
[00:02:43.600 --> 00:02:45.520]  我說你怎麼知道的
[00:02:45.520 --> 00:02:47.040]  我猜的,我覺得是
[00:02:47.040 --> 00:02:49.360]  不是嗎?真是救命
[00:02:49.360 --> 00:02:51.520]  蘇州史說過去
[00:02:51.520 --> 00:02:55.280]  有些人有什麼做錯,他覺得你做錯
[00:02:55.280 --> 00:02:56.960]  失誤
[00:02:56.960 --> 00:03:00.800]  有些私隱,內容最重要是講人的私隱
[00:03:00.800 --> 00:03:03.760]  小過
[00:03:03.760 --> 00:03:07.280]  以前他欠下多少人錢
[00:03:07.280 --> 00:03:09.280]  沒有還清
[00:03:09.280 --> 00:03:11.360]  或者說他加多少倍還
[00:03:11.360 --> 00:03:13.760]  又可以,總之什麼都說
[00:03:13.760 --> 00:03:17.360]  令人尷尬的是,那次他走光了
[00:03:17.360 --> 00:03:20.640]  他買樓又虧了
[00:03:20.640 --> 00:03:22.720]  全部都虧了
[00:03:22.720 --> 00:03:24.640]  炒股又不行
[00:03:24.640 --> 00:03:26.560]  關你什麼事,但就是這樣
[00:03:26.560 --> 00:03:29.360]  沒給錢等等
[00:03:29.360 --> 00:03:33.360]  鮮為人知的事,很私人的事
[00:03:33.360 --> 00:03:35.840]  又罵人
[00:03:35.840 --> 00:03:39.120]  對別人的負面評價
[00:03:39.120 --> 00:03:45.280]  令人丟臉,沒什麼面子
[00:03:45.280 --> 00:03:47.840]  為什麼呢?內容就是
[00:03:47.840 --> 00:03:52.240]  可能是炫耀自己翻舊帳
[00:03:52.240 --> 00:03:54.320]  其實就是說人壞話
[00:03:54.320 --> 00:03:56.000]  抹黑人
[00:03:56.000 --> 00:03:58.400]  說壞他,踩他
[00:03:58.400 --> 00:04:01.920]  矮化他,打擊他,詛咒他
[00:04:01.920 --> 00:04:03.680]  背後想怎樣呢?
[00:04:03.680 --> 00:04:05.520]  踩低人,抬高自己
[00:04:05.520 --> 00:04:08.480]  或者博同情
[00:04:08.480 --> 00:04:15.200]  閒言閒語,說來說去
[00:04:15.200 --> 00:04:17.840]  英文有很多名字
[00:04:17.840 --> 00:04:21.440]  Tetra,Rumor
[00:04:21.440 --> 00:04:24.640]  總之你上網,很多東西說給你聽
[00:04:24.640 --> 00:04:29.840]  Dishing,像碟子一樣派出去
[00:04:29.840 --> 00:04:32.640]  目的是什麼呢?
[00:04:32.640 --> 00:04:34.560]  內容都是見人私隱
[00:04:34.560 --> 00:04:36.080]  目的是什麼呢?
[00:04:36.080 --> 00:04:37.760]  閒言閒語的目的
[00:04:37.760 --> 00:04:39.440]  動機
[00:04:39.440 --> 00:04:42.640]  第一是武器
[00:04:42.640 --> 00:04:45.520]  要麼用武器來防衛自己
[00:04:45.520 --> 00:04:46.800]  保護自己
[00:04:46.800 --> 00:04:49.360]  要麼傷害別人
[00:04:49.360 --> 00:04:52.240]  傷害別人,自己就厲害點
[00:04:52.240 --> 00:04:55.920]  可能是這樣
[00:04:55.920 --> 00:04:57.920]  第二就是滿足
[00:04:57.920 --> 00:05:00.080]  越知道別人多些事
