
[00:00:00.000 --> 00:00:02.640]  再一次歡迎各位來到聖地網上
[00:00:02.640 --> 00:00:05.480]  我們最終會去到以色列巴斯蘭地聖地
[00:00:05.480 --> 00:00:07.600]  來探索主耶穌的事跡
[00:00:07.600 --> 00:00:09.480]  但是我們中間會去一個地方
[00:00:09.480 --> 00:00:12.280]  今天我們有兩位團友
[00:00:12.280 --> 00:00:14.080]  分別都說想去這個地方
[00:00:14.080 --> 00:00:16.120]  我不知道你猜不猜得到是什麼地方
[00:00:16.120 --> 00:00:18.480]  他們說疫情之後
[00:00:18.480 --> 00:00:20.080]  很想去旅遊的地方
[00:00:20.080 --> 00:00:21.400]  到底是什麼地方呢
[00:00:21.400 --> 00:00:23.000]  不如我們先飛去那裡
[00:00:30.000 --> 00:00:52.160]  (音樂)
[00:00:52.160 --> 00:00:54.480]  大家猜不猜得到這是什麼地方呢
[00:00:54.480 --> 00:00:57.080]  沒錯就是威尼斯
[00:00:57.080 --> 00:00:59.160]  為什麼這裡有兩位團友
[00:00:59.160 --> 00:01:03.880]  或者是每一位都很喜歡來這裡旅遊呢
[00:01:03.880 --> 00:01:07.520]  好像這兩位UV的朋友所說
[00:01:07.520 --> 00:01:09.840]  他說這裡是一個很美麗的地方
[00:01:09.840 --> 00:01:12.080]  還有一個很浪漫的地方
[00:01:12.080 --> 00:01:15.520]  他們都說因為很喜歡水香
[00:01:15.520 --> 00:01:19.840]  覺得水香有一種很天靜的感覺
[00:01:19.840 --> 00:01:22.680]  是其他的城市裡面感受不到的
[00:01:22.680 --> 00:01:27.440]  這位朋友說曾經去過中國的烏鎮
[00:01:27.440 --> 00:01:32.560]  因為感覺那裡很美好和很寧靜
[00:01:32.560 --> 00:01:35.760]  威尼斯整個都是一個水城
[00:01:35.760 --> 00:01:38.080]  景色非常美
[00:01:38.080 --> 00:01:39.760]  另外也很關注這個地方
[00:01:39.760 --> 00:01:42.480]  因為最近氣候的變化
[00:01:42.480 --> 00:01:46.880]  聽說很快水會淹沒這個地方
[00:01:46.880 --> 00:01:49.880]  所以就很想去那裡看一看
[00:01:49.880 --> 00:01:51.200]  還有一件事想提一提大家的
[00:01:51.200 --> 00:01:53.520]  就是我們聖地網上行
[00:01:53.520 --> 00:01:56.320]  我們有的景色畫面都是很美的
[00:01:56.320 --> 00:01:57.640]  大家知道吧
[00:01:57.640 --> 00:02:01.480]  所以最好來欣賞這個港島的系列
[00:02:01.480 --> 00:02:04.400]  其實就是對著一個大的電視
[00:02:04.400 --> 00:02:06.320]  對著一個小小的電話
[00:02:06.320 --> 00:02:09.320]  就未必能夠很充分的來欣賞
[00:02:09.320 --> 00:02:10.600]  特別威尼斯這個地方
[00:02:10.600 --> 00:02:12.040]  是一個這麼美麗的地方
[00:02:12.040 --> 00:02:13.320]  你沒有一個大的電視看
[00:02:13.320 --> 00:02:15.600]  你欣賞不到這個景色
[00:02:15.600 --> 00:02:17.280]  因為上帝在這個世界裡面
[00:02:17.280 --> 00:02:20.760]  祂給我們的賞賜
