
[00:00:00.000 --> 00:00:02.360]  好 各位親愛的弟兄姊妹 大家主事平安
[00:00:02.360 --> 00:00:09.840]  今天呢 我們來一起來讀路加福音的十三章一到九節
[00:00:09.840 --> 00:00:13.240]  好 我們請大家一起來讀
[00:00:13.240 --> 00:00:26.080]  一二情 正當那時有人將彼拉多使人的血摻雜在他們祭物中的事告訴耶穌
[00:00:26.080 --> 00:00:34.720]  耶穌說 你們以爲這些加利利人比衆加利人更有罪 所以受這害嗎
[00:00:34.720 --> 00:00:41.240]  我告訴你們 不是的 你們若不悔改都要如此滅亡
[00:00:41.240 --> 00:00:46.400]  從前西洛亞樓倒塌了 壓死十八個人
[00:00:46.400 --> 00:00:52.600]  你們以爲那些人比一切住在耶路撒冷的人更有罪嗎
[00:00:52.600 --> 00:00:58.760]  我告訴你們 不是的 你們若不悔改都要如此滅亡
[00:00:58.760 --> 00:01:06.080]  於是用比喻說 一個人有一顆無花果栽在葡萄園裏
[00:01:06.080 --> 00:01:10.600]  他來到樹前找果子 卻找不着
[00:01:10.600 --> 00:01:19.760]  對管員的說 看哪 我這三年來到這無花果樹前找果子 竟找不着
[00:01:19.760 --> 00:01:23.760]  把它砍了吧 何必白佔地土呢
[00:01:23.760 --> 00:01:31.080]  管員的說 主啊 今年且留着 等我周圍掘開土加上糞
[00:01:31.080 --> 00:01:37.960]  以後若結果子便罷 不然再把它砍了
[00:01:37.960 --> 00:01:41.600]  好 那我們低頭禱告
[00:01:41.600 --> 00:01:44.960]  天父我們在面前施力求主你開啓我們的心
[00:01:44.960 --> 00:01:47.720]  拆下你的聖靈在我們中間運行
[00:01:47.720 --> 00:01:51.240]  主啊 求你讓我們明白你的話語 並且遵行
[00:01:51.240 --> 00:01:54.080]  講的聽的都求主憐憫 放在主手中
[00:01:54.080 --> 00:01:57.920]  禱告封耶穌基督的名 Amen
[00:01:57.920 --> 00:02:01.040]  大家都知道古人有很多迷信
[00:02:01.040 --> 00:02:07.960]  其中有個迷信 他們就認爲每次逢到潤八月
[00:02:07.960 --> 00:02:12.600]  就會發生很大的不幸 不好的事情
[00:02:12.600 --> 00:02:16.080]  你查一下近代歷史 事業很湊巧
[00:02:16.080 --> 00:02:17.840]  1900年就是潤八月
[00:02:17.840 --> 00:02:21.040]  大家都知道有乙和團事件 有八國聯軍
[00:02:21.040 --> 00:02:23.560]  1957年又有潤八月
[00:02:23.560 --> 00:02:26.600]  那就是反右運動的開始
[00:02:26.600 --> 00:02:31.000]  那麼恰巧1976年又是潤八月
[00:02:31.000 --> 00:02:33.360]  那一年我11歲
[00:02:33.360 --> 00:02:36.320]  對於那年發生的那些驚天動地的大事
[00:02:36.320 --> 00:02:38.280]  我至今都記憶猶新
[00:02:38.280 --> 00:02:42.480]  在座的可能有一些比較年輕的弟兄姊妹和朋友
[00:02:42.480 --> 00:02:45.480]  可能不知道那年到底中國發生了什麼事
[00:02:45.480 --> 00:02:50.360]  簡單的來說就是第一唐山大地震
[00:02:50.360 --> 00:02:55.000]  第二毛澤東周恩來還有朱德去世
[00:02:55.000 --> 00:03:00.160]  第三就是四人幫倒臺發生了一場大的事件
[00:03:00.160 --> 00:03:01.480]  所以呢
[00:03:01.480 --> 00:03:04.040]  我那年11歲一個少年人呢
[00:03:04.040 --> 00:03:08.200]  對於這些事情的最印象深刻的就是地震
[00:03:08.200 --> 00:03:10.800]  因爲在地震當中有兩個非常深的體會
[00:03:10.800 --> 00:03:13.120]  第一呢小命差點沒有
[00:03:13.120 --> 00:03:15.880]  因爲我父親如果不是早那麼一秒鐘
[00:03:15.880 --> 00:03:18.080]  把我從那牀上撐出來
[00:03:18.080 --> 00:03:20.080]  把我抱出去
[00:03:20.080 --> 00:03:22.480]  那個牆正好就倒到我牀上啊
[00:03:22.480 --> 00:03:23.840]  那就完了
[00:03:23.840 --> 00:03:24.680]  第二個呢
[00:03:24.680 --> 00:03:25.640]  就是啊
[00:03:25.640 --> 00:03:26.960]  我站在院子的時候呢
[00:03:26.960 --> 00:03:31.400]  就看見原來以爲不動的世界都在動
[00:03:31.400 --> 00:03:32.080]  包括呢
[00:03:32.080 --> 00:03:33.080]  我的平房啊
[00:03:33.080 --> 00:03:34.200]  我們住在四合院
[00:03:34.200 --> 00:03:37.200]  那個房頂就像波浪一樣在動
[00:03:37.200 --> 00:03:38.880]  一點都不誇張啊
[00:03:38.880 --> 00:03:40.880]  我印象非常深刻
[00:03:40.880 --> 00:03:42.680]  也就在我的世界觀當中呢
